step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.521353863900113], [1.1332584913691257], [-0.526143651203792]]","[[-0.060890582601903234], [0.1959582716157645], [0.016604699306180304]]","[[-0.51647697695539], [1.0100095756435261], [-0.528638315797808]]","[[-0.6280382897615755], [-16.014464627859393], [0.0589018872890642]]","[[0.7949531814288152], [0.8391821756863084]]","[[0.008618873459531606], [-0.003919436648081032]]",[[0.08576097626522056]],[[0.1516723883211804]]
1,"[[-0.5216842377560142], [1.1358255046890577], [-0.5263852337671235]]","[[-0.01769066128170553], [0.3023115394317779], [-0.053596057953109025]]","[[-0.5111982879461856], [1.0292814681554283], [-0.5369811584406211]]","[[-0.20900664778090183], [-14.531831797483976], [-0.4829188048080013]]","[[0.7957867873991283], [0.8386579078011226]]","[[0.00813671864418053], [-0.006231434742176578]]",[[0.08775603316591957]],[[0.23102482019696324]]
2,"[[-0.5215599084311459], [1.1394821566738773], [-0.5273478357241572]]","[[0.028069196064280447], [0.4129293750819645], [-0.12665165955579583]]","[[-0.5070734337262999], [1.0425199445636462], [-0.5428029675155691]]","[[-0.07922827045391423], [-14.175737991717725], [-0.49339994850192626]]","[[0.7965710965925369], [0.8378956076618246]]","[[0.007640435678579749], [-0.00865654264891047]]",[[0.09057441251857397]],[[0.31434691159158784]]
3,"[[-0.5209502800057313], [1.1441133900524663], [-0.5289687555946343]]","[[0.07667332222117777], [0.5003944615901379], [-0.18658189653622734]]","[[-0.503226792212687], [1.0474304099981107], [-0.5450401395226727]]","[[-0.09181408419780168], [-15.006495943717237], [0.017421723953882973]]","[[0.7973114133436884], [0.8369166505909549]]","[[0.0072478409047671555], [-0.010624657434321616]]",[[0.09419435445210121]],[[0.39048588727622696]]
4,"[[-0.5200469265111957], [1.1494964776900645], [-0.531077646922774]]","[[0.09664604387623929], [0.5652549393928272], [-0.22738483424471304]]","[[-0.5020585606944759], [1.0497216433292051], [-0.5462816370999755]]","[[-0.27826118642484543], [-16.118883548111107], [0.5656305490647473]]","[[0.7980217697555082], [0.8357681457152801]]","[[0.0070137818948268205], [-0.012098877675525976]]",[[0.0983719042560939]],[[0.43451614902321445]]
5,"[[-0.5191604771260941], [1.1554427593128698], [-0.5335003845761943]]","[[0.08526338148562955], [0.6139109001833822], [-0.2522907703299289]]","[[-0.5032613696581533], [1.052477209646556], [-0.5479462557028657]]","[[-0.5077655186600232], [-17.079039198573337], [0.937412024629497]]","[[0.7987166649733616], [0.8344924593890208]]","[[0.00691203456942846], [-0.013201007403174092]]",[[0.10278189761058039]],[[0.44688351133680554]]
6,"[[-0.5185040151783387], [1.1618118415569232], [-0.5361110783641788]]","[[0.057625981541140237], [0.6506164820261694], [-0.26686253489196426]]","[[-0.5055424013287434], [1.0562772264148426], [-0.5501941979042697]]","[[-0.6977810070129651], [-17.822081549084864], [1.1436893666648187]]","[[0.7994063671695514], [0.8331212284977105]]","[[0.00689330107338515], [-0.014035075511353856]]",[[0.1071967480144061]],[[0.4413799286753454]]
7,"[[-0.5181591898567273], [1.1684994847298775], [-0.5388317368276543]]","[[0.025658653827792213], [0.6784477709583698], [-0.27532365976523665]]","[[-0.5081451516887743], [1.0609770449775973], [-0.5528668435078816]]","[[-0.842549711222988], [-18.38609454243904], [1.2393208896989298]]","[[0.8000969332481168], [0.8316771044086754]]","[[0.006920729399895187], [-0.014679326482625044]]",[[0.11150855804549772]],[[0.42878276502320295]]
8,"[[-0.5181185014722365], [1.175428211783728], [-0.5416182352484556]]","[[-0.003303475748272902], [0.6996606604554345], [-0.280498522052365]]","[[-0.5106199392045436], [1.0663270710103636], [-0.5558810177435791]]","[[-0.950425208911889], [-18.82044013495367], [1.2590716737745835]]","[[0.8007914700065345], [0.8301760372002727]]","[[0.006969591741246006], [-0.015190630544792416]]",[[0.11569147506303869]],[[0.41585866265821225]]
9,"[[-0.518333316316396], [1.1825408892242517], [-0.5444469134657528]]","[[-0.026692858823183563], [0.7159732405870023], [-0.28393798900894773]]","[[-0.5128406633161081], [1.0720616327842707], [-0.5591572464756862]]","[[-1.0370575202703134], [-19.174326173670387], [1.2275102601748311]]","[[0.8014913011362842], [0.8286291626729742]]","[[0.007026224657258329], [-0.015608596322458368]]",[[0.1197606594421042]],[[0.4053423927560095]]
10,"[[-0.5187512271355634], [1.1897959646090286], [-0.5473042360549022]]","[[-0.0451183085588185], [0.7287093035267695], [-0.28631683807034497]]","[[-0.5148782377259054], [1.0779858724102405], [-0.5626144237015358]]","[[-1.1160095196247308], [-19.48450636162778], [1.1620382591796294]]","[[0.8021968692389062], [0.8270443089981758]]","[[0.007084701024395734], [-0.015959941274834577]]",[[0.12374050141856163]],[[0.39727415689646717]]
11,"[[-0.5193384162465315], [1.1971638561395181], [-0.5501800676455743]]","[[-0.06094713419605739], [0.7388951987573057], [-0.28776695454349355]]","[[-0.5169142149029101], [1.0839887530501222], [-0.5661500088514501]]","[[-1.1966707630203528], [-19.773821592480864], [1.078194666506665]]","[[0.8029083502977846], [0.825427104839041]]","[[0.007144325048757949], [-0.016262186272442136]]",[[0.12764537224741263]],[[0.390181110016616]]
12,"[[-0.5200741344145037], [1.2046231668283653], [-0.5530665548711393]]","[[-0.0749824965034164], [0.7472387509230558], [-0.28855620121109654]]","[[-0.5189680927157811], [1.0900739655553005], [-0.5697913580572416]]","[[-1.2764002025447025], [-20.04570748739894], [0.9732948539104246]]","[[0.8036257181352496], [0.8237816892792096]]","[[0.007202428382924175], [-0.016528780658453535]]",[[0.13148247754272208]],[[0.38370005321082]]
13,"[[-0.5209432887673471], [1.2121583465206311], [-0.5559582816813755]]","[[-0.08767095568878402], [0.7542398910625915], [-0.2889026611763636]]","[[-0.5210563287200021], [1.0962228494342088], [-0.5735285329222702]]","[[-1.3552934963695369], [-20.305757785448336], [0.8502281395346525]]","[[0.8043486890292663], [0.8221110732819232]]","[[0.007256586075332638], [-0.01676944994585261]]",[[0.13525677607190853]],[[0.3776662741963049]]
14,"[[-0.5219371184215587], [1.2197582221571828], [-0.5588512421687613]]","[[-0.09971246425532379], [0.7602758709948823], [-0.28889642885172956]]","[[-0.5232283125200671], [1.102410704019232], [-0.5773297436803617]]","[[-1.435180666773607], [-20.559886116752764], [0.7141469405377122]]","[[0.8050768133861482], [0.8204174591652416]]","[[0.007305641943711194], [-0.016990877689238015]]",[[0.13896986156686084]],[[0.37166697788327435]]
15,"[[-0.5230515569469624], [1.227414746949122], [-0.5617424078911292]]","[[-0.11146277686566208], [0.7656196673035643], [-0.2886340378753094]]","[[-0.5254995905657647], [1.1086435834269472], [-0.5811811403846318]]","[[-1.5153035579371796], [-20.808757670387287], [0.5676366299673419]]","[[0.8058095204532665], [0.818702476977328]]","[[0.007348424447584101], [-0.01719816053042944]]",[[0.1426207821110297]],[[0.3655228525625931]]
16,"[[-0.5242844530179166], [1.2351220924337718], [-0.5646297428817529]]","[[-0.12303633038979261], [0.7704616731715388], [-0.2882113452954392]]","[[-0.5278720473359131], [1.1149235099738402], [-0.5850733565245997]]","[[-1.5950098833581121], [-21.053140596603615], [0.412754851022777]]","[[0.8065461202868047], [0.8169673252680762]]","[[0.007383789388504258], [-0.017395098415218246]]",[[0.14620789653410451]],[[0.3592139974874454]]
17,"[[-0.5256340791807583], [1.2428760081669914], [-0.5675121180114969]]","[[-0.13444290969912004], [0.7749382575544691], [-0.2877124621375404]]","[[-0.530342340076498], [1.1212517251035576], [-0.5889976495255792]]","[[-1.6738933094815795], [-21.293602896772672], [0.2514891972782104]]","[[0.8072858159067033], [0.8152128772030477]]","[[0.007410754609005199], [-0.017584562524131098]]",[[0.1497298109747347]],[[0.3527828857155312]]
