step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5105369495495827], [1.132834323428343], [-0.5432190341291021]]","[[-0.6394129469407428], [0.13274804318802846], [0.11272654851002595]]","[[-0.5662851774843255], [0.9574511767631846], [-0.5128882871039157]]","[[-3.97271467835152], [-23.222043575811412], [4.149468724731264]]","[[0.11534352143770521], [0.8388881195642854]]","[[0.005490350047679393], [-0.001692406664688395]]",[[0.07907833974965964]],[[-0.3939383552415498]]
1,"[[-0.5163948604311517], [1.1334636697648461], [-0.5417868036969604]]","[[-0.5492981174933966], [0.011227051118304965], [0.16643433554466913]]","[[-0.5538438467118717], [0.9454812530408926], [-0.5066869294774035]]","[[-1.8561243574446251], [-23.981411702251382], [4.311501609928293]]","[[0.11591284799650735], [0.838855876694959]]","[[0.005849166044943899], [0.0006964451590096843]]",[[0.07528200563673314]],[[-0.3716367308304226]]
2,"[[-0.5212771511699419], [1.1329441443233306], [-0.539872565997174]]","[[-0.45074731164666515], [-0.09750151916624222], [0.21073781488428123]]","[[-0.5505517997517719], [0.9414644767873159], [-0.504034221803542]]","[[-1.6295965048068368], [-23.432349574573237], [3.9779747789161517]]","[[0.11651384039413377], [0.8390477892727396]]","[[0.006137914585585547], [0.002808550233146523]]",[[0.07179442715621615]],[[-0.3375110159263486]]
3,"[[-0.5256046156525025], [1.1315254440056877], [-0.5375398906382476]]","[[-0.4156467022820393], [-0.17493543216117924], [0.2492766643763471]]","[[-0.552449134680729], [0.9404337211774372], [-0.5027980152255813]]","[[-1.6616763100579466], [-22.60184834752473], [3.4251479676120615]]","[[0.11714375616793087], [0.8394173433506776]]","[[0.006411019909506599], [0.004348838311063474]]",[[0.06838093771493739]],[[-0.3413054700657327]]
4,"[[-0.5295639932506098], [1.1294546213319199], [-0.5348978337331823]]","[[-0.3788114890406355], [-0.2304570682210908], [0.27446184405518315]]","[[-0.5527058140349984], [0.9408095337289342], [-0.5020659668074409]]","[[-1.4926774666097133], [-21.683654129978812], [2.878518439229637]]","[[0.11779539904499679], [0.8399146735153716]]","[[0.0065865438455645076], [0.0054208120694454465]]",[[0.06499279434812849]],[[-0.33480671320654315]]
5,"[[-0.5331551443704752], [1.126941259392056], [-0.532070493230256]]","[[-0.3427217017306856], [-0.2659135627914796], [0.2879444978420103]]","[[-0.5527226693398958], [0.9416196634767422], [-0.5014514877836771]]","[[-1.3353636308660652], [-20.83496502280746], [2.4032254910326944]]","[[0.11845983209456169], [0.8404954190793315]]","[[0.00667869627998946], [0.006070861023987906]]",[[0.0617156217913252]],[[-0.3206907666801548]]
6,"[[-0.536431816006239], [1.1241709036991672], [-0.5291564438228176]]","[[-0.31397261341620597], [-0.28427761311035205], [0.2928424987625972]]","[[-0.5531835893463001], [0.9422686584970961], [-0.5007351708713025]]","[[-1.2207296333834847], [-20.14437081999589], [2.01728388495372]]","[[0.11913024224052063], [0.8411213492483915]]","[[0.006712683423434895], [0.006373248474944582]]",[[0.05858264387011103]],[[-0.30540772776396125]]
7,"[[-0.5394592170004213], [1.1212895493508226], [-0.5262284002464264]]","[[-0.2912495205280022], [-0.28996186428563075], [0.2915073546858411]]","[[-0.5539334756322946], [0.9425306621481929], [-0.4998324401813294]]","[[-1.125801658552837], [-19.624304867875264], [1.7208364286004785]]","[[0.11980170560948657], [0.8417629434912164]]","[[0.00670458091505538], [0.006421024162839295]]",[[0.055601932103973906]],[[-0.2897040301289305]]
8,"[[-0.5422872257841136], [1.118401530144653], [-0.523337510788868]]","[[-0.27295371824090153], [-0.2869157527444737], [0.2859504184137298]]","[[-0.5548864871748344], [0.942373678128263], [-0.498741539181531]]","[[-1.0461240904295608], [-19.255477714630096], [1.501701625100929]]","[[0.12047075893458295], [0.8423993956143603]]","[[0.006667931241841063], [0.006296276485928676]]",[[0.05277679357167018]],[[-0.27391905257278437]]
9,"[[-0.5449540557953656], [1.1155764348234787], [-0.5205167745266304]]","[[-0.2581359336137625], [-0.2782586165633667], [0.2778181631368654]]","[[-0.5560040141271051], [0.9418500104820401], [-0.49749615856127627]]","[[-0.979969314037711], [-19.00879089715631], [1.3431781372271983]]","[[0.1211351723968853], [0.8430171180569745]]","[[0.006613955259139603], [0.0060636132513169905]]",[[0.05010560450148027]],[[-0.25857638704254127]]
10,"[[-0.5474888480543111], [1.1128569538657695], [-0.5177851927274865]]","[[-0.24592431855828537], [-0.26634411308739814], [0.2683179134469739]]","[[-0.5572335875366866], [0.9410453959757435], [-0.4961412259354984]]","[[-0.9238591093109001], [-18.853751985629273], [1.2290734593921524]]","[[0.1217936660526482], [0.8436080548627064]]","[[0.0065508059421126585], [0.005771083917960329]]",[[0.0475829130839739]],[[-0.2439505181952934]]
