step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5228671453300341], [1.1402485123912263], [-0.5312339308389823]]","[[-0.0543992359958172], [0.11251168648483076], [0.05972576866840207]]","[[-0.520668291690368], [0.9851618763772455], [-0.5202808321003973]]","[[-1.0779632916559176], [-20.014201743686847], [1.6969637220268203]]","[[0.45047635313613216], [0.8377200397775192]]","[[0.008600631901345412], [-0.0021808433858461207]]",[[0.08614743622220836]],[[0.11783821915969306]]
1,"[[-0.5234515654549184], [1.1413382615692547], [-0.5306062015428078]]","[[-0.058602675586457306], [0.10562303083426822], [0.0648876839337954]]","[[-0.5216694540571868], [0.9850831674864025], [-0.520582130863999]]","[[-1.1181775496749111], [-20.125217930042687], [1.5063478904041987]]","[[0.4513396282023517], [0.8375093803566148]]","[[0.00865429856255484], [-0.00204059329990125]]",[[0.08728049457152902]],[[0.11190803918046756]]
2,"[[-0.5240762961279068], [1.1423606678442746], [-0.5299287892654297]]","[[-0.06247557764085425], [0.09902973464846246], [0.06968517591737627]]","[[-0.5226740362574605], [0.9849859081818578], [-0.5208270848472156]]","[[-1.156285041361033], [-20.232153877902846], [1.3203392175055795]]","[[0.45220765771538207], [0.8373123982127071]]","[[0.008696734087415559], [-0.0019069907376545459]]",[[0.0883555824509353]],[[0.10623933292270708]]
3,"[[-0.5247381025238032], [1.1433186379521196], [-0.5292052628216098]]","[[-0.0660353141532553], [0.09272294259884015], [0.07413310735815493]]","[[-0.5236806898560088], [0.9848714042230439], [-0.5210184678740362]]","[[-1.1923681346698438], [-20.335140198878268], [1.138910152894485]]","[[0.4530793483120391], [0.837128439074758]]","[[0.008728490497666996], [-0.0017798288683090746]]",[[0.08937527260670713]],[[0.10082073580260109]]
4,"[[-0.5254339203587177], [1.144214989775491], [-0.5284390435533467]]","[[-0.06929840177703671], [0.08669375173770116], [0.07824606964700204]]","[[-0.5246881499746919], [0.9847409169393508], [-0.5211589629674649]]","[[-1.2265061473760923], [-20.43430122099612], [0.9620272855972911]]","[[0.4539536610551686], [0.8369568696598444]]","[[0.008750105097410366], [-0.0016588960561891852]]",[[0.0903420258634261]],[[0.09564141960538912]]
5,"[[-0.5261608475811973], [1.1450524522113374], [-0.5276334082264718]]","[[-0.07228055711460275], [0.08093327215783969], [0.08203835271478271]]","[[-0.5256952323253667], [0.9845956599730682], [-0.5212511637201693]]","[[-1.2587755399209786], [-20.52975605411893], [0.7896518804255032]]","[[0.4548296099556831], [0.8367970780371787]]","[[0.008762100388298721], [-0.001543977933404772]]",[[0.09125819640366789]],[[0.09069106775801962]]
6,"[[-0.5269161366013175], [1.1458336655563446], [-0.5267914921760883]]","[[-0.07499674858573618], [0.07543267201188492], [0.08552392403326448]]","[[-0.526700830505576], [0.9844367973010141], [-0.5212975759272857]]","[[-1.2892501077041336], [-20.621619379620334], [0.6217403201657954]]","[[0.4557062604893366], [0.8366484738081297]]","[[0.008764984040376955], [-0.0014348590562707209]]",[[0.09212603677893941]],[[0.0859598474616905]]
7,"[[-0.5276971869862008], [1.1465611822723292], [-0.5259162926283936]]","[[-0.07746123963800854], [0.07018321032876293], [0.08871641358584065]]","[[-0.5277039128683264], [0.9842654420835706], [-0.5213006193548706]]","[[-1.318001125318502], [-20.710002047946215], [0.45824449163230185]]","[[0.45658272811258493], [0.83651048813924]]","[[0.008759248898793093], [-0.0013313242305357242]]",[[0.09294770265773694]],[[0.08143838427887247]]
8,"[[-0.5285015385605107], [1.1472374680327546], [-0.5250106721474357]]","[[-0.0796876270647054], [0.06517626161295531], [0.09162910326277551]]","[[-0.5287035193574442], [0.9840826562634472], [-0.521262629655056]]","[[-1.345097475797158], [-20.795011522135532], [0.2991121240352116]]","[[0.45745817678074224], [0.8363825736764625]]","[[0.008745373018997915], [-0.0012331595908299242]]",[[0.09372525732480677]],[[0.07711773781102547]]
9,"[[-0.5293268648652805], [1.1478649029817347], [-0.5240773621701421]]","[[-0.08168887485829436], [0.06040333460536543], [0.09427491936387594]]","[[-0.529698758253024], [0.9838894507684329], [-0.5211858602828614]]","[[-1.370605758755361], [-20.876752202383557], [0.14428710834040392]]","[[0.4583318174709615], [0.8362642043620917]]","[[0.008723819724876236], [-0.0011401534898314303]]",[[0.09446067594631252]],[[0.07298937911094695]]
