step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5228671453300298], [1.1402485123912254], [-0.5312339308389843]]","[[-0.05439923599693029], [0.11251168648599141], [0.05972576867038609]]","[[-0.5206682916903789], [0.9851618763772487], [-0.5202808321003969]]","[[-1.0779632916613355], [-20.014201743686492], [1.6969637220643796]]","[[0.5035945435656017], [0.8377200397775196]]","[[0.008600631901345412], [-0.0021808433858350185]]",[[0.08614743622221124]],[[0.11783821915944712]]
1,"[[-0.5234515654549118], [1.1413382615692518], [-0.5306062015428077]]","[[-0.05860267558437783], [0.10562303083131733], [0.06488768393624939]]","[[-0.5216694540571678], [0.9850831674864082], [-0.5205821308639985]]","[[-1.1181775496621742], [-20.12521793005942], [1.5063478904123522]]","[[0.5044578186318213], [0.8375093803566149]]","[[0.008654298562560392], [-0.002040593299912352]]",[[0.08728049457153282]],[[0.11190803918091159]]
2,"[[-0.524076296127901], [1.1423606678442702], [-0.5299287892654295]]","[[-0.06247557763746055], [0.09902973464262174], [0.06968517592239759]]","[[-0.5226740362574946], [0.9849859081818524], [-0.520827084847213]]","[[-1.1562850413515924], [-20.2321538779215], [1.3203392175135547]]","[[0.5053258481448517], [0.837312398212707]]","[[0.00869673408742111], [-0.0019069907376767503]]",[[0.08835558245093769]],[[0.10623933292300419]]
3,"[[-0.524738102523805], [1.14331863795212], [-0.5292052628216085]]","[[-0.06603531415366276], [0.09272294259885808], [0.07413310735822948]]","[[-0.5236806898560553], [0.984871404223025], [-0.5210184678740301]]","[[-1.1923681346667365], [-20.335140198887277], [1.1389101528846068]]","[[0.506197538741509], [0.8371284390747579]]","[[0.008728490497666996], [-0.0017798288683201768]]",[[0.08937527260670576]],[[0.1008207358022861]]
4,"[[-0.5254339203587196], [1.1442149897754892], [-0.5284390435533441]]","[[-0.06929840177714723], [0.0866937517376892], [0.07824606964703373]]","[[-0.5246881499746833], [0.984740916939338], [-0.5211589629674596]]","[[-1.226506147380619], [-20.434301220985578], [0.9620272855799809]]","[[0.5070718514846385], [0.8369568696598445]]","[[0.008750105097410366], [-0.001658896056178083]]",[[0.09034202586342373]],[[0.09564141960529829]]
5,"[[-0.526160847581198], [1.1450524522113352], [-0.5276334082264716]]","[[-0.07228055711459631], [0.0809332721577832], [0.08203835271481946]]","[[-0.5256952323253542], [0.9845956599730654], [-0.521251163720168]]","[[-1.2587755398973228], [-20.529756054148795], [0.7896518804500702]]","[[0.507947800385153], [0.836797078037179]]","[[0.00876210038829317], [-0.001543977933404772]]",[[0.09125819640366614]],[[0.09069106775800638]]
6,"[[-0.5269161366013171], [1.145833665556342], [-0.5267914921760871]]","[[-0.0749967485841223], [0.07543267200939907], [0.08552392403675202]]","[[-0.5267008305055667], [0.984436797301014], [-0.5212975759272851]]","[[-1.289250107704353], [-20.62161937962489], [0.6217403201931314]]","[[0.5088244509188065], [0.8366484738081301]]","[[0.008764984040388057], [-0.0014348590562707209]]",[[0.09212603677893848]],[[0.08595984746202882]]
7,"[[-0.5276971869862027], [1.1465611822723276], [-0.525916292628391]]","[[-0.07746123963935164], [0.07018321032992855], [0.08871641358786692]]","[[-0.5277039128683569], [0.9842654420835655], [-0.5213006193548702]]","[[-1.3180011253268198], [-20.710002047934633], [0.4582444916142613]]","[[0.5097009185420551], [0.8365104881392404]]","[[0.008759248898793093], [-0.001331324230524622]]",[[0.09294770265773421]],[[0.08143838427844378]]
8,"[[-0.5285015385605125], [1.1472374680327535], [-0.525010672147436]]","[[-0.07968762706459694], [0.06517626161277537], [0.09162910326647605]]","[[-0.5287035193574147], [0.9840826562634498], [-0.5212626296550561]]","[[-1.3450974757752139], [-20.795011522163634], [0.2991121240603417]]","[[0.5105763672102124], [0.8363825736764632]]","[[0.008745373019003466], [-0.0012331595908299242]]",[[0.09372525732480423]],[[0.07711773781123846]]
9,"[[-0.5293268648652814], [1.1478649029817323], [-0.52407736217014]]","[[-0.08168887485944396], [0.060403334607138176], [0.094274919363114]]","[[-0.5296987582530301], [0.9838894507684351], [-0.5211858602828625]]","[[-1.3706057587485816], [-20.87675220239519], [0.1442871083573526]]","[[0.5114500079004315], [0.8362642043620923]]","[[0.008723819724865134], [-0.001140153489820328]]",[[0.09446067594631061]],[[0.07298937911080824]]
