step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5356911804822614], [1.126482113993066], [-0.5025431838919828]]","[[-0.11845322110203851], [0.19513577545181912], [0.09262484574561196]]","[[-0.5343125892393724], [0.9974826434618255], [-0.5143060706993946]]","[[-0.8816254271852744], [-17.02032201597826], [-2.0820195559359598]]","[[0.0645279681130905], [0.8408078572624298]]","[[0.01369468776234728], [-0.003985391986760511]]",[[0.08824774961882208]],[[0.16930740009539255]]
1,"[[-0.5365956008752613], [1.1290407061220171], [-0.5020297763839624]]","[[-0.07377508816010533], [0.3012780714578449], [0.02132990227546699]]","[[-0.529490433065554], [1.016620218366195], [-0.5216776298488252]]","[[-0.47236606763487266], [-15.559247313672476], [-2.580188944926003]]","[[0.06586210508196917], [0.8402788062679666]]","[[0.013083480026829242], [-0.006264723976601161]]",[[0.09041532886279248]],[[0.24883288557320662]]
2,"[[-0.5370588077805367], [1.1326920835392194], [-0.502244836971591]]","[[-0.03061446820506493], [0.4124440297101799], [-0.05228610983365373]]","[[-0.5260787338907799], [1.0300171523086816], [-0.5265919334537572]]","[[-0.34841347948797163], [-15.18846089934788], [-2.560861881203799]]","[[0.0671346039218464], [0.8395145483747444]]","[[0.012467429349959092], [-0.00866297371722169]]",[[0.09338843878709278]],[[0.3295434516725999]]
3,"[[-0.5370509554098432], [1.1373195564202383], [-0.5031233609815691]]","[[0.01716846886729166], [0.49979421347595604], [-0.11265752982404931]]","[[-0.5226783032090447], [1.0350091068513194], [-0.5280191979520571]]","[[-0.33956121239143044], [-16.01045274620858], [-2.035366222933714]]","[[0.06835180362916843], [0.838536842339052]]","[[0.011967464086500013], [-0.010596026159714889]]",[[0.09714524002882723]],[[0.4043051525180596]]
4,"[[-0.5367588287136371], [1.1426958791163397], [-0.5044924959634197]]","[[0.03611436604087784], [0.5642609225549675], [-0.15361712707089775]]","[[-0.5219883522369294], [1.037534148799671], [-0.5284035551809864]]","[[-0.5067398764655189], [-17.087584169379383], [-1.4678239772366628]]","[[0.06952918629250826], [0.8373927346867852]]","[[0.011641928867134332], [-0.012041674158203008]]",[[0.10144455443928421]],[[0.44675816152836384]]
5,"[[-0.5364934079888601], [1.1486294453007742], [-0.5061754872019926]]","[[0.023718312693700533], [0.6122427449024168], [-0.17843132202109924]]","[[-0.5236817361739813], [1.0405180088749482], [-0.5291503731207106]]","[[-0.7172973294665448], [-18.009553547786354], [-1.0700847675390563]]","[[0.07068274491484611], [0.8361239344125164]]","[[0.011463050813018127], [-0.013121905495916408]]",[[0.10596055010992264]],[[0.45752973557615656]]
6,"[[-0.5364571480603963], [1.154977662206549], [-0.508046474871031]]","[[-0.0033926265232630676], [0.6481272199526884], [-0.19305752597396486]]","[[-0.5263297085558251], [1.0445393508040617], [-0.5305726832467931]]","[[-0.8843587313519348], [-18.712566606826154], [-0.8504654713897732]]","[[0.07182383629072282], [0.8347614360477774]]","[[0.011375731869352201], [-0.013940957460356618]]",[[0.11047403927512098]],[[0.45167706745432173]]
7,"[[-0.5367253768714265], [1.1616360565484727], [-0.5100277857947855]]","[[-0.03459842894963448], [0.6751437841009633], [-0.20154013437142448]]","[[-0.5293097357830336], [1.0493904068391064], [-0.532390147889143]]","[[-1.0114254565619876], [-19.245855414608304], [-0.7372192849173913]]","[[0.07295944175194759], [0.8333272945601744]]","[[0.011343940845422174], [-0.014574902101183174]]",[[0.1148828938822601]],[[0.4390052207787658]]
8,"[[-0.5372954052090232], [1.168528170268771], [-0.512074037301418]]","[[-0.06356980544736958], [0.6956627175223882], [-0.20656058084193651]]","[[-0.532241966893377], [1.054845868182838], [-0.5345104269207124]]","[[-1.1065445473660018], [-19.656440116660974], [-0.6958324464450423]]","[[0.07409366884086795], [0.8318370538262884]]","[[0.011343735457007564], [-0.015078989588912517]]",[[0.11915872775832964]],[[0.42553233123308254]]
9,"[[-0.5381273773277233], [1.1755983263236802], [-0.5141596978711067]]","[[-0.08786347609807069], [0.7114287909466326], [-0.2096530764041097]]","[[-0.5349967473297368], [1.0606805582296517], [-0.5368523128223265]]","[[-1.1819931618243724], [-19.987941324043334], [-0.7019943076339066]]","[[0.07522885300997977], [0.8303015917130626]]","[[0.011361302158810482], [-0.015491813225354534]]",[[0.12331125112484898]],[[0.4139122384444524]]
10,"[[-0.5391756462707096], [1.1828062925923122], [-0.5162696268938163]]","[[-0.1077546009711398], [0.723745683950497], [-0.2115423261970453]]","[[-0.5376153465716402], [1.0667240401234193], [-0.5393406623055311]]","[[-1.2490593436264796], [-20.2734461657639], [-0.7389844497075971]]","[[0.07636639636262936], [0.8287285529012166]]","[[0.011390063966888742], [-0.015839762825431425]]",[[0.1273610194277863]],[[0.40444875678345077]]
11,"[[-0.5404048028735834], [1.190123199942476], [-0.5183934152603185]]","[[-0.12457792765941204], [0.7335807567398501], [-0.21253832114066223]]","[[-0.5401918989569809], [1.0728802508650677], [-0.5419246984262689]]","[[-1.314252273241094], [-20.533036184500205], [-0.7973872443648309]]","[[0.07750726759806169], [0.8271233819342505]]","[[0.01142709919783741], [-0.016140957533183897]]",[[0.13132498180857394]],[[0.39646450793977606]]
12,"[[-0.5417924599359779], [1.1975283516084463], [-0.5205229224083199]]","[[-0.13958864370178875], [0.741632202319993], [-0.21280652409935752]]","[[-0.5428018414927565], [1.0791085346565974], [-0.5445746988439977]]","[[-1.3796855522695561], [-20.776891375126638], [-0.8722091614112781]]","[[0.0786522126209117], [0.825490018220868]]","[[0.011470690451560739], [-0.01640804971773102]]",[[0.1352129692641497]],[[0.3892370345199856]]
13,"[[-0.543326285549427], [1.2050069001522208], [-0.5226514965455936]]","[[-0.15365534242745255], [0.748405900549183], [-0.2124767210010547]]","[[-0.5454938353108819], [1.0853944060459817], [-0.5472775715636836]]","[[-1.4456901616144908], [-21.010141069968697], [-0.9611576437297551]]","[[0.07980181295566853], [0.8238313363631519]]","[[0.011519318278679913], [-0.016650248835292647]]",[[0.1390291180572026]],[[0.382273837124092]]
14,"[[-0.5449985661261298], [1.212548074799658], [-0.5247740297126195]]","[[-0.16704651352495012], [0.7542519636171383], [-0.21170839276295902]]","[[-0.5482702470780949], [1.0917410108670706], [-0.5500261918471768]]","[[-1.5108445934372334], [-21.234279964562738], [-1.0623530192453072]]","[[0.0809564716124701], [0.8221494351811169]]","[[0.011571138647863133], [-0.016874417445489343]]",[[0.14277547896090861]],[[0.3754970573280904]]
15,"[[-0.5468033191017116], [1.220143906451533], [-0.5268867803758164]]","[[-0.17988880019683312], [0.759400996290282], [-0.21061756163099438]]","[[-0.5511326354754836], [1.09813670114924], [-0.5528020580601695]]","[[-1.5749455643014523], [-21.452255295893124], [-1.1723911847552746]]","[[0.08211643204840942], [0.820445858443854]]","[[0.01162478302541431], [-0.017085147308137927]]",[[0.14645380697400415]],[[0.3688946344624546]]
16,"[[-0.5487361668393211], [1.227788586316669], [-0.5289870132571475]]","[[-0.19235357503248873], [0.7640551027729431], [-0.20929455509889852]]","[[-0.5540910897421331], [1.1045809023582271], [-0.5556064137002015]]","[[-1.6384616213426568], [-21.66532334975996], [-1.290959251285013]]","[[0.08328181187387504], [0.8187217223214607]]","[[0.011679061719123418], [-0.017286434500995984]]",[[0.15006540622020093]],[[0.36240697264383326]]
17,"[[-0.5507937544970202], [1.2354779158130411], [-0.5310727915870842]]","[[-0.20451005544713247], [0.7683468294305061], [-0.20780887203625875]]","[[-0.5571464246881571], [1.1110665581207102], [-0.5584310866904801]]","[[-1.7012751959239205], [-21.875287230130333], [-1.4164126987414993]]","[[0.08445262029007923], [0.8169778191898973]]","[[0.011732997236872655], [-0.017480970063010748]]",[[0.153611369728935]],[[0.3560279019448377]]
18,"[[-0.5529732141375484], [1.2432087965352765], [-0.5331427797509962]]","[[-0.21639672218155453], [0.7723696965560067], [-0.20621274144546747]]","[[-0.5602985352493635], [1.1175897716139365], [-0.5612707670906896]]","[[-1.763391702887574], [-22.08323025722236], [-1.5476234339358894]]","[[0.08562877854466473], [0.8152147160801502]]","[[0.011785793595581184], [-0.017670679001158263]]",[[0.15709280264673106]],[[0.349760232928985]]
19,"[[-0.5552719244108265], [1.250978953479503], [-0.5351961227054255]]","[[-0.22803147306134647], [0.7761979385623949], [-0.20455048203944373]]","[[-0.5635454601118041], [1.1241521204452465], [-0.5641213043669613]]","[[-1.8247090321754476], [-22.289327725726068], [-1.6836520050637334]]","[[0.08681013445052597], [0.8134328078467432]]","[[0.011836770848483447], [-0.017857130714682423]]",[[0.16051090636325144]],[[0.3436159834616047]]
20,"[[-0.5576872673207821], [1.2587867188789366], [-0.537232362533552]]","[[-0.23940692833679714], [0.7798827540489954], [-0.2028575572545816]]","[[-0.5668837727839358], [1.1307520684546566], [-0.5669791155036151]]","[[-1.885153443782042], [-22.494086084519207], [-1.823670482480694]]","[[0.08799647361598781], [0.8116323580831294]]","[[0.011885359684439545], [-0.0180414491119274]]",[[0.16386708902460279]],[[0.3376182684587556]]
21,"[[-0.5602165955818983], [1.2666308580203889], [-0.5392513373666531]]","[[-0.2505222764205127], [0.7834611612131455], [-0.2011591902882057]]","[[-0.5703109752365667], [1.1373883514357814], [-0.5698408092291968]]","[[-1.9447416071882364], [-22.69788878229027], [-1.9669368917634535]]","[[0.0891875319536849], [0.809813535279764]]","[[0.011931118592489742], [-0.018224448380788072]]",[[0.16716292507183636]],[[0.33177969450214995]]
