step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5228671453300309], [1.1402485123912265], [-0.5312339308389816]]","[[-0.05439923599762728], [0.11251168648717313], [0.059725768668669243]]","[[-0.5206682916904044], [0.9851618763772424], [-0.5202808321003928]]","[[-1.0779632916531239], [-20.014201743699463], [1.696963722044477]]","[[0.05695832260371228], [0.8377200397775197]]","[[0.008600631901341249], [-0.0021808433858350185]]",[[0.0861474362222138]],[[0.11783821915935382]]
1,"[[-0.5234515654549157], [1.1413382615692556], [-0.5306062015428065]]","[[-0.058602675587564365], [0.10562303083660055], [0.06488768393031413]]","[[-0.5216694540571748], [0.985083167486403], [-0.5205821308639944]]","[[-1.1181775496775583], [-20.12521793003615], [1.5063478903771537]]","[[0.05782159766993193], [0.8375093803566152]]","[[0.008654298562555535], [-0.0020405932998790455]]",[[0.0872804945715348]],[[0.11190803918048899]]
2,"[[-0.5240762961279004], [1.1423606678442708], [-0.5299287892654286]]","[[-0.062475577638661434], [0.09902973464497516], [0.06968517591892054]]","[[-0.5226740362574614], [0.9849859081818634], [-0.5208270848472136]]","[[-1.1562850413534584], [-20.232153877914012], [1.3203392175228705]]","[[0.05868962718296244], [0.8373123982127071]]","[[0.008696734087423191], [-0.0019069907376767503]]",[[0.08835558245094213]],[[0.10623933292295686]]
3,"[[-0.5247381025238004], [1.1433186379521174], [-0.5292052628216029]]","[[-0.06603531415225401], [0.09272294259714647], [0.07413310735891993]]","[[-0.5236806898560339], [0.9848714042230345], [-0.5210184678740302]]","[[-1.1923681346686112], [-20.335140198879646], [1.138910152857123]]","[[0.05956131777961965], [0.8371284390747579]]","[[0.008728490497666996], [-0.001779828868331279]]",[[0.08937527260671221]],[[0.1008207358026737]]
4,"[[-0.5254339203587186], [1.1442149897754912], [-0.5284390435533435]]","[[-0.06929840177723898], [0.08669375173766702], [0.07824606964708075]]","[[-0.5246881499747137], [0.9847409169393337], [-0.521158962967456]]","[[-1.2265061473696812], [-20.43430122101062], [0.9620272856147698]]","[[0.06043563052274936], [0.8369568696598445]]","[[0.008750105097415223], [-0.001658896056178083]]",[[0.09034202586342904]],[[0.09564141960523156]]
5,"[[-0.5261608475811991], [1.1450524522113374], [-0.5276334082264708]]","[[-0.07228055711556644], [0.0809332721595804], [0.08203835271040605]]","[[-0.5256952323253674], [0.9845956599730598], [-0.521251163720164]]","[[-1.2587755399056244], [-20.529756054138005], [0.7896518804323809]]","[[0.06131157942326397], [0.8367970780371788]]","[[0.008762100388299415], [-0.001543977933404772]]",[[0.09125819640367015]],[[0.09069106775783606]]
6,"[[-0.5269161366013173], [1.145833665556342], [-0.5267914921760826]]","[[-0.07499674858549353], [0.07543267201122403], [0.085523924036013]]","[[-0.5267008305055587], [0.9844367973010115], [-0.5212975759272819]]","[[-1.2892501076986738], [-20.62161937963236], [0.6217403202200044]]","[[0.06218822995691762], [0.83664847380813]]","[[0.008764984040380425], [-0.0014348590562707209]]",[[0.09212603677894256]],[[0.08595984746174354]]
7,"[[-0.5276971869862002], [1.146561182272327], [-0.5259162926283866]]","[[-0.07746123963658837], [0.0701832103269395], [0.08871641358659493]]","[[-0.5277039128683251], [0.9842654420835677], [-0.5213006193548673]]","[[-1.3180011253095905], [-20.710002047957378], [0.4582444916119044]]","[[0.06306469758016615], [0.8365104881392402]]","[[0.008759248898798644], [-0.0013313242305357242]]",[[0.0929477026577406]],[[0.08143838427922354]]
8,"[[-0.5285015385605121], [1.1472374680327524], [-0.5250106721474316]]","[[-0.07968762706177288], [0.06517626160815848], [0.09162910326610335]]","[[-0.5287035193574839], [0.9840826562634384], [-0.5212626296550518]]","[[-1.3450974757684555], [-20.795011522183678], [0.29911212406675325]]","[[0.06394014624832364], [0.8363825736764627]]","[[0.008745373019006242], [-0.0012331595908521287]]",[[0.09372525732480876]],[[0.07711773781135023]]
9,"[[-0.5293268648652877], [1.147864902981732], [-0.5240773621701331]]","[[-0.0816888748575741], [0.060403334603608944], [0.09427491936472887]]","[[-0.5296987582530809], [0.9838894507684123], [-0.521185860282855]]","[[-1.3706057587530054], [-20.876752202392144], [0.1442871083291407]]","[[0.06481378693854302], [0.8362642043620923]]","[[0.008723819724881787], [-0.0011401534898314303]]",[[0.0944606759463103]],[[0.0729893791107637]]
