step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.538158450157052], [1.1346391425791675], [-0.5077586165852588]]","[[-0.12041391747248521], [0.1930944683201278], [0.09432890915604443]]","[[-0.5369961679434259], [1.0050181544766608], [-0.518791214685766]]","[[-0.8871971140176731], [-17.05976318922055], [-1.9894085452383317]]","[[0.60336083602385], [0.8391481023085787]]","[[0.01368994495506426], [-0.003946971184187742]]",[[0.08872207583685841]],[[0.16700946000596434]]
1,"[[-0.5390914558769911], [1.1371839255850267], [-0.5072307095474404]]","[[-0.07699051691705981], [0.3004057525263637], [0.022519905288855335]]","[[-0.5323074121392192], [1.0245604965486432], [-0.5264321324500294]]","[[-0.4819668665461243], [-15.54649238561445], [-2.5255896554467663]]","[[0.6046943062435692], [0.8386206446996473]]","[[0.013074708078919528], [-0.006266137211696776]]",[[0.09086176016059311]],[[0.24593514089588184]]
2,"[[-0.5395765210917544], [1.1408286157407528], [-0.507437668368661]]","[[-0.03231025831235795], [0.41203671438437295], [-0.051764907265638656]]","[[-0.5287678352019999], [1.0379176341160572], [-0.531382234999637]]","[[-0.34952107778691666], [-15.185703366317515], [-2.5062398115568985]]","[[0.6059655523554921], [0.8378546875756006]]","[[0.012452113930550013], [-0.008693349708843723]]",[[0.0938144262803365]],[[0.3279615488052378]]
3,"[[-0.5395776966548765], [1.1454532292924562], [-0.5083137583491829]]","[[0.01661680907666606], [0.4996919593922261], [-0.11262392667427414]]","[[-0.5253035319958675], [1.0427948065303634], [-0.5327707704081747]]","[[-0.34120393390362347], [-16.027707308416375], [-1.9703272387329775]]","[[0.6071809352979586], [0.8368727784838244]]","[[0.011947194144990014], [-0.01064814820453952]]",[[0.09756177428839678]],[[0.4036848417946182]]
4,"[[-0.5392957895497669], [1.1508312476168985], [-0.5096834841371395]]","[[0.03488560334562045], [0.5646606113215054], [-0.153788669618833]]","[[-0.5247029301330174], [1.0452508187592966], [-0.5331078266911528]]","[[-0.5142086957946284], [-17.12040532914704], [-1.3934268773941245]]","[[0.608356199161796], [0.835722366157568]]","[[0.011619654373329347], [-0.012113320711526487]]",[[0.10185197392999275]],[[0.4457575450494319]]
5,"[[-0.5390423317868566], [1.1567716588446988], [-0.5113701302617617]]","[[0.02255717215002921], [0.6131833053590225], [-0.17897012438120471]]","[[-0.5263967714642468], [1.0482217615108085], [-0.5339329808746377]]","[[-0.7233304069116531], [-18.050607535343783], [-1.0033762670504067]]","[[0.6095072934350024], [0.8344454046811854]]","[[0.01143636618567978], [-0.013211598628914967]]",[[0.10635919679608]],[[0.45677035312670844]]
6,"[[-0.5390173304175949], [1.1631321619232546], [-0.5132484381263873]]","[[-0.004477138440646178], [0.6496092086863382], [-0.19396180915063424]]","[[-0.5290583122098683], [1.0522233289386689], [-0.5354138904726361]]","[[-0.8914221002734899], [-18.763768303966682], [-0.7878437246629939]]","[[0.6106454406221906], [0.8330730501160099]]","[[0.011343939753594157], [-0.014046684286905808]]",[[0.11086639337927184]],[[0.4511702610950579]]
7,"[[-0.5392967292348372], [1.1698079923305993], [-0.5152404396768437]]","[[-0.03570119511889766], [0.6771131043882312], [-0.2027613279287605]]","[[-0.5320631150430015], [1.057050542348523], [-0.5372866789113548]]","[[-1.020313832525582], [-19.30808926460305], [-0.6781291689261171]]","[[0.6117775782458434], [0.8316275869557087]]","[[0.011306777854447336], [-0.01469411426133771]]",[[0.11527082341891762]],[[0.4386505813394345]]
8,"[[-0.5398786450263662], [1.176722106681899], [-0.5173002944421953]]","[[-0.06476475436223751], [0.6980584965217115], [-0.20805429208568538]]","[[-0.5350263571454096], [1.0624914414387838], [-0.5394648487739993]]","[[-1.1173407595885723], [-19.72838476172168], [-0.6406619165487102]]","[[0.6129077865102052], [0.830124793578574]]","[[0.011300927331081567], [-0.015209507495228536]]",[[0.11954316721333677]],[[0.42523945007378866]]
9,"[[-0.5407235478489059], [1.1838181681784596], [-0.5194020923963372]]","[[-0.08916482036531152], [0.7141836793678107], [-0.2113850050586105]]","[[-0.5378131530292631], [1.0683186724511007], [-0.5418657764274448]]","[[-1.1945216163006391], [-20.068437655505544], [-0.6508797554545404]]","[[0.6140383690981888], [0.8285757546633257]]","[[0.011312513694861082], [-0.015631687198214284]]",[[0.12369252793321606]],[[0.4136338539438889]]
