step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5404912100264343], [1.1351497300354831], [-0.505238265642321]]","[[-0.13248560039298235], [0.1918191934348531], [0.11052768135838972]]","[[-0.5400852224648662], [1.004630387669555], [-0.5170910950987446]]","[[-0.9232829054124658], [-17.198091422372517], [-2.2724421071748946]]","[[1.3361777769081769], [0.8390577098363026]]","[[0.014726759420424784], [-0.003948077056969979]]",[[0.0894202543667271]],[[0.16986127440026053]]
1,"[[-0.5415409583458342], [1.137682479694458], [-0.504550355935556]]","[[-0.08822774164633918], [0.29926348663494895], [0.03833363659659739]]","[[-0.5354575357991537], [1.0241805370018575], [-0.5246539431862403]]","[[-0.5206252146185424], [-15.68401515283798], [-2.8171277694415395]]","[[1.337613802313415], [0.8385299418380724]]","[[0.014090887063789026], [-0.006271167238858233]]",[[0.09159116541306697]],[[0.24936938158406843]]
2,"[[-0.5421393880353739], [1.1413174776131851], [-0.5046006683609413]]","[[-0.043443815904334854], [0.41117926761478785], [-0.036262558714609296]]","[[-0.5320218720164737], [1.0375417310574249], [-0.529512188523789]]","[[-0.3903411889770423], [-15.324906460571796], [-2.8043936477961013]]","[[1.3389855757081646], [0.8377631784565074]]","[[0.013448158179896197], [-0.00870379002699817]]",[[0.09457742121687295]],[[0.33147289299812094]]
3,"[[-0.5422533926357673], [1.1459342317558925], [-0.5053224557343213]]","[[0.005517536471766199], [0.49893425576773354], [-0.09729748355057026]]","[[-0.5286480739796519], [1.0423572204717988], [-0.530762619711111]]","[[-0.38123524207520765], [-16.177135190176745], [-2.26905545674172]]","[[1.3402996149861186], [0.8367801625505275]]","[[0.012925627465065759], [-0.010659742305130226]]",[[0.0983583833858037]],[[0.4071543086889295]]
4,"[[-0.5420850681548798], [1.151305156262711], [-0.506539231329448]]","[[0.023657163886386584], [0.5639626931212107], [-0.13857329678927366]]","[[-0.5281508261686668], [1.0447920872989604], [-0.5309949399176528]]","[[-0.553670657105007], [-17.273535837259168], [-1.6982514537091953]]","[[1.3415718775455299], [0.8356285259356564]]","[[0.01258231348200134], [-0.012126039126614252]]",[[0.10268085677838289]],[[0.4490465602183235]]
5,"[[-0.5419468128699166], [1.1572388211536055], [-0.5080737775757129]]","[[0.011146799206330688], [0.6125075563125182], [-0.16382502190908707]]","[[-0.5299523358772902], [1.0477497717350872], [-0.531711571046765]]","[[-0.7620352733779603], [-18.205912589544774], [-1.3140212886737321]]","[[1.3428184720324154], [0.8343502096687223]]","[[0.012384686359157016], [-0.013225738873845483]]",[[0.10721823070797767]],[[0.45982933361090056]]
6,"[[-0.5420389699838163], [1.1635926367242082], [-0.5098005183104093]]","[[-0.016089908358324384], [0.648930843025662], [-0.17886019800300734]]","[[-0.5327248645772041], [1.0517396834652681], [-0.5330773088849626]]","[[-0.9293229689678031], [-18.92075846049825], [-1.1035034901110257]]","[[1.344050752163539], [0.8329763484656435]]","[[0.012279131913484065], [-0.014062403753400954]]",[[0.11175314842998336]],[[0.45398073666433025]]
7,"[[-0.5424370593785248], [1.170261650093974], [-0.5116413820019704]]","[[-0.0474437243838179], [0.6764181871765321], [-0.18770194420063263]]","[[-0.5358354727033346], [1.0565596095393617], [-0.5348335966955078]]","[[-1.0570534231410056], [-19.465935202065424], [-0.9985669106980184]]","[[1.3452757567667861], [0.8315292128879136]]","[[0.012229717991107947], [-0.014711576638626322]]",[[0.11618320871347726]],[[0.44127251858980393]]
8,"[[-0.5431386639680584], [1.1771687471378611], [-0.5135505162659029]]","[[-0.07659156545347659], [0.6973425222984702], [-0.19303574604839716]]","[[-0.538902927338872], [1.0619939810096684], [-0.5368911340040006]]","[[-1.1529622645933069], [-19.8868899061765], [-0.9652079898575691]]","[[1.3464976510959004], [0.8300245687652803]]","[[0.012212433631364483], [-0.01522879854426451]]",[[0.12047956690390055]],[[0.4277152107965966]]
9,"[[-0.5441041907226523], [1.18425759559396], [-0.5155019430590382]]","[[-0.10108638965231459], [0.7134480829319373], [-0.19639733571775306]]","[[-0.5417965600579869], [1.067815345209749], [-0.539165005675694]]","[[-1.2291705909095096], [-20.227483697483674], [-0.9786108147969881]]","[[1.347718825157766], [0.8284734952657162]]","[[0.01221346648676569], [-0.015652814995026354]]",[[0.12465146181226838]],[[0.41596435756300854]]
