step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5228671453300332], [1.1402485123912283], [-0.531233930838985]]","[[-0.0543992359987204], [0.11251168648903637], [0.05972576866782364]]","[[-0.5206682916903624], [0.9851618763772482], [-0.520280832100395]]","[[-1.0779632916504], [-20.014201743700305], [1.6969637220825728]]","[[0.21690438812273644], [0.8377200397775192]]","[[0.008600631901337086], [-0.0021808433858239162]]",[[0.0861474362222093]],[[0.11783821915927824]]
1,"[[-0.5234515654549117], [1.1413382615692544], [-0.530606201542809]]","[[-0.05860267558422713], [0.10562303083196217], [0.06488768393344785]]","[[-0.5216694540571433], [0.9850831674864169], [-0.5205821308639993]]","[[-1.118177549677156], [-20.12521793003451], [1.5063478903782246]]","[[0.21776766318895607], [0.8375093803566146]]","[[0.008654298562560392], [-0.00204059329990125]]",[[0.08728049457153357]],[[0.11190803918118292]]
2,"[[-0.5240762961279013], [1.1423606678442748], [-0.5299287892654355]]","[[-0.062475577636703236], [0.09902973464269668], [0.06968517591498324]]","[[-0.5226740362575127], [0.9849859081818596], [-0.5208270848472146]]","[[-1.1562850413227403], [-20.23215387796362], [1.3203392175187294]]","[[0.21863569270198646], [0.8373123982127064]]","[[0.008696734087429436], [-0.0019069907376878525]]",[[0.08835558245093893]],[[0.10623933292325402]]
3,"[[-0.5247381025238081], [1.1433186379521232], [-0.5292052628216083]]","[[-0.0660353141558241], [0.09272294260076083], [0.07413310736120338]]","[[-0.5236806898560912], [0.9848714042230234], [-0.5210184678740302]]","[[-1.1923681346839528], [-20.335140198865634], [1.1389101528869965]]","[[0.2195073832986436], [0.8371284390747571]]","[[0.00872849049765867], [-0.0017798288683090746]]",[[0.08937527260670425]],[[0.10082073580158535]]
4,"[[-0.5254339203587222], [1.144214989775497], [-0.5284390435533524]]","[[-0.06929840177723172], [0.08669375173932423], [0.07824606964252911]]","[[-0.5246881499746285], [0.9847409169393474], [-0.5211589629674604]]","[[-1.2265061473855574], [-20.434301220977915], [0.9620272855911042]]","[[0.22038169604177318], [0.8369568696598437]]","[[0.008750105097413141], [-0.001658896056178083]]",[[0.09034202586342427]],[[0.09564141960576016]]
5,"[[-0.526160847581196], [1.145052452211337], [-0.5276334082264724]]","[[-0.07228055711317118], [0.08093327215558968], [0.08203835271456178]]","[[-0.5256952323253763], [0.9845956599730735], [-0.5212511637201716]]","[[-1.258775539906731], [-20.529756054137046], [0.7896518804325352]]","[[0.2212576449422878], [0.836797078037178]]","[[0.008762100388301497], [-0.0015439779334158743]]",[[0.0912581964036678]],[[0.09069106775811893]]
6,"[[-0.526916136601319], [1.1458336655563466], [-0.5267914921760896]]","[[-0.07499674858534566], [0.07543267201133802], [0.08552392403229592]]","[[-0.5267008305055888], [0.9844367973010122], [-0.5212975759272851]]","[[-1.2892501077066343], [-20.621619379614913], [0.6217403201385295]]","[[0.22213429547594143], [0.836648473808129]]","[[0.008764984040382506], [-0.001434859056281823]]",[[0.09212603677893788]],[[0.08595984746170429]]
7,"[[-0.5276971869862035], [1.1465611822723327], [-0.5259162926283952]]","[[-0.07746123963785162], [0.07018321032809455], [0.08871641358860266]]","[[-0.5277039128683332], [0.9842654420835665], [-0.5213006193548694]]","[[-1.3180011253189574], [-20.710002047946674], [0.45824449163256886]]","[[0.2230107630991899], [0.8365104881392394]]","[[0.008759248898795868], [-0.001331324230524622]]",[[0.0929477026577349]],[[0.0814383842788455]]
8,"[[-0.5285015385605111], [1.1472374680327533], [-0.5250106721474375]]","[[-0.079687627061952], [0.06517626160889264], [0.09162910326330748]]","[[-0.5287035193574472], [0.9840826562634495], [-0.521262629655057]]","[[-1.345097475771468], [-20.7950115221651], [0.29911212402263454]]","[[0.22388621176734733], [0.836382573676462]]","[[0.008745373019003466], [-0.0012331595908521287]]",[[0.09372525732480447]],[[0.07711773781138685]]
9,"[[-0.5293268648652871], [1.1478649029817374], [-0.5240773621701429]]","[[-0.0816888748597334], [0.060403334607123604], [0.0942749193631861]]","[[-0.5296987582530606], [0.9838894507684244], [-0.52118586028286]]","[[-1.3706057587511178], [-20.876752202391145], [0.14428710833019542]]","[[0.22475985245756658], [0.8362642043620914]]","[[0.008723819724876236], [-0.001140153489820328]]",[[0.09446067594630754]],[[0.07298937911057629]]
