step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5136604662763294], [1.1339389865338616], [-0.5400618777613746]]","[[-0.6544822334490839], [0.12879038373556756], [0.13101247519751125]]","[[-0.5704848830209936], [0.9567480382155005], [-0.5116673758758682]]","[[-4.043693854601407], [-23.474164234212672], [3.678535223535355]]","[[1.5124915153028253], [0.8387648575282609]]","[[0.006536000745804849], [-0.001598389221990626]]",[[0.08021664249615655]],[[-0.3946793745171438]]
1,"[[-0.5196733609852708], [1.1345313734653626], [-0.5384494265390681]]","[[-0.5645771571907299], [0.007669127466635617], [0.18416804540824105]]","[[-0.5581598427597564], [0.9447304039255803], [-0.5054966128299024]]","[[-1.9212292850731982], [-24.23985798881735], [3.8140322808589784]]","[[1.513164353431134], [0.8387413785687924]]","[[0.006874510156240632], [0.0007794219869627916]]",[[0.07640858594102354]],[[-0.3727399843147147]]
2,"[[-0.5247053536730613], [1.1339778129205225], [-0.5363614772603763]]","[[-0.46517228707902847], [-0.10081592440868781], [0.2277740031642539]]","[[-0.5549391034319404], [0.9406453377092837], [-0.5028520607349449]]","[[-1.6933305831210084], [-23.699521847248242], [3.4600344302909365]]","[[1.5138666449304938], [0.8389411042650133]]","[[0.007139967304059525], [0.002882744878085486]]",[[0.0729109819870849]],[[-0.3382142083223238]]
3,"[[-0.5291763530453865], [1.1325270373081955], [-0.5338613790264155]]","[[-0.4296051786605052], [-0.17807735779596978], [0.26572193546195777]]","[[-0.5569661737547363], [0.9395338430266704], [-0.5016109816234785]]","[[-1.730501771940631], [-22.879149755997243], [2.8887059765148377]]","[[1.5145954299798132], [0.8393175919863284]]","[[0.007387963810367992], [0.0044143533931895185]]",[[0.0694893052363936]],[[-0.3419606009945171]]
4,"[[-0.5332756998087029], [1.1304258162652738], [-0.5310576284897722]]","[[-0.39247355209457924], [-0.2334402783931121], [0.29034641642252484]]","[[-0.5573530795462497], [0.9398305739904819], [-0.5008681686209968]]","[[-1.5653077023594455], [-21.970912002994773], [2.3249842483926866]]","[[1.5153433269584677], [0.8398210384354938]]","[[0.007536468374436112], [0.0054786243343096785]]",[[0.06609248796679866]],[[-0.3355674140640277]]
5,"[[-0.537003179453437], [1.127883359735422], [-0.5280742177785166]]","[[-0.3560020334265965], [-0.26878348771144933], [0.30326987031275465]]","[[-0.557483958569444], [0.9405666322778294], [-0.500237925746017]]","[[-1.4105995466201477], [-21.1311514003622], [1.834165896528516]]","[[1.5161011951959624], [0.8404072080537421]]","[[0.007599551376413771], [0.006122315970935599]]",[[0.0628059625034674]],[[-0.3215156508264296]]
6,"[[-0.5404121413846167], [1.1250848121041348], [-0.5250096260893165]]","[[-0.3268562497175339], [-0.28706964475746294], [0.30762188394973183]]","[[-0.5580524581854246], [0.9411467092362824], [-0.4995014979715799]]","[[-1.2983276867240081], [-20.44845847628958], [1.4340543837934239]]","[[1.5168620382641427], [0.8410379828822385]]","[[0.007602804702044885], [0.006419331944196305]]",[[0.05966304463020177]],[[-0.30630401052412665]]
7,"[[-0.5435678236077945], [1.1221758978830099], [-0.5219364364276877]]","[[-0.30374642728580525], [-0.2926980852602024], [0.30575337140169184]]","[[-0.5589036216141244], [0.9413452555921067], [-0.4985750171239728]]","[[-1.2052551706064012], [-19.935312182381168], [1.1246662751070853]]","[[1.5176207884881392], [0.8416839268445525]]","[[0.007562703113217495], [0.006462484706026839]]",[[0.056671637847527934]],[[-0.29069114114431577]]
8,"[[-0.5465201156197129], [1.1192607681531368], [-0.5189057020242938]]","[[-0.285059616275801], [-0.289611823969026], [0.299670650407461]]","[[-0.5599500446433647], [0.9411303840186248], [-0.49745722547543436]]","[[-1.1268116721548953], [-19.572445760201326], [0.8937789438707914]]","[[1.5183738746421191], [0.8423243008493612]]","[[0.007493124160951048], [0.006333720890816519]]",[[0.05383495050913053]],[[-0.27500078983850473]]
9,"[[-0.5493071816382975], [1.1164088881235728], [-0.5159503599053084]]","[[-0.26984464261774505], [-0.2809247953949463], [0.2910178581322345]]","[[-0.5611536428403008], [0.9405541554011061], [-0.496182188915585]]","[[-1.0613782247465713], [-19.330832755290444], [0.7246500368157422]]","[[1.5191189909839993], [0.8429455703187767]]","[[0.007405594037290797], [0.00609751205969955]]",[[0.051151346579969656]],[[-0.25975157987817965]]
