step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5358119934913643], [1.1241242222141758], [-0.5024833010264015]]","[[-0.7630552639473913], [0.11116726831092025], [0.2680539461860285]]","[[-0.5999509373044047], [0.9357586094586942], [-0.4909478721485073]]","[[-4.558345157938037], [-25.219855913072237], [-0.2009802214188472]]","[[0.09367572275493385], [0.8413019742251879]]","[[0.01503635435625289], [-0.0015019230041546372]]",[[0.08582892769640996]],[[-0.3838340494504423]]
1,"[[-0.5429569649917245], [1.1245468037787436], [-0.49951054450769194]]","[[-0.6768781530588511], [-0.00918810147812843], [0.3186476173852389]]","[[-0.5884520339724709], [0.92378480684602], [-0.48524159621820107]]","[[-2.3675930685093487], [-25.96580260093785], [-0.3175772587112522]]","[[0.09519123714507431], [0.8412838797856979]]","[[0.015231035986604247], [0.0008014646090570565]]",[[0.08207929427932682]],[[-0.3674186371517407]]
2,"[[-0.5490766077118192], [1.1238311734069506], [-0.4961051741572999]]","[[-0.5693304567952189], [-0.11655864922795128], [0.3569604186206934]]","[[-0.5855009341606614], [0.9195903641075929], [-0.4828964087369837]]","[[-2.111522657391779], [-25.436264358435313], [-0.8636622016409603]]","[[0.09671963275421906], [0.8414813448360923]]","[[0.015316527948450176], [0.002821962479948592]]",[[0.0786493915378337]],[[-0.32892868740019965]]
3,"[[-0.5545819173100868], [1.1222343857571595], [-0.49233852878557255]]","[[-0.5300984785905382], [-0.1917952313750637], [0.38986240669171857]]","[[-0.5884905370474789], [0.9181121706142703], [-0.48179739145339007]]","[[-2.1952001302935535], [-24.676642995290173], [-1.5966443055587367]]","[[0.09825546541035966], [0.841845861785525]]","[[0.015365500672180621], [0.004248230834358324]]",[[0.07531393966149881]],[[-0.3320313032761606]]
4,"[[-0.5596951405387232], [1.1200118356849844], [-0.48831835308525107]]","[[-0.49171777817804097], [-0.24445314524176615], [0.40947112116600193]]","[[-0.5899277663740865], [0.9179356037050851], [-0.4811003441353259]]","[[-2.066889498092539], [-23.855835784223412], [-2.300321293836465]]","[[0.09978960453102026], [0.8423267934684856]]","[[0.015298298891114337], [0.005208759191110968]]",[[0.07199834206100865]],[[-0.3266998022549436]]
5,"[[-0.5644193595438519], [1.1173739892248347], [-0.4841691528562174]]","[[-0.4533882226514281], [-0.2772859062227794], [0.4173368160220259]]","[[-0.5909876722655142], [0.9181490825727749], [-0.48044040321320874]]","[[-1.937817724311957], [-23.113145515213596], [-2.911658914111207]]","[[0.10131118963934693], [0.8428809648273701]]","[[0.015128959155298605], [0.005764789624018718]]",[[0.06878547682476509]],[[-0.3133373128521815]]
6,"[[-0.5688050844384441], [1.1145023138450973], [-0.47998810139308595]]","[[-0.4222910013043259], [-0.29354836749093605], [0.41687460491814915]]","[[-0.5924549488007885], [0.918185996371394], [-0.47961734524557625]]","[[-1.8503725376543483], [-22.529106774249428], [-3.418539517788438]]","[[0.10281179884102219], [0.843472007988112]]","[[0.014887463961017755], [0.005992819836575514]]",[[0.06570912801356689]],[[-0.2989647638782514]]
7,"[[-0.5729178514173099], [1.1115371735560735], [-0.47584476206637366]]","[[-0.3973090560062745], [-0.297730687539724], [0.4105314504033102]]","[[-0.594168944494033], [0.9178538572816954], [-0.4785654812849469]]","[[-1.778432397466871], [-22.109400297068518], [-3.825213469807693]]","[[0.1042853503000562], [0.8440723750254299]]","[[0.014594120056547755], [0.005985964705124136]]",[[0.06277456007238981]],[[-0.2845082931426882]]
8,"[[-0.5768068366147466], [1.108576828771854], [-0.47178699381784023]]","[[-0.3766002632090486], [-0.2937900049311354], [0.4002816359536489]]","[[-0.596015647951083], [0.9171458867837684], [-0.4772968134255177]]","[[-1.7156112157692975], [-21.82988636683968], [-4.146146389041593]]","[[0.10572756873806659], [0.844663161276567]]","[[0.01426542911872053], [0.00582482794999617]]",[[0.059982998339267506]],[[-0.27010863218653514]]
9,"[[-0.5805082775151065], [1.1056852278457259], [-0.4678449529255034]]","[[-0.3591464465625301], [-0.2847668124588128], [0.3877172401668415]]","[[-0.5979556478351006], [0.916126734583474], [-0.4758535944853244]]","[[-1.6610966091868242], [-21.659485524396413], [-4.399239785229741]]","[[0.107135678144507], [0.8452324366468998]]","[[0.013915000566780411], [0.005570942914090438]]",[[0.05733199740511545]],[[-0.25619601885791754]]
10,"[[-0.5840492931978644], [1.10290047100374], [-0.46403536886626]]","[[-0.3441011153863334], [-0.27289345875953674], [0.37398479563200293]]","[[-0.5999421429061266], [0.9148856737773846], [-0.47428558755396605]]","[[-1.6123352522363934], [-21.567661073940886], [-4.601162837787414]]","[[0.10850806312427795], [0.8457734658822031]]","[[0.013552851487654005], [0.005268835419847129]]",[[0.05481580893961694]],[[-0.24300977851272856]]
