step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.4952155434471452], [1.1313258233353085], [-0.5528873407882969]]","[[0.012393185618522637], [0.19132918369717394], [-0.07656452567052024]]","[[-0.4860599937557652], [1.016753910763074], [-0.5424942711672437]]","[[-0.2846015838958935], [-14.497607114329515], [2.9117316993782714]]","[[0.9058021180816858], [0.838780087383472]]","[[0.0022482005660018345], [-0.003973978357207919]]",[[0.08322293909986475]],[[0.12715784364517627]]
1,"[[-0.49480728068231555], [1.1338474973051245], [-0.5540551770654406]]","[[0.054872471861195066], [0.29812204367482154], [-0.14556932196595074]]","[[-0.4801135412789492], [1.035938987358115], [-0.5519808174269877]]","[[0.14677578463460494], [-13.020228260114603], [2.3252814162593953]]","[[0.9060081317162719], [0.838248411232222]]","[[0.0019395734419669353], [-0.006321188113134202]]",[[0.0849850395573692]],[[0.20742519357120456]]
2,"[[-0.49394982044766395], [1.1374729696708317], [-0.5559394262562319]]","[[0.10022568687584366], [0.41090586074108526], [-0.21873653556253814]]","[[-0.4754079107434182], [1.049554404001307], [-0.559418304340597]]","[[0.2720301049703455], [-12.617014120167688], [2.210580569949598]]","[[0.9061813220897156], [0.8374727103273464]]","[[0.0016007975565446309], [-0.008824692102737952]]",[[0.08758372296693456]],[[0.292395012053252]]
3,"[[-0.4925565737838838], [1.1420766848335486], [-0.5584845075275217]]","[[0.1560667939889272], [0.49774042590807194], [-0.27885033820375976]]","[[-0.47048471915190404], [1.0537240391195843], [-0.5627166190543762]]","[[0.24811580920227594], [-13.544593650784886], [2.703009293099784]]","[[0.9063247731245043], [0.8364753617413665]]","[[0.0013412342829699497], [-0.01082474525871957]]",[[0.0910356035221431]],[[0.37495688169323943]]
4,"[[-0.4908399137481655], [1.1474304131175128], [-0.561514030604087]]","[[0.17710192215296094], [0.5624608756105365], [-0.31899025540696335]]","[[-0.46883188151874566], [1.0554915433176717], [-0.5648365020139615]]","[[0.013072165722672668], [-14.72450190085317], [3.2515599738143237]]","[[0.9064511963067517], [0.8353058797973476]]","[[0.0012314941413738012], [-0.012317502680148085]]",[[0.09507646876526114]],[[0.42057254235653413]]
5,"[[-0.4891458118879019], [1.1533495231210518], [-0.5648502443560279]]","[[0.16455145406323557], [0.6114097331000484], [-0.3431532894671691]]","[[-0.469621321170961], [1.0578827461189464], [-0.5674874806235697]]","[[-0.25131540724054413], [-15.732787335930228], [3.6051422195827882]]","[[0.9065738760004579], [0.8340078135423805]]","[[0.0012401562399677601], [-0.013429024926681077]]",[[0.09935346687712053]],[[0.43280789769611494]]
6,"[[-0.48768882572988115], [1.1596953996390522], [-0.5683692245092006]]","[[0.13648217155559372], [0.6485440077077369], [-0.3573373002508876]]","[[-0.47137225123707205], [1.0614364261387985], [-0.570845481460191]]","[[-0.4641060197592555], [-16.508178561990704], [3.777112482851659]]","[[0.9067014472512736], [0.8326135272017349]]","[[0.0013145879595222176], [-0.014267965788816728]]",[[0.10363734939997]],[[0.42768887901130415]]
7,"[[-0.48654528168509553], [1.166364290449061], [-0.5719955858729967]]","[[0.10447213931791462], [0.6768152367387875], [-0.3656190197856125]]","[[-0.47340735256264044], [1.065909322515778], [-0.5746277246625233]]","[[-0.6300450120230312], [-17.102510555477938], [3.840252630784744]]","[[0.9068383990187324], [0.8311460352430924]]","[[0.0014207554616341156], [-0.01491407426599256]]",[[0.10782342289096811]],[[0.41566835626881227]]
8,"[[-0.48570160174803134], [1.1732779165778282], [-0.5756872280330168]]","[[0.07612679073447806], [0.6983608931621395], [-0.37081470168919484]]","[[-0.47525183429387496], [1.0710326183384618], [-0.5788048276794518]]","[[-0.7570015609332714], [-17.566685108868146], [3.821399651963264]]","[[0.9069864175843426], [0.8296215223656027]]","[[0.0015344993250065997], [-0.015425586165451755]]",[[0.11188908679678038]],[[0.40367298220742276]]
9,"[[-0.4851036300376096], [1.1803778969474934], [-0.5794221953151346]]","[[0.053833321636529735], [0.7148770739117212], [-0.374430059470492]]","[[-0.4767962409650242], [1.0765269919685074], [-0.5832766224788765]]","[[-0.8622548963754827], [-17.951531961392458], [3.748060141167943]]","[[0.9071454969290085], [0.828051243298828]]","[[0.0016431529412663792], [-0.01584288993836669]]",[[0.11585207159474926]],[[0.3942803360777592]]
