step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5228671453300449], [1.140248512391233], [-0.5312339308389865]]","[[-0.054399235996954676], [0.11251168648648169], [0.05972576866771606]]","[[-0.5206682916904026], [0.9851618763772386], [-0.5202808321003962]]","[[-1.077963291638814], [-20.014201743718086], [1.6969637220518263]]","[[1.5267709628418953], [0.8377200397775189]]","[[0.00860063190133431], [-0.0021808433858350185]]",[[0.08614743622220325]],[[0.11783821915952045]]
1,"[[-0.5234515654549272], [1.141338261569257], [-0.5306062015428041]]","[[-0.058602675585725836], [0.10562303083308913], [0.0648876839355228]]","[[-0.5216694540571924], [0.9850831674864057], [-0.5205821308640008]]","[[-1.1181775496829576], [-20.12521793003035], [1.5063478903862397]]","[[1.5276342379081151], [0.8375093803566142]]","[[0.008654298562560392], [-0.0020405932998901477]]",[[0.08728049457152422]],[[0.11190803918060872]]
2,"[[-0.524076296127916], [1.142360667844278], [-0.5299287892654311]]","[[-0.062475577639201196], [0.09902973464607903], [0.06968517591719398]]","[[-0.5226740362574798], [0.9849859081818625], [-0.5208270848472185]]","[[-1.1562850413691343], [-20.232153877896238], [1.3203392175148203]]","[[1.5285022674211453], [0.8373123982127065]]","[[0.008696734087410007], [-0.0019069907376545459]]",[[0.08835558245093052]],[[0.10623933292293318]]
3,"[[-0.5247381025238147], [1.1433186379521219], [-0.5292052628216065]]","[[-0.06603531415366627], [0.09272294259895072], [0.07413310735817885]]","[[-0.5236806898560447], [0.9848714042230448], [-0.5210184678740384]]","[[-1.1923681346615844], [-20.335140198891843], [1.1389101529107735]]","[[1.5293739580178025], [0.8371284390747571]]","[[0.008728490497666996], [-0.001779828868331279]]",[[0.08937527260670007]],[[0.10082073580232465]]
4,"[[-0.525433920358731], [1.1442149897754983], [-0.5284390435533495]]","[[-0.06929840177875647], [0.08669375174115251], [0.0782460696418047]]","[[-0.5246881499746772], [0.98474091693935], [-0.5211589629674648]]","[[-1.2265061473897738], [-20.434301220972102], [0.9620272855624017]]","[[1.530248270760932], [0.836956869659844]]","[[0.008750105097399263], [-0.0016588960561669808]]",[[0.09034202586341962]],[[0.09564141960533944]]
5,"[[-0.526160847581205], [1.1450524522113383], [-0.52763340822647]]","[[-0.07228055711337109], [0.0809332721561272], [0.08203835271550342]]","[[-0.52569523232536], [0.9845956599730809], [-0.5212511637201745]]","[[-1.258775539904124], [-20.52975605414204], [0.7896518804595004]]","[[1.5311242196614465], [0.8367970780371781]]","[[0.008762100388315375], [-0.0015439779334158743]]",[[0.09125819640366342]],[[0.09069106775825952]]
6,"[[-0.5269161366013247], [1.1458336655563452], [-0.5267914921760851]]","[[-0.07499674858523273], [0.07543267201021675], [0.08552392403771608]]","[[-0.526700830505594], [0.984436797301018], [-0.5212975759272884]]","[[-1.289250107727913], [-20.6216193795911], [0.6217403201777343]]","[[1.5320008701951], [0.836648473808129]]","[[0.008764984040365853], [-0.0014348590562707209]]",[[0.09212603677893495]],[[0.08595984746156142]]
7,"[[-0.5276971869862095], [1.1465611822723336], [-0.5259162926283933]]","[[-0.0774612396384272], [0.07018321032935027], [0.08871641358680504]]","[[-0.5277039128683224], [0.9842654420835739], [-0.521300619354872]]","[[-1.3180011253171382], [-20.71000204794649], [0.45824449163231795]]","[[1.5328773378183485], [0.8365104881392391]]","[[0.00875924889878199], [-0.001331324230524622]]",[[0.09294770265773265]],[[0.08143838427886685]]
8,"[[-0.5285015385605177], [1.1472374680327584], [-0.5250106721474377]]","[[-0.07968762706476674], [0.06517626161300094], [0.09162910326277013]]","[[-0.5287035193574445], [0.9840826562634559], [-0.5212626296550589]]","[[-1.3450974757970102], [-20.795011522128984], [0.29911212400780873]]","[[1.533752786486506], [0.8363825736764615]]","[[0.008745373019003466], [-0.0012331595908410264]]",[[0.0937252573248034]],[[0.07711773781100428]]
9,"[[-0.5293268648652882], [1.1478649029817407], [-0.5240773621701407]]","[[-0.08168887485846757], [0.060403334605921566], [0.0942749193648067]]","[[-0.5296987582530206], [0.9838894507684391], [-0.5211858602828632]]","[[-1.3706057587373939], [-20.876752202407214], [0.14428710833801406]]","[[1.534626427176725], [0.8362642043620908]]","[[0.008723819724876236], [-0.001140153489820328]]",[[0.09446067594631004]],[[0.07298937911112202]]
10,"[[-0.5301709669484872], [1.1484457831582149], [-0.5231189666014053]]","[[-0.08347734626787667], [0.05585608706100298], [0.09666642765613492]]","[[-0.5306888030841991], [0.9836867860727712], [-0.5210724844556187]]","[[-1.394590393827572], [-20.955325681129114], [-0.0062902065677024055]]","[[1.5354975164180225], [0.8361548751710605]]","[[0.008695037687944662], [-0.0010520972378413873]]",[[0.09515584960832069]],[[0.06904516844698384]]
11,"[[-0.531031767458917], [1.1489823220496642], [-0.5221379654486309]]","[[-0.08506483261235874], [0.05152633734709333], [0.09881583015254619]]","[[-0.5316728895073657], [0.9834755730766134], [-0.5209245970944619]]","[[-1.4171137061405688], [-21.03083093784192], [-0.15268272695981921]]","[[1.53636535483018], [0.836054101780181]]","[[0.008659461023374782], [-0.000968785718513665]]",[[0.09581258914211717]],[[0.06527733488841954]]
12,"[[-0.5319073050192585], [1.1494766522488762], [-0.5211367184795566]]","[[-0.08646258010345959], [0.04740607375024214], [0.1007349634192613]]","[[-0.5326503122786114], [0.9832566742090767], [-0.5207442167398968]]","[[-1.4382360054075247], [-21.10336449275602], [-0.2949563343294743]]","[[1.537229285673178], [0.8359614201814822]]","[[0.008617509401998014], [-0.0008900179020554511]]",[[0.0964326287500618]],[[0.06167845706490521]]
13,"[[-0.5327957288606051], [1.1499308271935738], [-0.5201174688900112]]","[[-0.08768131504838031], [0.04348746197748843], [0.10243529804689291]]","[[-0.5336204223271348], [0.9830309046866001], [-0.5205332874306933]]","[[-1.4580156586720858], [-21.173020530992126], [-0.43317961197333965]]","[[1.5380886934087696], [0.8358763862490558]]","[[0.008569588178608534], [-0.0008155972712642345]]",[[0.0970176294429582]],[[0.058241444976001006]]
14,"[[-0.5336952937030351], [1.1503468229724465], [-0.5190823469700361]]","[[-0.0887312675639102], [0.03976285110516792], [0.10392793929571728]]","[[-0.5345826239292759], [0.9827990338837523], [-0.5202936805439425]]","[[-1.4765091561894363], [-21.239891005979636], [-0.5674235754475558]]","[[1.5389430022757316], [0.8357985752675309]]","[[0.00851608853487118], [-0.0007453321709594007]]",[[0.09756918229937259]],[[0.054959522833558934]]
15,"[[-0.5346043548682806], [1.1507265401836766], [-0.5180333737584084]]","[[-0.08962219399692653], [0.03622477828613474], [0.10522362858742376]]","[[-0.5355363719849029], [0.9825617867826735], [-0.5200271965957554]]","[[-1.4937711729013916], [-21.304065725071936], [-0.697761409406292]]","[[1.539791674880294], [0.8357275814293259]]","[[0.008457387637705871], [-0.0006790360900454928]]",[[0.09808881155698806]],[[0.051826212877770686]]
16,"[[-0.535521363610502], [1.1510718058337137], [-0.5169724646766811]]","[[-0.09036339790104751], [0.032865972214035144], [0.10633274595208433]]","[[-0.5364811693778656], [0.9823198454777424], [-0.5197355670056022]]","[[-1.5098546240268258], [-21.365632422535416], [-0.8242682096980735]]","[[1.5406342108031863], [0.8356630173070483]]","[[0.008393848811127924], [-0.0006165278833236698]]",[[0.09857797754653139]],[[0.04883532026507205]]
17,"[[-0.5364448626546847], [1.151384375265847], [-0.5159014331346929]]","[[-0.090963750204353], [0.029679355709054223], [0.10726531313293708]]","[[-0.5374165644630562], [0.982073850716071], [-0.5194204558276508]]","[[-1.524810718851003], [-21.424676821441523], [-0.9470207331960206]]","[[1.5414701452247273], [0.8356045133066683]]","[[0.008325821722898752], [-0.0005576319397015972]]",[[0.0990380794764689]],[[0.045980918638776985]]
18,"[[-0.5373734819315532], [1.1516659341089064], [-0.5148219941001289]]","[[-0.09143170813256826], [0.02665804727550028], [0.10803099749974276]]","[[-0.5383421486338471], [0.981824403459924], [-0.5190834614516586]]","[[-1.538689009301529], [-21.4812826870495], [-1.0660971545647335]]","[[1.5422990475693141], [0.8355517171065159]]","[[0.008253642584055143], [-0.0005021783028302806]]",[[0.09947045807722743]],[[0.04325733664495221]]
19,"[[-0.5383059344993345], [1.1519181002376893], [-0.5137357676255789]]","[[-0.09177533333245688], [0.023795361942760745], [0.10863911652466979]]","[[-0.5392575539985037], [0.9815720664594608], [-0.5187261182773241]]","[[-1.5515374366321963], [-21.53553187234934], [-1.1815768327378133]]","[[1.5431205201706073], [0.8355042930866028]]","[[0.00817763436120611], [-0.00045000274886408675]]",[[0.09987639811277742]],[[0.04065914513725101]]
20,"[[-0.5392410126422892], [1.1521424257372526], [-0.5126442823272659]]","[[-0.09200230890374614], [0.021084811286556038], [0.10909864284944168]]","[[-0.5401624511340518], [0.9813173658264639], [-0.5183498983647298]]","[[-1.5634023745366354], [-21.58750435701647], [-1.2935400857783783]]","[[1.543934196958632], [0.8354619217522695]]","[[0.008098107000797938], [-0.0004009468264731808]]",[[0.10025713076769689]],[[0.03818114523225166]]
21,"[[-0.5401775841380526], [1.1523403988643983], [-0.5115489788099876]]","[[-0.09211995580011148], [0.01852010288035208], [0.10941820984450606]]","[[-0.5410565469494978], [0.9810607926008028], [-0.5179562130636113]]","[[-1.5743286708475277], [-21.637278281419515], [-1.402067976041718]]","[[1.54473974216995], [0.8354242991556824]]","[[0.008015357664437062], [-0.0003548578636491939]]",[[0.10061383591635764]],[[0.03581835692588547]]
22,"[[-0.5411145886855705], [1.152513446000201], [-0.5104512130336076]]","[[-0.09213524834407605], [0.016095139123192992], [0.10960611764832282]]","[[-0.5419395826272132], [0.9808028043028251], [-0.5175464146228237]]","[[-1.5843596867648437], [-21.684929975360593], [-1.5072421058670462]]","[[1.5455368490819652], [0.8353911363182901]]","[[0.007929670974649028], [-0.00031158894521210456]]",[[0.10094764428102135]],[[0.033566008425162386]]
23,"[[-0.5420510344858201], [1.1526629335881762], [-0.5093522596170009]]","[[-0.09205482901029619], [0.013804015559512689], [0.10967033953843996]]","[[-0.5428113316524003], [0.9805438264660291], [-0.5171217977818541]]","[[-1.5935373339242305], [-21.730533983904802], [-1.6091444230384766]]","[[1.5463252387723334], [0.8353621586569545]]","[[0.007841319269830116], [-0.0002709988650262396]]",[[0.10125963948535674]],[[0.03141952608993381]]
24,"[[-0.5429859949683772], [1.1527901700533831], [-0.5082533150757758]]","[[-0.0918850225780358], [0.01164101878648835], [0.10961852872012756]]","[[-0.5436715979282295], [0.980284254144653], [-0.5166836013451767]]","[[-1.6019021108625255], [-21.77416308881795], [-1.7078570380115978]]","[[1.54710465890436], [0.8353371054161094]]","[[0.00775056286745901], [-0.00023295205591189472]]",[[0.10155086000922951]],[[0.02937452492744142]]
25,"[[-0.5439186056571147], [1.1528964076983033], [-0.5071555009907804]]","[[-0.09163184958764907], [0.009600623931917185], [0.1094580253046118]]","[[-0.5445202139707194], [0.9800244533920892], [-0.5162330097400595]]","[[-1.6094931372991386], [-21.815888328499938], [-1.8034620510820925]]","[[1.547874882539181], [0.835315729107968]]","[[0.007657650335257671], [-0.00019731850118276384]]",[[0.1018223010504084]],[[0.027426799647741182]]
26,"[[-0.544848061168553], [1.1529828445719221], [-0.5060598671047005]]","[[-0.09130103920329871], [0.0076774918385340285], [0.10919586360794037]]","[[-0.5453570391795544], [0.9797647627061224], [-0.515771154558149]]","[[-1.616348187325459], [-21.855779015600845], [-1.8960413907032947]]","[[1.5486357069754102], [0.8352977949625103]]","[[0.007562818768391821], [-0.0001639736297742722]]",[[0.10207491629867023]],[[0.025572316245452982]]
27,"[[-0.545773612337195], [1.153050626308917], [-0.5049673943446382]]","[[-0.09089804151902041], [0.005866465908443613], [0.10883877963679986]]","[[-0.546181958191156], [0.9795054944380146], [-0.5152991160809046]]","[[-1.6225037222269463], [-21.893902752894615], [-1.9856766623514408]]","[[1.549386952616864], [0.8352830803886891]]","[[0.007466294072555613], [-0.00013279819849332242]]",[[0.10230961962708324]],[[0.02380720402622312]]
28,"[[-0.5466945634623016], [1.1531008479363993], [-0.5038789977689108]]","[[-0.09042803933311758], [0.004162568765480351], [0.1083932186748201]]","[[-0.5469948793013788], [0.9792469361626537], [-0.5148179247884404]]","[[-1.6279949216940137], [-21.930325448560538], [-2.072449008020506]]","[[1.5501284618688698], [0.8352713744480653]]","[[0.007368291251741432], [-0.00010367816297707222]]",[[0.10252728670518722]],[[0.02212774810718294]]
29,"[[-0.547610269670718], [1.1531345556459212], [-0.5027955294366449]]","[[-0.08989595941448313], [0.0025609986915192395], [0.10786534306189526]]","[[-0.5477957329607648], [0.9789893520079431], [-0.5143285628516199]]","[[-1.6328557147162444], [-21.965111330387707], [-2.1564389758281717]]","[[1.5508600980635805], [0.8352624773418551]]","[[0.007269014699673448], [-7.650453974772375e-05]]",[[0.10272875653855741]],[[0.020530382336654072]]
30,"[[-0.5485201343908364], [1.1531527485289497], [-0.5017177811992374]]","[[-0.08930648325462655], [0.0010571258555887308], [0.10726104002093162]]","[[-0.5485844703388191], [0.9787329839416272], [-0.513831965606815]]","[[-1.6371188095873546], [-21.998322959938744], [-2.2377263998751675]]","[[1.5515817444146252], [0.8352561999121727]]","[[0.007168658494371982], [-5.1173261594872343e-05]]",[[0.10291483293887507]],[[0.019011682620755053]]
31,"[[-0.5494236069331254], [1.1531563802743399], [-0.5006464874128939]]","[[-0.08866405744151165], [-0.0003535115120011645], [0.10658592955648356]]","[[-0.5493610619563188], [0.978478053014172], [-0.5133290230126577]]","[[-1.6408157235970018], [-22.03002124644327], [-2.3163902893980497]]","[[1.5522933030013433], [0.8352523631580763]]","[[0.007067406694716283], [-2.7585027173593346e-05]]",[[0.10308628592831964]],[[0.017568360602970727]]
32,"[[-0.5503201801726354], [1.1531463608265449], [-0.4995823275718897]]","[[-0.08797290351317527], [-0.0016752111485466847], [0.10584537238255211]]","[[-0.5501254963799777], [0.9782247605571665], [-0.5128205810881781]]","[[-1.6439768117557534], [-22.060265461246566], [-2.3925087277571633]]","[[1.5529946937827745], [0.8352507977668682]]","[[0.006965433638317364], [-5.645147149735408e-06]]",[[0.10324385308202119]],[[0.016197257723107553]]
33,"[[-0.5512093883295598], [1.1531235580037265], [-0.4985259288623616]]","[[-0.08723702752761428], [-0.002912110757570474], [0.10504447784429966]]","[[-0.5508777789838206], [0.9779732893363308], [-0.5123074433315451]]","[[-1.646631295813736], [-22.089113252043376], [-2.4661587803932736]]","[[1.553685853641496], [0.8352513436609593]]","[[0.006862904240145795], [1.4736612474752775e-05]]",[[0.10338824081180635]],[[0.014895339557976247]]
34,"[[-0.5520908048434823], [1.1530887990749503], [-0.4974778686367789]]","[[-0.08646022910203914], [-0.0040681921799320675], [0.10418811181362211]]","[[-0.5516179307637219], [0.9777238046593378], [-0.511790372118651]]","[[-1.6488072920737742], [-22.116620658061944], [-2.5374164116431714]]","[[1.5543667354573183], [0.8352538495604892]]","[[0.006759974290804216], [3.3646188235536556e-05]]",[[0.1035201255946881]],[[0.013659690532789532]]
35,"[[-0.5529640403378152], [1.1530428722961217], [-0.4964386768093864]]","[[-0.08564611020814164], [-0.005147285518691674], [0.10328090459073958]]","[[-0.5523459872167225], [0.977476455438006], [-0.5112700900808776]]","[[-1.6505318394717263], [-22.142842125900245], [-2.6063564090984617]]","[[1.5550373072107981], [0.8352581725617833]]","[[0.006656790754222541], [5.116537750149419e-05]]",[[0.10364015514892021]],[[0.01248750886390624]]
36,"[[-0.5538287406707632], [1.152986528404265], [-0.4954088381730779]]","[[-0.08479808356027663], [-0.006153073322319402], [0.10232725867545872]]","[[-0.5530619972726555], [0.977231375205419], [-0.5107472814611361]]","[[-1.6518309269883145], [-22.167830525933642], [-2.6730523172545526]]","[[1.555697551116449], [0.8352641777316316]]","[[0.006553492063710031], [6.737199630402202e-05]]",[[0.10374894956042531]],[[0.011376101796278787]]
37,"[[-0.554684585069369], [1.152920482070121], [-0.494388794638485]]","[[-0.08391938068689618], [-0.007089094764054837], [0.10133135653845349]]","[[-0.5537660222801457], [0.9769886830883626], [-0.5102225934475403]]","[[-1.6527295208627955], [-22.191637169709594], [-2.73757637748348]]","[[1.5563474627854736], [0.8352717377173016]]","[[0.0064502084162088025], [8.23400359006854e-05]]",[[0.10384710236226721]],[[0.010322881088641172]]
38,"[[-0.5555312843433302], [1.1528454133089785], [-0.49337894739603727]]","[[-0.08301305967167842], [-0.007958749824102912], [0.10029716822888678]]","[[-0.5544581350442885], [0.9767484847357017], [-0.5096966374840077]]","[[-1.6532515915489379], [-22.214311828016434], [-2.799999476084502]]","[[1.5569870504177894], [0.835280732372114]]","[[0.0063470620637939845], [9.613981722944587e-05]]",[[0.10393518156961222]],[[0.00932535873538289]]
39,"[[-0.5563685791755387], [1.1527619688500246], [-0.4923796590020154]]","[[-0.08208201261171706], [-0.008765303431157057], [0.09922845895008375]]","[[-0.55513841891407], [0.9765108732033896], [-0.5091699905570759]]","[[-1.6534201403494835], [-22.235902749977114], [-2.8603910988155006]]","[[1.5576163340230624], [0.8352910483963707]]","[[0.006244167602353912], [0.00010883814319795349]]",[[0.10401373067247043]],[[0.008381142906070917]]
40,"[[-0.5571962384862953], [1.1526707634643778], [-0.4913912553897138]]","[[-0.08112897277786232], [-0.009511889574345123], [0.09812879644255763]]","[[-0.555806966917308], [0.9762759297971539], [-0.5086431964583671]]","[[-1.653257225764301], [-22.256456683028084], [-2.9188192917391733]]","[[1.5582353446704185], [0.8353025789933494]]","[[0.006141632256562168], [0.00012049844790862352]]",[[0.10408326958836966]],[[0.0074879340926276555]]
