step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5175727145665127], [1.1324480058993265], [-0.5324218813392673]]","[[-0.6833628616632909], [0.12032825592739302], [0.16599251549308314]]","[[-0.5765471869233542], [0.9521597081954608], [-0.5077209712354068]]","[[-4.184384249772944], [-23.904120408116192], [2.7793657181237377]]","[[1.6974189080532476], [0.8392317674502043]]","[[0.008515080437687672], [-0.0014147995195168406]]",[[0.08245340999354576]],[[-0.39704209024509196]]
1,"[[-0.523881365301142], [1.1329575736602426], [-0.5304630630047851]]","[[-0.5937166500488319], [-0.0005466074801687149], [0.218364765494936]]","[[-0.5644321587337934], [0.940085687499943], [-0.5016028508277531]]","[[-2.0502926419730283], [-24.669806199825015], [2.8621133149127234]]","[[1.698287697294679], [0.8392256486302436]]","[[0.008815772594839011], [0.0009450930256504897]]",[[0.07861314535431492]],[[-0.37589849203292613]]
2,"[[-0.5291977822903212], [1.1323235250216381], [-0.5280395051121455]]","[[-0.4925615372694916], [-0.10874562265821308], [0.2607242899228463]]","[[-0.5613224098730677], [0.9359253069147584], [-0.4989818704508892]]","[[-1.8173404488430667], [-24.133526054511282], [2.466224998351845]]","[[1.6991817563611116], [0.8394408882473734]]","[[0.009036740399248622], [0.0030287093723213587]]",[[0.07508623761917203]],[[-0.3405828700037194]]
3,"[[-0.5339403685943458], [1.130796023150834], [-0.5252160138293409]]","[[-0.4559955816853084], [-0.1855529410266732], [0.2974508902858434]]","[[-0.5635725174149581], [0.9347030660778683], [-0.49773755392015]]","[[-1.8618936127861787], [-23.32470358171366], [1.858879204682944]]","[[1.7000976226432722], [0.8398306450150975]]","[[0.00923602079654362], [0.004536234041585541]]",[[0.07163964072714785]],[[-0.3440976324249995]]
4,"[[-0.5383039951632829], [1.1286235258084303], [-0.522101161359053]]","[[-0.41827114711679914], [-0.24031787632961257], [0.3208367184860357]]","[[-0.5641937629086756], [0.9348764087219732], [-0.49697447647568044]]","[[-1.7024871767871603], [-22.43216455211125], [1.263710449166285]]","[[1.7010275229288987], [0.8403449219359844]]","[[0.00933203311188624], [0.0055761902971962485]]",[[0.06821836928609701]],[[-0.33775230495809877]]
5,"[[-0.5422890683257127], [1.1260157298996922], [-0.5188192108832324]]","[[-0.38111643770169834], [-0.2750691310400568], [0.3324987385946189]]","[[-0.5645366323696602], [0.935483755662741], [-0.49630971566105686]]","[[-1.5518038029170445], [-21.60975833193111], [0.7457153429061244]]","[[1.7019619332984204], [0.8409396169406561]]","[[0.009338906825862026], [0.006197876233438038]]",[[0.06490745069074881]],[[-0.32368683014599764]]
6,"[[-0.5459486415868109], [1.1231573999535844], [-0.515468537635331]]","[[-0.35129300689256804], [-0.29282399265844206], [0.3356218186843907]]","[[-0.5653103009417717], [0.935933658561245], [-0.49552752084434665]]","[[-1.4434563008982528], [-20.944850621220738], [0.32170484884452644]]","[[1.7028935360445683], [0.8415768769923188]]","[[0.009283139610816171], [0.0064758219986860155]]",[[0.06174022073144091]],[[-0.30849518086889677]]
7,"[[-0.5493481929631071], [1.1201935225431112], [-0.5121212689849327]]","[[-0.3275365958114512], [-0.29800589625833707], [0.33257897427782845]]","[[-0.5663582471542138], [0.9360058020385833], [-0.4945472449580312]]","[[-1.3536306989092326], [-20.448764980044725], [-0.009097873425943481]]","[[1.7038170304898081], [0.8422275758066545]]","[[0.00918205661795124], [0.006503117032430339]]",[[0.05872406059507063]],[[-0.2929635177919599]]
8,"[[-0.5525376436808491], [1.1172273287212209], [-0.5088279145237576]]","[[-0.3081918963992186], [-0.2945696360872212], [0.3253768367210046]]","[[-0.5675883276123281], [0.9356725007431808], [-0.4933701378767826]]","[[-1.2774260796615575], [-20.101335450179192], [-0.25939194341476923]]","[[1.7047286849384211], [0.8428712954339788]]","[[0.009050177996483555], [0.006361666415954925]]",[[0.05586177051661355]],[[-0.2773846957654353]]
9,"[[-0.5555549573103928], [1.1143273433151084], [-0.5056208864985462]]","[[-0.29229396735228624], [-0.2856242922152398], [0.3156552896761148]]","[[-0.5689620998745992], [0.9349881209723864], [-0.4920319888307691]]","[[-1.2133449326499157], [-19.873084354551555], [-0.4462208577864394]]","[[1.705626091368539], [0.8434947989163865]]","[[0.008899557958153004], [0.0061155732141160435]]",[[0.05315149950616815]],[[-0.26226296989255005]]
