step,q,dq,qr,tau,r_pos,r_vel,th,dth
10,"[[-0.5584289998665687], [1.1115353488727742], [-0.5025186732265672]]","[[-0.27897447194428904], [-0.27350456242673327], [0.3046132888058304]]","[[-0.5704285214808886], [0.934038948768219], [-0.4905791563269178]]","[[-1.158133159908482], [-19.733482693495997], [-0.5859887287625856]]","[[1.706507866321563], [0.8440903236196603]]","[[0.008739022442538769], [0.005812274071803625]]",[[0.050587675779638366]],[[-0.24786574556633045]]
11,"[[-0.5611807096558564], [1.1088736663555148], [-0.49952991935437663]]","[[-0.26748921859741914], [-0.25985644928584917], [0.29306757399411393]]","[[-0.5719404192815136], [0.9329140803124384], [-0.4890565621498231]]","[[-1.1090630122808964], [-19.655599021443777], [-0.6925398825726932]]","[[1.7073733532543842], [0.8446540304555553]]","[[0.00857461770915613], [0.0054846657188911685]]",[[0.04816303734528287]],[[-0.2342780938868768]]
12,"[[-0.5638248570793057], [1.1063513583879536], [-0.49665673244910075]]","[[-0.25729051030676997], [-0.2457627555343427], [0.28154262967469956]]","[[-0.5734635668927203], [0.9316902077074434], [-0.48750189140923283]]","[[-1.064338053718105], [-19.61809252760355], [-0.7766548979036052]]","[[1.708222384022791], [0.8451847094019536]]","[[0.008410293095595378], [0.00515400464307092]]",[[0.045869768859544885]],[[-0.22151063616869035]]
13,"[[-0.566371831660896], [1.1039690565400613], [-0.49389716352108143]]","[[-0.2479980837757817], [-0.23188606353911695], [0.27034971532677055]]","[[-0.5749744652855431], [0.9304265385114645], [-0.4859438625275766]]","[[-1.0227438666715372], [-19.60528075065217], [-0.846202708098432]]","[[1.709055100714294], [0.845682788423815]]","[[0.008248466634475093], [0.004832982649105588]]",[[0.043700061358084255]],[[-0.2095344319869894]]
14,"[[-0.5688290449217683], [1.101722445599786], [-0.4912469698474621]]","[[-0.2393571121564557], [-0.21859535940342656], [0.25965318918405655]]","[[-0.5764578665892471], [0.9291650842015615], [-0.48440273538339484]]","[[-0.9834813833447362], [-19.606342272057447], [-0.9066171793387472]]","[[1.7098718285196306], [0.8461496274188879]]","[[0.00809049491037328], [0.00452838485713869]]",[[0.0416464308305529]],[[-0.19829928237924185]]
15,"[[-0.5712019684086385], [1.099604630479135], [-0.488700792627519]]","[[-0.23120487519313876], [-0.2060661646417301], [0.2495227132186366]]","[[-0.5779048660091285], [0.9279332840324352], [-0.4828917599663883]]","[[-0.9460620095295027], [-19.614259076801034], [-0.961465789169008]]","[[1.7106729901538795], [0.8465870450532895]]","[[0.007937043810146704], [0.004243160767403165]]",[[0.03970186944297683]],[[-0.1877483266162323]]
16,"[[-0.5734948698990181], [1.0976076481885133], [-0.4862528931039053]]","[[-0.22344252839647555], [-0.19435465968674318], [0.23997105785009504]]","[[-0.5793110476270397], [0.9267473593225566], [-0.481418852714571]]","[[-0.910203109948531], [-19.624780820793298], [-1.0129766851940054]]","[[1.7114590516340926], [0.8469970211859164]]","[[0.007788356641169614], [0.003977934986953979]]",[[0.037859885185588305]],[[-0.17782613023312357]]
17,"[[-0.5757113036808537], [1.0957233664670905], [-0.4838975787557468]]","[[-0.21601259417973623], [-0.18344920361639472], [0.2309797279530438]]","[[-0.5806749243635108], [0.9256155281941921], [-0.4799881408085239]]","[[-0.8757473103011786], [-19.63554623847913], [-1.062470328506298]]","[[1.712230490058717], [0.8473815235239694]]","[[0.007644435877685041], [0.003732042994331053]]",[[0.03611448403049131]],[[-0.16848206983967104]]
18,"[[-0.5778544167614768], [1.0939439691128017], [-0.4816294248576264]]","[[-0.20888275060914702], [-0.17330394193100915], [0.22251533293136547]]","[[-0.5819967932035459], [0.9245406800057487], [-0.47860122165010766]]","[[-0.8426089845737772], [-19.645405979985423], [-1.1106852243447474]]","[[1.7129877759523577], [0.8477424169093267]]","[[0.007505159766774128], [0.003504198015891191]]",[[0.03446012749369865]],[[-0.1596713596099296]]
19,"[[-0.5799271277550699], [1.092262179970387], [-0.47944336913340296]]","[[-0.20203491543192542], [-0.1638593232185694], [0.2145393531113551]]","[[-0.5832779474607834], [0.9235224059226437], [-0.4772581078982343]]","[[-0.8107401293939778], [-19.653937120816305], [-1.158007964312465]]","[[1.7137313647069172], [0.8480814241601763]]","[[0.007370352553870418], [0.0032928922798269866]]",[[0.032891683081913876]],[[-0.1513548855391398]]
20,"[[-0.581932222819394], [1.0906713330194808], [-0.4773347334442684]]","[[-0.19545829894268513], [-0.155053661453965], [0.20701347169260256]]","[[-0.5845201634558337], [0.9225584348582819], [-0.47595789106868414]]","[[-0.7801097186534687], [-19.661116255910944], [-1.2046262524391094]]","[[1.7144616933244397], [0.8484001167891747]]","[[0.007239823544780144], [0.003096618881037738]]",[[0.031404376755820335]],[[-0.14349848870290896]]
21,"[[-0.5838724008131825], [1.0891653599024378], [-0.475299207686182]]","[[-0.1891452743083286], [-0.14682894101953425], [0.19990211607810013]]","[[-0.5857253881568313], [0.9216455853961618], [-0.47469918031391223]]","[[-0.7506922734288746], [-19.667112669301556], [-1.2506248291269095]]","[[1.7151791799836555], [0.8486999213801258]]","[[0.007113386527080046], [0.002913979735119643]]",[[0.029993751403073813]],[[-0.13607209924976257]]
22,"[[-0.5857502897044017], [1.0877387393308728], [-0.47333281735274135]]","[[-0.18308913059887524], [-0.13913316353749705], [0.19317336556143228]]","[[-0.5868955642828594], [0.9207803560800297], [-0.47348037531481346]]","[[-0.72246223472117], [-19.672166265681152], [-1.2960417702815368]]","[[1.7158842249141875], [0.8489821328772685]]","[[0.006990867650324972], [0.002743726023091142]]",[[0.028655632273729057]],[[-0.12904892857607864]]
23,"[[-0.5875684483752698], [1.0863864340751042], [-0.47143188685896065]]","[[-0.17728300035681516], [-0.1319207856117987], [0.1867989869179787]]","[[-0.5880325430258521], [0.9199592636915017], [-0.4722998246598232]]","[[-0.6953916948945571], [-19.67652164982775], [-1.3408989311322672]]","[[1.7165772117183387], [0.8492479298015764]]","[[0.006872107092270596], [0.0025847619982588554]]",[[0.027386098840873112]],[[-0.12240479905177387]]
24,"[[-0.5893293622995052], [1.085103829000012], [-0.46959300472671045]]","[[-0.17171946909374153], [-0.1251522264787452], [0.18075406881984002]]","[[-0.589138049175794], [0.9191790164101231], [-0.4711559097118864]]","[[-0.6694499289837836], [-19.680397143061295], [-1.3852165333309776]]","[[1.7172585087006262], [0.8494983888356831]]","[[0.006756957806319797], [0.002436131426319932]]",[[0.026181461973797858]],[[-0.11611762675036924]]
25,"[[-0.5910354377410685], [1.0838866761310753], [-0.46781299315156627]]","[[-0.16639054132505454], [-0.11879302054293925], [0.17501652371969895]]","[[-0.59021367470464], [0.9184365861434642], [-0.4700470828604922]]","[[-0.6446037460711764], [-19.683973947873085], [-1.4290186905866153]]","[[1.7179284700167683], [0.8497344976841189]]","[[0.006645283236239585], [0.002296997831996439]]",[[0.02503824523843949]],[[-0.11016703815057224]]
26,"[[-0.5926889967317475], [1.0827310485152122], [-0.4660888825041205]]","[[-0.16128776795107141], [-0.1128129229900382], [0.16956659638629878]]","[[-0.5912608863734781], [0.9177292235272306], [-0.46897188011145363]]","[[-0.6208181517678348], [-19.687395925646832], [-1.4723342777972617]]","[[1.7185874365924068], [0.8499571659303388]]","[[0.006536954976232856], [0.0021666244423901304]]",[[0.023953169279342594]],[[-0.1045340945559494]]
27,"[[-0.5942922736940428], [1.081633302504664], [-0.4644178903632048]]","[[-0.15640242421744205], [-0.10718511239882836], [0.16438643998156693]]","[[-0.5922810387968754], [0.9170544437160896], [-0.46792892039449735]]","[[-0.5980570418392668], [-19.690774155609613], [-1.5151957332552592]]","[[1.71923573682953], [0.8501672340161704]]","[[0.006431850807508965], [0.0020443564974659267]]",[[0.02292313844741576]],[[-0.09920109663470338]]
28,"[[-0.5958474138188254], [1.0805900472013248], [-0.46279740431874755]]","[[-0.1517256801546263], [-0.1018855392812604], [0.15945977578413373]]","[[-0.5932753882036653], [0.916410000027427], [-0.466916899115102]]","[[-0.576283795435317], [-19.69419296536612], [-1.557637241169671]]","[[1.7198736871445013], [0.8503654806310407]]","[[0.006329853231035187], [0.0019296067701568553]]",[[0.021945229063751275]],[[-0.0941514436528916]]
29,"[[-0.5973564729645345], [1.079598119592646], [-0.4612249677352236]]","[[-0.14724874092584267], [-0.09689242072402632], [0.15477163185432205]]","[[-0.5942451049265802], [0.9157938547282798], [-0.46593458006803673]]","[[-0.5554617451177872], [-19.697715782158145], [-1.59969300555586]]","[[1.7205015923855558], [0.8505526288286367]]","[[0.006230848468202765], [0.00182184420983722]]",[[0.021016678892887813]],[[-0.08936952979554692]]
30,"[[-0.5988214187348433], [1.0786545640339138], [-0.4596982677634474]]","[[-0.14296295161980027], [-0.0921858600004325], [0.15030814704328843]]","[[-0.5951912838901409], [0.9152041516205984], [-0.46498078771135853]]","[[-0.5355545252147946], [-19.701390100635056], [-1.6413958966198265]]","[[1.7211197461714902], [0.8507293511571242]]","[[0.006134725840678534], [0.001720585231601568]]",[[0.02013487753562191]],[[-0.08484066457808304]]
31,"[[-0.6002441323845722], [1.0777566149813609], [-0.45821512503670647]]","[[-0.1388598679991342], [-0.08774756362820763], [0.14605642447880282]]","[[-0.5961149529245037], [0.9146391923634688], [-0.4640544007489612]]","[[-0.516526312651405], [-19.705251380857568], [-1.682776543590821]]","[[1.7217284311833998], [0.8508962740350681]]","[[0.006041377421728278], [0.0016253870715798868]]",[[0.01929735756008292]],[[-0.08055100715081635]]
32,"[[-0.6016264112815182], [1.0769016821450466], [-0.4567734846260225]]","[[-0.13493130379267293], [-0.08356063056661939], [0.14200442195691027]]","[[-0.5970170796302845], [0.9140974166239075], [-0.46315434682981077]]","[[-0.4983420072638176], [-19.709325993855416], [-1.7238627817583383]]","[[1.7223279194322665], [0.8510539815498975]]","[[0.005950697880274802], [0.0015358426827649652]]",[[0.018501786237505535]],[[-0.07648751240010469]]
33,"[[-0.6029699716955467], [1.0760873374588977], [-0.45537140795369546]]","[[-0.13116935585534648], [-0.0796093925250334], [0.13814086726852762]]","[[-0.5978985765843199], [0.9135773859292129], [-0.4622795986519056]]","[[-0.4809673365355831], [-19.71363335602205], [-1.764679421992507]]","[[1.722918472516929], [0.8512030188086128]]","[[0.005862584434357387], [0.001451576738809024]]",[[0.017745957809654045]],[[-0.07263788111412957]]
34,"[[-0.6042764517541254], [1.075311303449225], [-0.45400706545740344]]","[[-0.12756641642570335], [-0.07587928920953074], [0.13445519083561763]]","[[-0.5987603056268285], [0.9130777705203216], [-0.46142917092083097]]","[[-0.46436893107041355], [-19.718187460118685], [-1.8052482156742728]]","[[1.7235003418809338], [0.8513438949327172]]","[[0.005776936868895355], [0.0013722424160200752]]",[[0.017027786237695932]],[[-0.0689905148007551]]
35,"[[-0.6055474144651846], [1.074571442715128], [-0.4526787298614263]]","[[-0.12411517709086735], [-0.07235676749474917], [0.13093747038243306]]","[[-0.5996030814787914], [0.912597338494422], [-0.46060211799329637]]","[[-0.44851437521118065], [-19.72299798057415], [-1.8455879531677484]]","[[1.7240737690728463], [0.8514770857622058]]","[[0.005693657584449063], [0.0012975187249408826]]",[[0.0163452983885167]],[[-0.06553447420318348]]
36,"[[-0.6067843507379557], [1.073865748324843], [-0.45138476995797755]]","[[-0.12080862658155198], [-0.06902919694061305], [0.1275783835101645]]","[[-0.6004276747785271], [0.9121349467498701], [-0.4597975320003786]]","[[-0.43337223345062936], [-19.728071075552432], [-1.885714639890274]]","[[1.7246389860117886], [0.8516030363147046]]","[[0.005612651653397194], [0.0012271082350578943]]",[[0.01569662762891015]],[[-0.0622594400131391]]
37,"[[-0.6079886823568129], [1.0731923349932355], [-0.4501236448319483]]","[[-0.11764004498676087], [-0.06588479659212484], [0.12436916587972624]]","[[-0.6012348147372875], [0.9116895332935003], [-0.45901454129542696]]","[[-0.4189120645715376], [-19.73340998289427], [-1.9256417128220644]]","[[1.7251962152582947], [0.8517221630330118]]","[[0.005533826871473302], [0.0011607350861919663]]",[[0.015080007804474353]],[[-0.05915567570029822]]
38,"[[-0.6091617648872767], [1.0725494309448522], [-0.44889389848016986]]","[[-0.11460299661982734], [-0.0629125700786283], [0.12130157372449647]]","[[-0.6020251915931863], [0.911260110528785], [-0.45825230907905107]]","[[-0.405104430286813], [-19.739015485677925], [-1.9653802674207952]]","[[1.7257456702897829], [0.8518348558458888]]","[[0.005457093800176338], [0.0010981432195356078]]",[[0.014493767577405897]],[[-0.05621399297395917]]
39,"[[-0.610304890499838], [1.0719353703906933], [-0.4476941547884841]]","[[-0.11169132142514242], [-0.06010224706677306], [0.11836784954325867]]","[[-0.6027994588080661], [0.9108457593500575], [-0.4575100321575406]]","[[-0.39192089211628334], [-19.744886282921346], [-2.004939283393152]]","[[1.7262875557794648], [0.8519414800616534]]","[[0.005382365795592037], [0.0010390947850269505]]",[[0.013936325102371904]],[[-0.053425718948656775]]
40,"[[-0.6114192907046514], [1.0713485865620902], [-0.44652311283712304]]","[[-0.10889912609485163], [-0.05744422981942374], [0.11556069050794002]]","[[-0.6035582351295083], [0.9104456238483419], [-0.456786939773041]]","[[-0.3793340057658332], [-19.751019297941845], [-2.0443258396569]]","[[1.7268220678773898], [0.8520423781105471]]","[[0.0053095590242469015], [0.0009833686957949617]]",[[0.013406183020316185]],[[-0.050782665407473976]]
41,"[[-0.6125061389951588], [1.0707876052544731], [-0.4453795425091668]]","[[-0.1062207750423946], [-0.05492954417614862], [0.11287321924013288]]","[[-0.6043021065204728], [0.9100589065207586], [-0.4560822924805111]]","[[-0.3673173106745815], [-19.757409942174256], [-2.0835453143646143]]","[[1.7273493944923557], [0.8521378711495078]]","[[0.005238592466483283], [0.0009307593103358158]]",[[0.012901923750147933]],[[-0.04827709997727157]]
42,"[[-0.613566553400079], [1.0702510388396016], [-0.44426228037975957]]","[[-0.10365088134193974], [-0.05254979448466643], [0.11029895673632652]]","[[-0.6050316279715213], [0.9096848639057534], [-0.4553953810575183]]","[[-0.3558453159761763], [-19.76405234482005], [-2.122601568609518]]","[[1.7278697155735128], [0.8522282605413417]]","[[0.005169387908887657], [0.0008810752282761847]]",[[0.01242220505976462]],[[-0.045901719090279715]]
43,"[[-0.6146015989443978], [1.069737580709201], [-0.44317022586593563]]","[[-0.10118429779675955], [-0.05029712202827974], [0.10783179716533027]]","[[-0.6057473252096509], [0.9093228025870551], [-0.4547255254399261]]","[[-0.3448934839568789], [-19.77093955482931], [-2.161497114569606]]","[[1.7283832033906241], [0.8523138292190413]]","[[0.005101869926571467], [0.0008341381884990895]]",[[0.0119657558988693]],[[-0.04364962265857029]]
44,"[[-0.6156122900205391], [1.069246000116068], [-0.4421023376184778]]","[[-0.09881610811122783], [-0.0481641667595622], [0.1054659845274259]]","[[-0.6064496963107564], [0.9089720755243106], [-0.45407207368092267]]","[[-0.3344382111856725], [-19.77806371992311], [-2.200233268181263]]","[[1.7288900228120714], [0.8523948429449907]]","[[0.0050359658573029265], [0.0007897820605617945]]",[[0.011531372477049322]],[[-0.04151429034678028]]
45,"[[-0.61659959267128], [1.0687751373815237], [-0.4410576301386648]]","[[-0.09654161824784208], [-0.04614403199225875], [0.10319609088584954]]","[[-0.6071392132227907], [0.9086320786771943], [-0.45343440093300863]]","[[-0.3244568080299075], [-19.785416245190717], [-2.238810288619818]]","[[1.729390331579834], [0.8524715514739262]]","[[0.004971605768178122], [0.0007478519209680456]]",[[0.011117914571578449]],[[-0.039489559354251205]]
46,"[[-0.6175644267860914], [1.0683238994404913], [-0.4400351706039691]]","[[-0.09435634793508815], [-0.04423025189673632], [0.10101699623763823]]","[[-0.607816323204159], [0.9083022478958818], [-0.45281190845353914]]","[[-0.3149274765250998], [-19.79298793412273], [-2.2772275041474]]","[[1.7298842805807728], [0.8525441896277433]]","[[0.004908722416074873], [0.0007082032070004907]]",[[0.010724302050430252]],[[-0.03756960359760236]]
47,"[[-0.6185076682127194], [1.0678912556977862], [-0.4390340758881146]]","[[-0.0922560223818751], [-0.04241676149241083], [0.09892386966630097]]","[[-0.6084814501827323], [0.9079820560544422], [-0.45220402263469717]]","[[-0.3058292875600621], [-19.800769112804762], [-2.3154834279098533]]","[[1.730372014113656], [0.8526129782895376]]","[[0.004847251203132785], [0.0006707009414075316]]",[[0.010349511596951242]],[[-0.035748914207984955]]
48,"[[-0.6194301507858895], [1.0674762341712831], [-0.43805350976183055]]","[[-0.0902365641447247], [-0.04069786904385586], [0.09691215194464506]]","[[-0.6091349960395129], [0.907671010406594], [-0.45161019405872155]]","[[-0.2971421566717951], [-19.808749740437708], [-2.353575861898552]]","[[1.730853670151446], [0.852678125323612]]","[[0.004787130127548167], [0.0006352190212721709]]",[[0.009992573623562321]],[[-0.0340222812427968]]
49,"[[-0.6203326682751786], [1.0670779178997334], [-0.43709268026186127]]","[[-0.0882940852431164], [-0.03906823052333025], [0.09497753922184538]]","[[-0.609777341821966], [0.9073686501449781], [-0.4510298965789352]]","[[-0.2888468199712091], [-19.81691950575566], [-2.3915019926978913]]","[[1.7313293805984447], [0.8527398264275894]]","[[0.004728299730616392], [0.0006016395661445628]]",[[0.009652569362694262]],[[-0.03238477654460123]]
50,"[[-0.621215976254045], [1.0666954415946874], [-0.4361508372166425]]","[[-0.08642487944698929], [-0.03752282608688812], [0.09311596788055855]]","[[-0.6104088488900526], [0.9070745441473841], [-0.45046262642704993]]","[[-0.28092480924755714], [-19.825267912117187], [-2.4292584784748144]]","[[1.7317992715419595], [0.8527982659222157]]","[[0.004670703040932089], [0.0005698523191322025]]",[[0.009328628124000753]],[[-0.030831737653318834]]
51,"[[-0.6220807938921978], [1.066327988517904], [-0.435227269918087]]","[[-0.08462541477033253], [-0.036056938356009705], [0.0913236004214729]]","[[-0.6110298599996336], [0.9067882888941501], [-0.44990790134681546]]","[[-0.2733584270395486], [-19.833784352047893], [-2.4668415272870945]]","[[1.7322634634982017], [0.852853617483942]]","[[0.004614285515569527], [0.0005397540969287462]]",[[0.009019924707618742]],[[-0.029358752704869328]]
52,"[[-0.6229278056735229], [1.065974787567084], [-0.4343213049296578]]","[[-0.0828923262307699], [-0.034666132284459666], [0.08959681225373177]]","[[-0.6116407003270438], [0.9065095065426306], [-0.44936525975400626]]","[[-0.26613072175052954], [-19.842458171995638], [-2.504246969602974]]","[[1.7327220716521994], [0.8529060448249172]]","[[0.0045589949796420726], [0.0005112482842628552]]",[[0.008725676963901911]],[[-0.027961646263775133]]
53,"[[-0.6237576630417275], [1.0656351105542192], [-0.43343230402172445]]","[[-0.08122240877634315], [-0.033346236592972645], [0.08793217936764894]]","[[-0.6122416784368857], [0.9062378431461218], [-0.44883425992261705]]","[[-0.2592254628066142], [-19.85127872879592], [-2.5414703231619775]]","[[1.7331752060915246], [0.8529557023246058]]","[[0.004504781563796634], [0.00048424436857041897]]",[[0.008445143490768203]],[[-0.02663646600052813]]
54,"[[-0.6245709859760412], [1.065308269662265], [-0.43255966222589937]]","[[-0.07961261046467474], [-0.03209332655927041], [0.08632646684222418]]","[[-0.6128330871981453], [0.905972967004981], [-0.4483144791970011]]","[[-0.2526271160186715], [-19.860235438635186], [-2.5785068524440433]]","[[1.733622972033698], [0.8530027356168732]]","[[0.0044515976405312685], [0.00045865751128193466]]",[[0.008177621460323874]],[[-0.025379470181720935]]
55,"[[-0.6253683644992393], [1.0649936150669592], [-0.43170280600072314]]","[[-0.07806002586004003], [-0.0309037080707866], [0.08477661802445444]]","[[-0.6134152046503208], [0.9057145671394066], [-0.4478055132294774]]","[[-0.24632081920995041], [-19.869317819344865], [-2.615351622364731]]","[[1.734065470047162], [0.8530472821360436]]","[[0.004399397759846657], [0.0004344081530827104]]",[[0.007922444566996237]],[[-0.024187115907510846]]
56,"[[-0.6261503601202894], [1.06469053271174], [-0.4308611915015383]]","[[-0.0765618896851696], [-0.029773902805254798], [0.08327974443193852]]","[[-0.6139882948228664], [0.9054623518741005], [-0.44730697524314333]]","[[-0.240292358481502], [-19.878515526373754], [-2.651999547045272]]","[[1.734502796265739], [0.8530894716251227]]","[[0.004348138583676331], [0.0004114216495709755]]",[[0.007678981089912067]],[[-0.023056048057347234]]
57,"[[-0.6269175072138445], [1.0643984422246915], [-0.43003430294807315]]","[[-0.07511557064272312], [-0.02870063453945837], [0.08183311630464157]]","[[-0.6145526085098156], [0.9052160475259438], [-0.4468184953193846]]","[[-0.23452814453687365], [-19.88781838395596], [-2.6884454335796697]]","[[1.7349350425965322], [0.8531294266091073]]","[[0.00429777882051674], [0.0003896279348380993]]",[[0.007446632062774414]],[[-0.021983088877539896]]
58,"[[-0.6276703143389109], [1.0641167949673902], [-0.4292216510836354]]","[[-0.07371856548964198], [-0.027680816399620334], [0.0804341536947894]]","[[-0.6151083840037664], [0.9049753971861326], [-0.44633971970951186]]","[[-0.22901518962267797], [-19.897216411465163], [-2.724684022096116]]","[[1.7353622969212432], [0.8531672628360468]]","[[0.0042482791596354375], [0.00036896121058394016]]",[[0.007224829544845746]],[[-0.020965228193334157]]
59,"[[-0.6284092654989413], [1.0638450722063257], [-0.42842277172030513]]","[[-0.072368493361314], [-0.02671153897527548], [0.07908041813581872]]","[[-0.6156558477900168], [0.9047401595896077], [-0.44587031017006235]]","[[-0.2237410851833621], [-19.906699845378345], [-2.7607100210715725]]","[[1.7357846432909096], [0.8532030896883004]]","[[0.004199602205412489], [0.00034935965911309097]]",[[0.007013034987079165]],[[-0.019999614201909485]]
60,"[[-0.6291348213454575], [1.0635827833982527], [-0.42763722436490953]]","[[-0.07106309024765403], [-0.025790059326506187], [0.07776960478853903]]","[[-0.6161952152026381], [0.9045101080652699], [-0.4454099433213319]]","[[-0.218693979736869], [-19.916259157788083], [-2.7965181398382652]]","[[1.7362021621140842], [0.8532370105662209]]","[[0.00415171241210377], [0.0003307651771145004]]",[[0.006810737687884817]],[[-0.019083544785621166]]
61,"[[-0.6298474203274423], [1.0633294645816214], [-0.4268645909209084]]","[[-0.06980020372999646], [-0.02491379070949165], [0.07649953509101877]]","[[-0.616726691046618], [0.904285029560069], [-0.44495831002837255]]","[[-0.21386255763564588], [-19.925885071510468], [-2.832103116984791]]","[[1.7366149303384928], [0.853269123246321]]","[[0.004104576018848505], [0.00031312312969156153]]",[[0.006617453333271218]],[[-0.018214459347330632]]
62,"[[-0.6305474797885875], [1.0630846768667668], [-0.42610447446170363]]","[[-0.06857778789774441], [-0.024080293024445282], [0.07526814981272421]]","[[-0.6172504701856982], [0.9040647237319578], [-0.4445151148040939]]","[[-0.20923601801312897], [-19.935568572590938], [-2.867459746199966]]","[[1.7370230216262317], [0.8532995202157925]]","[[0.0040581609855872], [0.0002963821220447471]]",[[0.006432722616476158]],[[-0.01738993110832676]]
63,"[[-0.631235397014474], [1.06284800501817], [-0.42535649807119175]]","[[-0.06739389849583205], [-0.023287263879166603], [0.07407350251354322]]","[[-0.6177667380991424], [0.9038490021060899], [-0.44408007523377796]]","[[-0.20480405492498877], [-19.945300919600456], [-2.9025828991546474]]","[[1.7374265065225727], [0.8533282889851143]]","[[0.004012436929601293], [0.00028049378807404324]]",[[0.006256109932505956]],[[-0.01660765985803935]]
64,"[[-0.6319115502316313], [1.0626190561224977], [-0.42462030374757737]]","[[-0.06624668822418078], [-0.02253253030978336], [0.07291375342264707]]","[[-0.6182756714081336], [0.9036376872898328], [-0.44365292142053636]]","[[-0.20055683739496244], [-19.955073651481666], [-2.937467545586821]]","[[1.7378254526184582], [0.8533555123803261]]","[[0.003967375062829959], [0.00026541259394718963]]",[[0.006087202143290767]],[[-0.01586546511017834]]
