step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5154101135013228], [1.1341374732897287], [-0.5380370365120575]]","[[-0.661805919462022], [0.12722534545119324], [0.14007917047736784]]","[[-0.572733695331732], [0.9560611285355715], [-0.510759688515674]]","[[-4.0791721157538685], [-23.604442844072288], [3.421523968527759]]","[[1.237671405931825], [0.8387806872701746]]","[[0.007073999044693302], [-0.0015663760619566425]]",[[0.0806903232763498]],[[-0.3945014035311834]]
1,"[[-0.5214990119330258], [1.134715363019421], [-0.5363350813854489]]","[[-0.5720950090286925], [0.006274621436021033], [0.1929829646216492]]","[[-0.5604637338341751], [0.9440336852993371], [-0.5046116712218613]]","[[-1.952596497362817], [-24.371447054354658], [3.5424421149407372]]","[[1.2383975219292236], [0.8387600901699842]]","[[0.007402389740884807], [0.0008059267593618635]]",[[0.07688126970094522]],[[-0.3728374229721611]]
2,"[[-0.5266041401444992], [1.1341485658781898], [-0.5341609143891838]]","[[-0.47218911889678006], [-0.1020970653266477], [0.23622012476076382]]","[[-0.5572683281131977], [0.9399264260128447], [-0.5019775102424006]]","[[-1.723411662242416], [-23.834136461310283], [3.1775246610683894]]","[[1.2391519633098114], [0.8389622017583641]]","[[0.007655831579334027], [0.002904421119431788]]",[[0.07338351134450709]],[[-0.33806605946380236]]
3,"[[-0.5311449033566927], [1.1326856240541554], [-0.5315779550062578]]","[[-0.43638409833452174], [-0.17925077019482316], [0.273849104714636]]","[[-0.559360525057199], [0.93878139672588], [-0.5007384349221594]]","[[-1.763574349911429], [-23.018572255379432], [2.5966318514310687]]","[[1.2399316413117736], [0.8393405588856725]]","[[0.007890807139765421], [0.004430719346504297]]",[[0.06996276569120627]],[[-0.3417857638135702]]
4,"[[-0.5353124308377918], [1.1305733922147183], [-0.5286944468803705]]","[[-0.39913482133286804], [-0.23449685349651628], [0.298168539814123]]","[[-0.5598148769405448], [0.9390422414194103], [-0.4999933693833955]]","[[-1.6006387070543295], [-22.115752188606137], [2.0242991256952454]]","[[1.240729073692367], [0.8398453639238461]]","[[0.008025268688061082], [0.005490108000649752]]",[[0.06656651449655515]],[[-0.33546313501753866]]
5,"[[-0.5391065428831927], [1.1280209469420026], [-0.525634336234678]]","[[-0.36249765473960627], [-0.2697473086174879], [0.31078830810045127]]","[[-0.5600044373315766], [0.9397427340166314], [-0.49935743275076167]]","[[-1.4474860544534143], [-21.281275944539523], [1.5258291523129526]]","[[1.2415350107029168], [0.8404324550897951]]","[[0.008073218261595017], [0.006129814620869922]]",[[0.06328006782413222]],[[-0.3214566552566427]]
6,"[[-0.5425803692308704], [1.1252131757752482], [-0.522496018858366]]","[[-0.33317860057351034], [-0.28796709369968687], [0.3148488595034848]]","[[-0.5606287619857087], [0.9402883930517247], [-0.4986125619750504]]","[[-1.336669484227886], [-20.603534471870667], [1.1188103227043564]]","[[1.2423423602550554], [0.841063798551861]]","[[0.008060485066674339], [0.0064236554444430105]]",[[0.06013678768601185]],[[-0.3062968347685735]]
7,"[[-0.545799163688311], [1.122295562096093], [-0.519351945271509]]","[[-0.3099006787909865], [-0.2935521346884994], [0.3127025617201587]]","[[-0.5615327190857465], [0.9404546130628998], [-0.49767557060069484]]","[[-1.2447768983136394], [-20.094859920043415], [0.8031170064227078]]","[[1.243145982173214], [0.8417100338373961]]","[[0.008003769061470933], [0.006464350772183991]]",[[0.057144453136272776]],[[-0.2907502517593272]]
8,"[[-0.5488127978301646], [1.1193720414190251], [-0.5162530506853922]]","[[-0.29104007748538907], [-0.2904428921908963], [0.30635267429016116]]","[[-0.5626276921087312], [0.9402101548951418], [-0.4965456774262045]]","[[-1.1671546385440357], [-19.735880482133943], [0.5664648965573293]]","[[1.2439422521293115], [0.8423504886575257]]","[[0.00791712284113899], [0.0063337524677020696]]",[[0.05430619290346767]],[[-0.2751302953849854]]
9,"[[-0.5516593680968235], [1.1165118991737975], [-0.5132321797112652]]","[[-0.27564357106057397], [-0.2817490865835895], [0.2974409282542583]]","[[-0.5638757809221833], [0.939607292629538], [-0.4952572584701778]]","[[-1.10224464739736], [-19.497551272422548], [0.39207500122166594]]","[[1.2447288277246151], [0.8429716836402643]]","[[0.0078122265986468875], [0.00609620397165056]]",[[0.051620351365709374]],[[-0.2599517293899052]]
10,"[[-0.5543679144389397], [1.1137576177140385], [-0.5103082169655117]]","[[-0.26284347236216465], [-0.2698152051116832], [0.28717143177067844]]","[[-0.5652256693279971], [0.9387313668521223], [-0.4938557704969594]]","[[-1.0467168567325147], [-19.349499267516883], [0.2636906159420539]]","[[1.2455043584455785], [0.8435656459536892]]","[[0.007697619531388256], [0.005799518649018953]]",[[0.04908148630958872]],[[-0.24548724570089198]]
11,"[[-0.556959545305142], [1.1111320990984896], [-0.5074901413858217]]","[[-0.2518947235906231], [-0.25630056768353815], [0.2763678921597379]]","[[-0.566629847602481], [0.9376713401811365], [-0.4923856149657875]]","[[-0.9977766911394796], [-19.26477035556327], [0.16752850178914191]]","[[1.2462681964362494], [0.844128365688085]]","[[0.007579139945490532], [0.005476996014830426]]",[[0.04668241240752492]],[[-0.2318273991144232]]
12,"[[-0.5594491815896541], [1.1086448510937978], [-0.5047803256302956]]","[[-0.24224705969124324], [-0.24230169111061634], [0.26556166088582084]]","[[-0.5680535687172552], [0.9365043164947865], [-0.49088421149458933]]","[[-0.9535521427686313], [-19.221892455757835], [0.09281986195725422]]","[[1.2470201646782337], [0.8446585007986988]]","[[0.007460586643226463], [0.005150265501108198]]",[[0.04441534387384863]],[[-0.21898708991603888]]
13,"[[-0.5618473293518513], [1.106296821156706], [-0.5021770233946236]]","[[-0.23351635550936306], [-0.22849341626975492], [0.2550697485920225]]","[[-0.5694727227893142], [0.9352902125792115], [-0.48938015742886704]]","[[-0.9127572343380219], [-19.205000820542168], [0.03168661352715352]]","[[1.2477603835340583], [0.8451563813088544]]","[[0.007344266128139765], [0.004832332204585121]]",[[0.04227246841023138]],[[-0.20694002318595683]]
14,"[[-0.5641614775421822], [1.104083900809653], [-0.4996761450668998]]","[[-0.2254437905285619], [-0.21525460032672944], [0.24506084095315006]]","[[-0.5708714857495434], [0.9340718520753805], [-0.4878936534250268]]","[[-0.8745338101070577], [-19.203082953179212], [-0.021317253400588987]]","[[1.2484891467954566], [0.845623296633573]]","[[0.007231449412392621], [0.00453022444385498]]",[[0.04024627820057019]],[[-0.19563754990214147]]
15,"[[-0.5663971385484192], [1.1019993176071567], [-0.497272449486504]]","[[-0.2178630965830885], [-0.20276806833926883], [0.23560752618481734]]","[[-0.5722404532819214], [0.9328774649426809], [-0.4864378994923213]]","[[-0.8383467164050329], [-19.20894574661171], [-0.0697642395566429]]","[[1.24920683817859], [0.8460610155693297]]","[[0.007122733467634923], [0.0042470685257867125]]",[[0.038329729572234864]],[[-0.18502363873640137]]
16,"[[-0.5685585899341081], [1.1000351713584988], [-0.494960292963473]]","[[-0.21067249966576168], [-0.19109500110675592], [0.22672430150724288]]","[[-0.573574793263524], [0.9317239750272216], [-0.4850207433914997]]","[[-0.8038776525357378], [-19.218191093727206], [-0.11587608181724518]]","[[1.2499138784172223], [0.846471482664971]]","[[0.007018303188632835], [0.003983610319868713]]",[[0.03651628846091768]],[[-0.17504319926413597]]
17,"[[-0.5706493709927681], [1.098183353232976], [-0.49273406590053925]]","[[-0.20381223726953523], [-0.18022691016195427], [0.21839348070200867]]","[[-0.5748726810748737], [0.9306201888070023], [-0.48364621447533557]]","[[-0.7709425669907874], [-19.22833987815362], [-0.16095496563311995]]","[[1.2506106938819008], [0.8468566400414295]]","[[0.006918109484344015], [0.003739264023316924]]",[[0.03479991633966893]],[[-0.16564566673061956]]
18,"[[-0.5726725948940639], [1.096436046776107], [-0.4905884219653417]]","[[-0.19724828192493216], [-0.17011973731932628], [0.21058184529210275]]","[[-0.5761341421516734], [0.9295694699874265], [-0.48231578364915806]]","[[-0.7394359933235641], [-19.238152273528062], [-0.2057109582929234]]","[[1.2512976994934906], [0.8472183331149048]]","[[0.0068219839046923525], [0.0035127914054466913]]",[[0.033175029916700974]],[[-0.1567861739532944]]
19,"[[-0.5746311325415981], [1.0947859629368772], [-0.4885183777836573]]","[[-0.19096131068817102], [-0.16071481248458774], [0.20325064953270464]]","[[-0.5773602484103355], [0.928571784438754], [-0.4810293145764387]]","[[-0.7092949386209013], [-19.24713732436175], [-0.2504946114865121]]","[[1.251975290592959], [0.8475582690026997]]","[[0.006729707902120019], [0.003302713395647583]]",[[0.03163645261162069]],[[-0.14842547364233147]]
20,"[[-0.5765277122999133], [1.093226417290634], [-0.48651933759785376]]","[[-0.1849396359822314], [-0.15195076669464827], [0.19636113403838948]]","[[-0.5785525900458973], [0.9276251561178858], [-0.47978573555798865]]","[[-0.680476656334017], [-19.255220555080275], [-0.29545262895619284]]","[[1.2526438400488977], [0.8478780057003167]]","[[0.006641051489242322], [0.0031075397761370915]]",[[0.030179367392868223]],[[-0.1405292686373516]]
