step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5228671453300395], [1.1402485123912298], [-0.5312339308389865]]","[[-0.05439923599572635], [0.11251168648472698], [0.05972576866844492]]","[[-0.520668291690386], [0.9851618763772454], [-0.5202808321003987]]","[[-1.0779632916206947], [-20.01420174374745], [1.69696372211387]]","[[1.4431360267455757], [0.8377200397775191]]","[[0.00860063190133431], [-0.0021808433858461207]]",[[0.08614743622220528]],[[0.11783821915972298]]
1,"[[-0.5234515654549242], [1.1413382615692573], [-0.5306062015428094]]","[[-0.05860267558607296], [0.10562303083426519], [0.06488768393010452]]","[[-0.5216694540572016], [0.985083167486404], [-0.5205821308640005]]","[[-1.118177549685061], [-20.125217930030374], [1.5063478903864047]]","[[1.4439993018117956], [0.8375093803566145]]","[[0.008654298562560392], [-0.0020405932998901477]]",[[0.08728049457152551]],[[0.11190803918057422]]
2,"[[-0.5240762961279132], [1.1423606678442761], [-0.5299287892654329]]","[[-0.06247557763927372], [0.0990297346460823], [0.06968517591719536]]","[[-0.5226740362574812], [0.9849859081818613], [-0.5208270848472183]]","[[-1.1562850413552563], [-20.232153877914335], [1.3203392175225708]]","[[1.4448673313248257], [0.8373123982127068]]","[[0.008696734087410007], [-0.0019069907376545459]]",[[0.08835558245093073]],[[0.10623933292286528]]
3,"[[-0.524738102523813], [1.1433186379521225], [-0.5292052628216108]]","[[-0.06603531415475505], [0.09272294260063443], [0.07413310735744222]]","[[-0.5236806898560372], [0.9848714042230443], [-0.5210184678740384]]","[[-1.1923681346750072], [-20.335140198873084], [1.1389101529037435]]","[[1.445739021921483], [0.8371284390747576]]","[[0.008728490497666996], [-0.0017798288683201768]]",[[0.08937527260670035]],[[0.10082073580218287]]
4,"[[-0.5254339203587244], [1.1442149897754919], [-0.5284390435533447]]","[[-0.06929840177557306], [0.08669375173652968], [0.07824606964495123]]","[[-0.5246881499746596], [0.9847409169393555], [-0.5211589629674663]]","[[-1.226506147370727], [-20.43430122099506], [0.962027285560179]]","[[1.4466133346646128], [0.8369568696598441]]","[[0.008750105097421468], [-0.0016588960561891852]]",[[0.09034202586342086]],[[0.09564141960590794]]
5,"[[-0.5261608475812052], [1.14505245221134], [-0.5276334082264742]]","[[-0.07228055711563026], [0.08093327215906682], [0.08203835271309129]]","[[-0.5256952323254043], [0.9845956599730683], [-0.5212511637201721]]","[[-1.2587755399108298], [-20.529756054144585], [0.7896518804968349]]","[[1.4474892835651274], [0.8367970780371784]]","[[0.00876210038829317], [-0.0015439779333936698]]",[[0.09125819640366209]],[[0.09069106775766653]]
6,"[[-0.5269161366013243], [1.145833665556345], [-0.5267914921760875]]","[[-0.07499674858486512], [0.07543267201070897], [0.08552392403494824]]","[[-0.526700830505559], [0.9844367973010215], [-0.5212975759272889]]","[[-1.2892501076964735], [-20.62161937962521], [0.6217403201558634]]","[[1.4483659340987807], [0.8366484738081292]]","[[0.008764984040365853], [-0.001434859056281823]]",[[0.09212603677893379]],[[0.08595984746193082]]
7,"[[-0.5276971869862063], [1.146561182272329], [-0.5259162926283902]]","[[-0.07746123963402736], [0.07018321032285543], [0.08871641359075855]]","[[-0.5277039128683412], [0.9842654420835727], [-0.5213006193548725]]","[[-1.3180011252908974], [-20.71000204798738], [0.45824449163737824]]","[[1.4492424017220291], [0.8365104881392393]]","[[0.008759248898804195], [-0.0013313242305579287]]",[[0.09294770265773208]],[[0.08143838427958663]]
8,"[[-0.5285015385605207], [1.1472374680327546], [-0.5250106721474364]]","[[-0.0796876270633687], [0.0651762616101744], [0.09162910326165202]]","[[-0.5287035193575255], [0.9840826562634332], [-0.5212626296550544]]","[[-1.3450974757805911], [-20.795011522162913], [0.29911212403193155]]","[[1.4501178503901864], [0.8363825736764618]]","[[0.008745373019003466], [-0.0012331595908521287]]",[[0.0937252573247979]],[[0.07711773781073511]]
9,"[[-0.5293268648652957], [1.1478649029817374], [-0.52407736217014]]","[[-0.08168887485884596], [0.06040333460588196], [0.09427491936489318]]","[[-0.5296987582530331], [0.983889450768419], [-0.5211858602828586]]","[[-1.370605758745835], [-20.87675220239771], [0.14428710835760572]]","[[1.4509914910804054], [0.8362642043620914]]","[[0.008723819724876236], [-0.001140153489820328]]",[[0.09446067594630096]],[[0.07298937911079054]]
10,"[[-0.5301709669484926], [1.1484457831582107], [-0.5231189666014024]]","[[-0.08347734626680946], [0.05585608705966222], [0.09666642765786371]]","[[-0.5306888030841684], [0.9836867860727643], [-0.5210724844556182]]","[[-1.3945903938277036], [-20.955325681121604], [-0.006290206595192638]]","[[1.451862580321703], [0.8361548751710614]]","[[0.008695037687966867], [-0.0010520972378413873]]",[[0.09515584960831272]],[[0.06904516844730046]]
11,"[[-0.5310317674589217], [1.1489823220496589], [-0.5221379654486287]]","[[-0.0850648326110925], [0.051526337345248446], [0.0988158301533118]]","[[-0.5316728895073793], [0.9834755730766086], [-0.5209245970944636]]","[[-1.4171137060946055], [-21.030830937907133], [-0.15268272692111018]]","[[1.4527304187338608], [0.8360541017801822]]","[[0.008659461023374782], [-0.0009687857185025628]]",[[0.09581258914210905]],[[0.06527733488860647]]
12,"[[-0.5319073050192652], [1.1494766522488706], [-0.521136718479554]]","[[-0.086462580103223], [0.047406073750275196], [0.10073496341556493]]","[[-0.5326503122786368], [0.9832566742090727], [-0.5207442167398999]]","[[-1.4382360054039367], [-21.103364492761678], [-0.2949563343406958]]","[[1.4535943495768584], [0.8359614201814834]]","[[0.008617509401998014], [-0.0008900179020665533]]",[[0.09643262875005183]],[[0.0616784570648945]]
13,"[[-0.5327957288606142], [1.1499308271935706], [-0.52011746889001]]","[[-0.08768131505154968], [0.04348746198215028], [0.10243529804370008]]","[[-0.5336204223271418], [0.9830309046865949], [-0.5205332874306944]]","[[-1.4580156586967814], [-21.173020530956286], [-0.4331796119889145]]","[[1.4544537573124499], [0.8358763862490574]]","[[0.008569588178564125], [-0.0008155972712420301]]",[[0.09701762944294727]],[[0.05824144497543936]]
14,"[[-0.5336952937030381], [1.1503468229724396], [-0.5190823469700369]]","[[-0.08873126756568046], [0.039762851108725794], [0.10392793929045471]]","[[-0.5345826239292198], [0.9827990338837644], [-0.5202936805439465]]","[[-1.4765091561955344], [-21.239891005959162], [-0.5674235754552335]]","[[1.4553080661794118], [0.8357985752675323]]","[[0.00851608853487118], [-0.0007453321709482985]]",[[0.09756918229936465]],[[0.0549595228335001]]
15,"[[-0.5346043548682791], [1.1507265401836704], [-0.5180333737584093]]","[[-0.08962219399767683], [0.03622477828788512], [0.10522362858658138]]","[[-0.5355363719848623], [0.9825617867826891], [-0.5200271965957606]]","[[-1.493771172901015], [-21.3040657250623], [-0.697761409433334]]","[[1.456156738783975], [0.8357275814293272]]","[[0.008457387637705871], [-0.0006790360900454928]]",[[0.09808881155698392]],[[0.051826212877928386]]
16,"[[-0.5355213636104968], [1.1510718058337066], [-0.5169724646766785]]","[[-0.09036339789938282], [0.032865972211732264], [0.10633274595542569]]","[[-0.5364811693778555], [0.9823198454777524], [-0.5197355670056056]]","[[-1.509854624019518], [-21.365632422538578], [-0.8242682097447589]]","[[1.4569992747068672], [0.8356630173070496]]","[[0.008393848811127924], [-0.000616527883334772]]",[[0.0985779775465295]],[[0.0488353202654978]]
17,"[[-0.5364448626546814], [1.1513843752658406], [-0.5159014331346965]]","[[-0.09096375020300392], [0.02967935570684535], [0.10726531313268126]]","[[-0.5374165644630908], [0.9820738507160669], [-0.51942045582765]]","[[-1.5248107188370046], [-21.424676821472907], [-0.9470207331334306]]","[[1.4578352091284081], [0.8356045133066692]]","[[0.008325821722920956], [-0.0005576319397126994]]",[[0.09903807947646538]],[[0.045980918638800106]]
18,"[[-0.5373734819315539], [1.1516659341089026], [-0.5148219941001261]]","[[-0.09143170813386031], [0.026658047276760133], [0.10803099750168665]]","[[-0.5383421486338621], [0.9818244034599146], [-0.5190834614516564]]","[[-1.5386890093216545], [-21.4812826870214], [-1.0660971545888582]]","[[1.4586641114729946], [0.8355517171065167]]","[[0.008253642584055143], [-0.0005021783028302806]]",[[0.09947045807722221]],[[0.043257336644586475]]
19,"[[-0.5383059344993328], [1.1519181002376846], [-0.513735767625578]]","[[-0.09177533333064543], [0.023795361940362636], [0.10863911652803554]]","[[-0.5392575539984689], [0.9815720664594589], [-0.5187261182773226]]","[[-1.5515374366319468], [-21.53553187234846], [-1.18157683273654]]","[[1.4594855840742873], [0.8355042930866036]]","[[0.00817763436120611], [-0.000450002748875189]]",[[0.09987639811277367]],[[0.04065914513775269]]
20,"[[-0.5392410126422886], [1.1521424257372497], [-0.5126442823272697]]","[[-0.09200230890405901], [0.021084811286577826], [0.10909864284947962]]","[[-0.5401624511340807], [0.9813173658264563], [-0.518349898364728]]","[[-1.5634023745440393], [-21.587504357011554], [-1.2935400857678911]]","[[1.4602992608623118], [0.8354619217522702]]","[[0.008098107000775734], [-0.0004009468264731808]]",[[0.10025713076769278]],[[0.038181145231998476]]
21,"[[-0.5401775841380508], [1.152340398864393], [-0.5115489788099882]]","[[-0.09211995580013109], [0.018520102879794498], [0.10941820984721373]]","[[-0.5410565469494849], [0.9810607926008], [-0.5179562130636096]]","[[-1.574328670870654], [-21.63727828138378], [-1.4020679760556216]]","[[1.4611048060736298], [0.835424299155683]]","[[0.008015357664414857], [-0.0003548578636491939]]",[[0.10061383591635334]],[[0.0358183569257384]]
22,"[[-0.5411145886855682], [1.152513446000198], [-0.5104512130336109]]","[[-0.09213524834397811], [0.01609513912376409], [0.10960611764556397]]","[[-0.5419395826271869], [0.9808028043028264], [-0.5175464146228219]]","[[-1.584359686757924], [-21.684929975365428], [-1.5072421058761696]]","[[1.4619019129856445], [0.8353911363182908]]","[[0.007929670974649028], [-0.00031158894521210456]]",[[0.10094764428101854]],[[0.033566008425349944]]
23,"[[-0.542051034485816], [1.1526629335881708], [-0.5093522596169996]]","[[-0.09205482900953833], [0.013804015557756788], [0.1096703395428612]]","[[-0.5428113316524037], [0.9805438264660302], [-0.5171217977818537]]","[[-1.593537333912332], [-21.730533983915695], [-1.6091444230580563]]","[[1.462690302676012], [0.8353621586569553]]","[[0.007841319269807911], [-0.0002709988650262396]]",[[0.1012596394853545]],[[0.03141952608994101]]
24,"[[-0.5429859949683746], [1.1527901700533807], [-0.5082533150757781]]","[[-0.0918850225800185], [0.011641018788851654], [0.1096185287204027]]","[[-0.5436715979282294], [0.9802842541446525], [-0.5166836013451747]]","[[-1.6019021109044436], [-21.774163088764894], [-1.707857037995499]]","[[1.4634697228080384], [0.8353371054161102]]","[[0.00775056286745901], [-0.0002329520559007925]]",[[0.10155086000922686]],[[0.02937452492695842]]
25,"[[-0.5439186056571095], [1.1528964076983006], [-0.5071555009907832]]","[[-0.09163184958757283], [0.00960062393241276], [0.1094580253055158]]","[[-0.5445202139706649], [0.9800244533920999], [-0.5162330097400588]]","[[-1.609493137291128], [-21.815888328502943], [-1.803462051090665]]","[[1.4642399464428595], [0.8353157291079687]]","[[0.007657650335279875], [-0.00019731850118276384]]",[[0.10182230105040761]],[[0.027426799648078384]]
26,"[[-0.544848061168544], [1.152982844571918], [-0.5060598671047031]]","[[-0.09130103920066238], [0.0076774918344223175], [0.10919586361209377]]","[[-0.5453570391795566], [0.9797647627061286], [-0.5157711545581491]]","[[-1.6163481873211545], [-21.85577901561119], [-1.8960413906850018]]","[[1.465000770879089], [0.835297794962511]]","[[0.007562818768391821], [-0.00016397362978537444]]",[[0.10207491629867145]],[[0.02557231624585366]]
27,"[[-0.5457736123371901], [1.1530506263089142], [-0.5049673943446432]]","[[-0.0908980415168926], [0.005866465904950935], [0.1088387796383046]]","[[-0.5461819581911957], [0.9795054944380075], [-0.5152991160809018]]","[[-1.6225037222203802], [-21.893902752906666], [-1.9856766623706035]]","[[1.4657520165205429], [0.8352830803886896]]","[[0.007466294072577817], [-0.00013279819850442465]]",[[0.10230961962708143]],[[0.02380720402636289]]
28,"[[-0.5466945634623034], [1.1531008479363998], [-0.5038789977689142]]","[[-0.09042803933459549], [0.004162568767214242], [0.10839321867414581]]","[[-0.5469948793014106], [0.9792469361626408], [-0.5148179247884368]]","[[-1.6279949216816132], [-21.93032544858035], [-2.0724490080128266]]","[[1.4664935257725484], [0.8352713744480657]]","[[0.007368291251719228], [-0.00010367816296596999]]",[[0.10252728670518176]],[[0.022127748106764586]]
29,"[[-0.5476102696707182], [1.15313455564592], [-0.5027955294366493]]","[[-0.0898959594145787], [0.002560998692695965], [0.10786534305643619]]","[[-0.5477957329607378], [0.9789893520079438], [-0.5143285628516192]]","[[-1.6328557147200717], [-21.965111330367872], [-2.1564389759095395]]","[[1.4672251619672596], [0.8352624773418554]]","[[0.007269014699673448], [-7.650453974772375e-05]]",[[0.10272875653855242]],[[0.020530382336830903]]
