step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.51191754281357], [1.129008777345705], [-0.5362635512566155]]","[[-0.6610530355911515], [0.12566194317463003], [0.13871320263848153]]","[[-0.5693444331483954], [0.9515277753947643], [-0.5087351911230409]]","[[-4.082633232729565], [-23.511362972714423], [3.4728252549682113]]","[[0.6562483832620133], [0.8397989813064958]]","[[0.006934107560008229], [-0.00152159921781303]]",[[0.08082768327551998]],[[-0.39667788977690105]]
1,"[[-0.5179959773470088], [1.129566215302333], [-0.5345728393876721]]","[[-0.5710027336450971], [0.00393362812875353], [0.19203771910395573]]","[[-0.5570478125818656], [0.939543075401375], [-0.5025656693573833]]","[[-1.9567992252878152], [-24.26127860037289], [3.5946756252296463]]","[[0.6569606731943398], [0.8397832818527537]]","[[0.007265544909251798], [0.0008569921564172134]]",[[0.07699739856765343]],[[-0.3750313864101108]]
2,"[[-0.523089201999383], [1.1289739996744308], [-0.5324068821089447]]","[[-0.4710407967949174], [-0.10472521253754896], [0.23547832560583737]]","[[-0.5538178879976816], [0.9355132644597767], [-0.4999338628387134]]","[[-1.7245712979008687], [-23.705237616622263], [3.228410596199135]]","[[0.6577015524726536], [0.8399903965054709]]","[[0.007521256537801335], [0.0029526682932767834]]",[[0.07347791556610526]],[[-0.34028768372435153]]
3,"[[-0.527617132357342], [1.1274853902914153], [-0.5298317429988897]]","[[-0.4351061523808013], [-0.18172784088333577], [0.2730363827020444]]","[[-0.5558611315983503], [0.9344345115830982], [-0.4986975401625781]]","[[-1.7602005755711014], [-22.876998304665907], [2.648767595717257]]","[[0.658467843568644], [0.8403730899629359]]","[[0.007757655217055515], [0.004469635665649285]]",[[0.07003651493518102]],[[-0.3437976105655082]]
4,"[[-0.5317710257220443], [1.125350414908141], [-0.5269574216385994]]","[[-0.39779331424936226], [-0.23658095242294636], [0.2971689396850212]]","[[-0.5562794531183384], [0.9347407292160672], [-0.497948472776317]]","[[-1.5942256447933192], [-21.96759393622793], [2.0801503626262723]]","[[0.659252032245201], [0.8408811027289198]]","[[0.007893567286032521], [0.005516413307171675]]",[[0.06662196754749593]],[[-0.3372053269884261]]
5,"[[-0.5355517586086188], [1.1227799243114844], [-0.5239085779502847]]","[[-0.3612144006131138], [-0.2713132855465169], [0.3095634668051374]]","[[-0.5564482321534171], [0.9354656645458792], [-0.4973028637729945]]","[[-1.4391052523708336], [-21.13171180684432], [1.5870043848471196]]","[[0.6600449004532796], [0.8414700813260223]]","[[0.007943485867856204], [0.006142662775299179]]",[[0.06331958775257959]],[[-0.3229642193567707]]
6,"[[-0.5390132348811562], [1.1199594683470033], [-0.5207837587251513]]","[[-0.3320094296844683], [-0.2889934047246693], [0.313404051686053]]","[[-0.5570603738841035], [0.9360196174977076], [-0.4965449320297231]]","[[-1.3268873075272913], [-20.456081950178543], [1.1861463818904254]]","[[0.6608394174341898], [0.8421020175659614]]","[[0.00793342038648559], [0.006424117754377789]]",[[0.060162474740694576]],[[-0.3075987827253621]]
7,"[[-0.5422209942250341], [1.117034320390924], [-0.5176551778681231]]","[[-0.3088629719584729], [-0.2940896134496994], [0.3110757915711024]]","[[-0.5579579038242748], [0.9361842138789773], [-0.49559391869315317]]","[[-1.23408949581778], [-19.95132404533348], [0.8767129989408204]]","[[0.6616305167344367], [0.8427477233244779]]","[[0.00788014273985782], [0.006454601422611894]]",[[0.057158148297765485]],[[-0.2918767938382087]]
8,"[[-0.5452249480733188], [1.1141076902484726], [-0.5145732988008938]]","[[-0.2901331897361728], [-0.2905784507920688], [0.3045978454999285]]","[[-0.5590501601801734], [0.9359336146792573], [-0.4944510981077667]]","[[-1.1559334144786777], [-19.59676247180561], [0.6458674918136221]]","[[0.6624146495316969], [0.8433867677730843]]","[[0.007797677242060708], [0.00631634948812243]]",[[0.05430944337425913]],[[-0.2761137950294519]]
9,"[[-0.5480630847817639], [1.1112479273420124], [-0.5115704160247789]]","[[-0.2748534073405543], [-0.28157960501431334], [0.2956136825889654]]","[[-0.5602972572585945], [0.9353239479509502], [-0.4931521997560743]]","[[-1.0907140860827185], [-19.36251627205214], [0.4765155522987595]]","[[0.663189541808686], [0.8440059241653252]]","[[0.007697600033873542], [0.006073616486357292]]",[[0.051614426535469965]],[[-0.26081932976590233]]
