step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5309961185495862], [1.1302550332222145], [-0.5109915505422127]]","[[-0.1034011852000566], [0.19145697611192286], [0.07248659913572843]]","[[-0.5288629037768637], [1.002481153147585], [-0.5199395921568404]]","[[-0.8218729803524705], [-16.74558138382899], [-1.461194626582483]]","[[1.58039763913143], [0.839983835340904]]","[[0.012181404190947376], [-0.0038608771051329427]]",[[0.0882673641304177]],[[0.16054239004987217]]
1,"[[-0.531758828853738], [1.132784405623938], [-0.5106811274174737]]","[[-0.06029394298365677], [0.2989554071256786], [0.0009102581733671233]]","[[-0.5240254447797129], [1.0219622290434611], [-0.5277630895100514]]","[[-0.4131140721760842], [-15.239804001600387], [-1.9944195927471091]]","[[1.58158212861676], [0.8394649895064161]]","[[0.011600617828189108], [-0.006179684408558206]]",[[0.09034444935272551]],[[0.23957172231538887]]
2,"[[-0.5320727506794138], [1.1364158584326467], [-0.5111044454254863]]","[[-0.01533927406184181], [0.4108446726671887], [-0.0733420441208003]]","[[-0.5203121009052093], [1.0353412487521818], [-0.5329788965534293]]","[[-0.27944861591126147], [-14.874798528795758], [-1.9829447278114098]]","[[1.5827076925079082], [0.8387075104464182]]","[[0.011009945053475079], [-0.008609702579231993]]",[[0.09323866232774558]],[[0.3221633544834078]]
3,"[[-0.531894979597213], [1.1410289465440595], [-0.5121973053075316]]","[[0.03456029001154541], [0.49864354217625917], [-0.13428298386531262]]","[[-0.5166513518671964], [1.040207384793536], [-0.5346553689469303]]","[[-0.2746926167876058], [-15.71677473572337], [-1.4569686606338277]]","[[1.5837802813702113], [0.837733816978537]]","[[0.01053171146989662], [-0.010567392336657822]]",[[0.09693666163931478]],[[0.3989208483247693]]
4,"[[-0.5314252275782658], [1.1463963015863292], [-0.5137843319417228]]","[[0.05366975533716782], [0.5636381177897458], [-0.1754710903175833]]","[[-0.5158689704305842], [1.0425973546831209], [-0.5352105355497604]]","[[-0.4538022546393623], [-16.81680274990446], [-0.8798876087320242]]","[[1.5848152541501823], [0.8365915383759266]]","[[0.010227812312524343], [-0.012031803965140142]]",[[0.10118674206634247]],[[0.44183678281160754]]
5,"[[-0.5309796051711159], [1.152326437813203], [-0.5156879514154077]]","[[0.04159610864897802], [0.6121702720465192], [-0.2005800821037607]]","[[-0.5174201495514013], [1.0455000640584617], [-0.5362386087118944]]","[[-0.669938253882933], [-17.754531472156273], [-0.4883624866872498]]","[[1.5858283271386857], [0.8353229248935287]]","[[0.01006624173862658], [-0.013126640073779505]]",[[0.10565888122667914]],[[0.4531862985917365]]
6,"[[-0.5307609056669337], [1.1586767493581498], [-0.5177824604177894]]","[[0.01467515827356701], [0.6485872902730183], [-0.21548835151261803]]","[[-0.5199348593699354], [1.0494508600587464], [-0.5379382716756759]]","[[-0.8431259420381614], [-18.47239073259597], [-0.27401812444721574]]","[[1.5868304930266264], [0.8339593404398836]]","[[0.009993076528580502], [-0.013956856761498937]]",[[0.1101333832734264]],[[0.44777409703510584]]
7,"[[-0.5308466162471742], [1.1653423582356615], [-0.5199897703243174]]","[[-0.016597892140236853], [0.6760818891416615], [-0.22419562696817985]]","[[-0.5228002214218721], [1.0542356247442137], [-0.5400296921700594]]","[[-0.9766760379535744], [-19.020135607246356], [-0.16570659700118617]]","[[1.58782846040659], [0.8325231612897349]]","[[0.009973024267684316], [-0.014598881714100731]]",[[0.11450597166416998]],[[0.4352883700321061]]
8,"[[-0.5312355523418048], [1.1722461121960075], [-0.5222640629245731]]","[[-0.045741424084767224], [0.6970082236231456], [-0.22940623287350034]]","[[-0.5256211709958676], [1.0596390929210922], [-0.5424282643646781]]","[[-1.0775186112003574], [-19.44298306867539], [-0.12995654128508727]]","[[1.5888260942664507], [0.8310302022768877]]","[[0.009982177275502657], [-0.015108695554655327]]",[[0.11874649692963118]],[[0.42186056666601657]]
9,"[[-0.5318872794563027], [1.179331527808556], [-0.5245797450784621]]","[[-0.07008070118442394], [0.7131044697082193], [-0.2326994834837683]]","[[-0.5282502001578162], [1.0654337572447854], [-0.5450611825961992]]","[[-1.1575905079591768], [-19.784706485222735], [-0.14329423595717317]]","[[1.589825471171822], [0.8294915458358204]]","[[0.010006424222330779], [-0.015525545113304062]]",[[0.12286450327379059]],[[0.41032428503774937]]
10,"[[-0.532754257299396], [1.186557621390546], [-0.5269219324645987]]","[[-0.0898047806444617], [0.7256823729459331], [-0.23482417960877564]]","[[-0.5307240197732921], [1.071441847083919], [-0.5478539817713738]]","[[-1.2286763582926143], [-20.07946035544812], [-0.18881178671591825]]","[[1.5908277151322199], [0.8279149839385607]]","[[0.010039035092113124], [-0.015876273891746173]]",[[0.12688143162654916]],[[0.40105341268927974]]
11,"[[-0.5337991340631245], [1.1938949207490248], [-0.5292805862931316]]","[[-0.10627858967834726], [0.735724184249342], [-0.23609450683211636]]","[[-0.5331399655567345], [1.0775618217749414], [-0.5507543940637064]]","[[-1.2977901877515388], [-20.348207554470623], [-0.25676083287990203]]","[[1.5918335123570169], [0.8263060706089093]]","[[0.010077093493721101], [-0.01617927066334124]]",[[0.1308152003927666]],[[0.3933510877366014]]
12,"[[-0.5349983146727688], [1.2013222953265594], [-0.5316478994022981]]","[[-0.12084816379955869], [0.7439439297257306], [-0.2366678628396518]]","[[-0.53558042290708], [1.0837507179582075], [-0.5537298865926772]]","[[-1.3673824734941604], [-20.601568234760165], [-0.34174850057472983]]","[[1.592843333974443], [0.8246688325685914]]","[[0.010118995701779987], [-0.016447342091441275]]",[[0.13467608125149058]],[[0.38642790308424246]]
13,"[[-0.5363388416799959], [1.208824593376404], [-0.5340175219873932]]","[[-0.13442458024989118], [0.7508597356801066], [-0.23667366283351932]]","[[-0.5380958411430173], [1.0899958395086535], [-0.5567677237972315]]","[[-1.437698538641899], [-20.844475942288067], [-0.4414986553181578]]","[[1.5938574923060331], [0.8230062170406053]]","[[0.010163245227889917], [-0.01668985481362295]]",[[0.13846822970901623]],[[0.3797614925989735]]
14,"[[-0.5378130723526316], [1.2163908449871428], [-0.5363845746875401]]","[[-0.14735701906956733], [0.7568297616196629], [-0.23626001334449484]]","[[-0.5406950836374259], [1.096299457379342], [-0.5598559043591761]]","[[-1.5074918803659476], [-21.07861098240843], [-0.5534710351914883]]","[[1.5948761313672282], [0.8213203850854718]]","[[0.01020815120902352], [-0.016913714650712564]]",[[0.14219319794697155]],[[0.37321272920446236]]
15,"[[-0.5394156187648177], [1.2240129390182148], [-0.5387454734598586]]","[[-0.15981075535732947], [0.7620898283555673], [-0.2355382304487172]]","[[-0.5433822606747469], [1.1026516485026985], [-0.5629751653547971]]","[[-1.5764496185588837], [-21.306690336113128], [-0.6741740832335033]]","[[1.5958992466620303], [0.8196129391988085]]","[[0.010252432843960158], [-0.017123556571585485]]",[[0.14585184679354032]],[[0.3667408425517985]]
