step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5228671453300359], [1.1402485123912296], [-0.5312339308389837]]","[[-0.054399235998704054], [0.11251168648830256], [0.05972576867064994]]","[[-0.5206682916903816], [0.985161876377243], [-0.5202808321003936]]","[[-1.0779632916591741], [-20.01420174368769], [1.6969637220643963]]","[[0.24927401415504286], [0.8377200397775195]]","[[0.008600631901339861], [-0.0021808433858239162]]",[[0.08614743622220968]],[[0.11783821915910984]]
1,"[[-0.5234515654549159], [1.1413382615692553], [-0.5306062015428072]]","[[-0.05860267558604909], [0.1056230308348367], [0.06488768393099553]]","[[-0.5216694540571374], [0.985083167486415], [-0.5205821308639983]]","[[-1.118177549675302], [-20.12521793003428], [1.5063478903774457]]","[[0.2501372892212625], [0.8375093803566149]]","[[0.008654298562560392], [-0.0020405932998901477]]",[[0.08728049457153268]],[[0.11190803918092185]]
2,"[[-0.524076296127903], [1.1423606678442748], [-0.5299287892654349]]","[[-0.062475577639732924], [0.09902973464739603], [0.06968517591174689]]","[[-0.5226740362574841], [0.9849859081818662], [-0.5208270848472156]]","[[-1.1562850413716288], [-20.232153877890106], [1.3203392174881217]]","[[0.25100531873429294], [0.837312398212707]]","[[0.00869673408742111], [-0.001906990737665648]]",[[0.0883555824509396]],[[0.10623933292282611]]
3,"[[-0.5247381025238028], [1.1433186379521203], [-0.5292052628216095]]","[[-0.06603531415382269], [0.09272294259958186], [0.07413310735545253]]","[[-0.5236806898560333], [0.9848714042230412], [-0.521018467874033]]","[[-1.192368134675596], [-20.335140198874328], [1.1389101529044163]]","[[0.2518770093309501], [0.8371284390747574]]","[[0.008728490497666996], [-0.0017798288683201768]]",[[0.08937527260670901]],[[0.10082073580235049]]
4,"[[-0.5254339203587182], [1.1442149897754945], [-0.5284390435533489]]","[[-0.0692984017772026], [0.08669375173888541], [0.07824606964156655]]","[[-0.5246881499746776], [0.984740916939348], [-0.5211589629674604]]","[[-1.226506147398787], [-20.434301220960336], [0.9620272855456667]]","[[0.2527513220740797], [0.836956869659844]]","[[0.008750105097421468], [-0.0016588960561891852]]",[[0.09034202586342854]],[[0.09564141960552673]]
5,"[[-0.526160847581197], [1.1450524522113386], [-0.5276334082264694]]","[[-0.07228055711536245], [0.08093327215847917], [0.08203835271578941]]","[[-0.5256952323253766], [0.9845956599730668], [-0.5212511637201671]]","[[-1.258775539905825], [-20.52975605413807], [0.78965188043276]]","[[0.2536272709745942], [0.8367970780371782]]","[[0.00876210038829317], [-0.0015439779333936698]]",[[0.09125819640367035]],[[0.09069106775776739]]
6,"[[-0.5269161366013154], [1.1458336655563444], [-0.5267914921760869]]","[[-0.07499674858488976], [0.07543267201008644], [0.08552392403773051]]","[[-0.5267008305055563], [0.9844367973010182], [-0.5212975759272838]]","[[-1.2892501077115956], [-20.62161937961403], [0.6217403202132559]]","[[0.25450392150824774], [0.8366484738081291]]","[[0.008764984040382506], [-0.001434859056281823]]",[[0.09212603677894302]],[[0.08595984746178861]]
7,"[[-0.5276971869861986], [1.1465611822723296], [-0.5259162926283875]]","[[-0.07746123963706233], [0.07018321032698444], [0.08871641359026927]]","[[-0.5277039128683259], [0.9842654420835698], [-0.5213006193548676]]","[[-1.3180011253019805], [-20.710002047964053], [0.4582444916026711]]","[[0.2553803891314962], [0.8365104881392394]]","[[0.008759248898793093], [-0.0013313242305468265]]",[[0.09294770265774095]],[[0.08143838427905263]]
8,"[[-0.5285015385605104], [1.147237468032756], [-0.5250106721474355]]","[[-0.07968762706555048], [0.0651762616135502], [0.09162910326382978]]","[[-0.5287035193574634], [0.9840826562634405], [-0.5212626296550511]]","[[-1.34509747579636], [-20.79501152213699], [0.2991121240353216]]","[[0.25625583779965355], [0.8363825736764621]]","[[0.008745373018997915], [-0.0012331595908410264]]",[[0.09372525732480948]],[[0.07711773781069081]]
9,"[[-0.5293268648652787], [1.1478649029817347], [-0.5240773621701417]]","[[-0.08168887485685136], [0.0604033346035148], [0.09427491936464027]]","[[-0.529698758252999], [0.9838894507684296], [-0.5211858602828565]]","[[-1.370605758739384], [-20.8767522024075], [0.1442871083756313]]","[[0.25712947848987283], [0.8362642043620915]]","[[0.008723819724881787], [-0.0011401534898314303]]",[[0.0944606759463163]],[[0.07298937911130368]]
10,"[[-0.5301709669484804], [1.1484457831582113], [-0.5231189666014072]]","[[-0.08347734626692682], [0.055856087060315474], [0.09666642765152578]]","[[-0.5306888030842059], [0.9836867860727578], [-0.5210724844556124]]","[[-1.3945903938059754], [-20.95532568115896], [-0.0062902065802072915]]","[[0.25800056773117075], [0.8361548751710616]]","[[0.008695037687966867], [-0.0010520972378413873]]",[[0.09515584960832586]],[[0.06904516844719186]]
11,"[[-0.5310317674589113], [1.1489823220496567], [-0.522137965448624]]","[[-0.08506483261145684], [0.051526337344748374], [0.09881583015609069]]","[[-0.5316728895073936], [0.9834755730765984], [-0.5209245970944572]]","[[-1.4171137061139232], [-21.030830937879237], [-0.15268272694591134]]","[[0.25886840614332823], [0.8360541017801821]]","[[0.00865946102336368], [-0.0009687857185025628]]",[[0.09581258914212004]],[[0.06527733488824364]]
12,"[[-0.5319073050192561], [1.149476652248869], [-0.5211367184795519]]","[[-0.08646258010708564], [0.04740607375503028], [0.10073496341610783]]","[[-0.5326503122786099], [0.9832566742090654], [-0.5207442167398926]]","[[-1.4382360054333756], [-21.103364492716047], [-0.294956334335297]]","[[0.2597323369863261], [0.8359614201814834]]","[[0.008617509401992463], [-0.0008900179020443488]]",[[0.09643262875006234]],[[0.06167845706405239]]
13,"[[-0.5327957288605972], [1.1499308271935669], [-0.5201174688900068]]","[[-0.08768131504739225], [0.04348746197730055], [0.10243529804680779]]","[[-0.5336204223270423], [0.9830309046866055], [-0.5205332874306914]]","[[-1.4580156586750401], [-21.17302053098259], [-0.43317961196295807]]","[[0.26059174472191754], [0.8358763862490576]]","[[0.00856958817858633], [-0.0008155972712531323]]",[[0.09701762944296365]],[[0.058241444976716114]]
14,"[[-0.5336952937030266], [1.1503468229724392], [-0.5190823469700327]]","[[-0.08873126756770261], [0.03976285111061911], [0.10392793928982]]","[[-0.5345826239293041], [0.9827990338837522], [-0.5202936805439417]]","[[-1.4765091562096821], [-21.239891005950113], [-0.5674235754734454]]","[[0.2614460535888798], [0.8357985752675327]]","[[0.008516088534882282], [-0.0007453321709371963]]",[[0.09756918229937829]],[[0.054959522832736495]]
15,"[[-0.5346043548682683], [1.150726540183668], [-0.518033373758404]]","[[-0.08962219399553524], [0.03622477828488521], [0.10522362858905396]]","[[-0.5355363719848304], [0.9825617867826816], [-0.5200271965957538]]","[[-1.4937711728797267], [-21.30406572509256], [-0.6977614094083044]]","[[0.2622947261934423], [0.8357275814293278]]","[[0.008457387637705871], [-0.0006790360900454928]]",[[0.09808881155699656]],[[0.05182621287840393]]
16,"[[-0.5355213636104886], [1.1510718058337033], [-0.5169724646766746]]","[[-0.09036339789967818], [0.03286597221187307], [0.10633274595181302]]","[[-0.5364811693778948], [0.9823198454777382], [-0.519735567005599]]","[[-1.5098546240327855], [-21.365632422529693], [-0.824268209725611]]","[[0.2631372621163347], [0.8356630173070501]]","[[0.008393848811133475], [-0.000616527883334772]]",[[0.09857797754653996]],[[0.04883532026514657]]
17,"[[-0.5364448626546781], [1.151384375265842], [-0.5159014331346905]]","[[-0.09096375020656014], [0.029679355712041083], [0.10726531313051471]]","[[-0.5374165644630781], [0.982073850716054], [-0.5194204558276431]]","[[-1.5248107188711408], [-21.424676821420174], [-0.9470207331931595]]","[[0.2639731965378758], [0.8356045133066697]]","[[0.008325821722904303], [-0.0005576319396793927]]",[[0.09903807947647442]],[[0.045980918638273006]]
18,"[[-0.5373734819315437], [1.1516659341088993], [-0.5148219941001233]]","[[-0.09143170813185106], [0.02665804727494675], [0.10803099749870676]]","[[-0.5383421486338099], [0.9818244034599201], [-0.5190834614516544]]","[[-1.538689009293425], [-21.481282687055092], [-1.0660971545746172]]","[[0.2648020988824627], [0.8355517171065171]]","[[0.008253642584055143], [-0.0005021783028302806]]",[[0.09947045807723438]],[[0.043257336645218504]]
19,"[[-0.538305934499326], [1.1519181002376828], [-0.5137357676255725]]","[[-0.09177533333179654], [0.023795361941597898], [0.10863911652639294]]","[[-0.539257553998513], [0.9815720664594526], [-0.5187261182773193]]","[[-1.5515374366429502], [-21.53553187233758], [-1.1815768327551084]]","[[0.2656235714837556], [0.835504293086604]]","[[0.008177634361200559], [-0.000450002748875189]]",[[0.09987639811278405]],[[0.04065914513733296]]
20,"[[-0.5392410126422831], [1.1521424257372477], [-0.5126442823272647]]","[[-0.09200230890335012], [0.02108481128593656], [0.10909864284851317]]","[[-0.5401624511340648], [0.9813173658264494], [-0.5183498983647223]]","[[-1.5634023745174308], [-21.587504357047557], [-1.2935400857535848]]","[[0.2664372482717802], [0.8354619217522707]]","[[0.008098107000775734], [-0.0004009468264620786]]",[[0.100257130767702]],[[0.03818114523223835]]
21,"[[-0.5401775841380467], [1.1523403988643903], [-0.5115489788099835]]","[[-0.09211995579851542], [0.01852010287742281], [0.10941820984702921]]","[[-0.5410565469495084], [0.9810607926007925], [-0.5179562130636055]]","[[-1.5743286708675064], [-21.63727828139607], [-1.4020679760391206]]","[[0.2672427934830984], [0.8354242991556836]]","[[0.00801535766443151], [-0.0003548578636491939]]",[[0.10061383591636147]],[[0.03581835692593663]]
22,"[[-0.5411145886855693], [1.1525134460001967], [-0.5104512130336046]]","[[-0.0921352483442633], [0.016095139123735003], [0.10960611764565825]]","[[-0.5419395826272262], [0.9808028043028127], [-0.517546414622817]]","[[-1.584359686739797], [-21.684929975397115], [-1.5072421058527354]]","[[0.2680399003951137], [0.8353911363182916]]","[[0.007929670974665681], [-0.00031158894520100233]]",[[0.10094764428102317]],[[0.03356600842512998]]
23,"[[-0.5420510344858195], [1.1526629335881693], [-0.5093522596169906]]","[[-0.09205482901074764], [0.013804015559485017], [0.1096703395421588]]","[[-0.5428113316524065], [0.9805438264660211], [-0.5171217977818499]]","[[-1.5935373339176895], [-21.73053398391091], [-1.6091444230491836]]","[[0.2688282900854813], [0.835362158656956]]","[[0.007841319269824565], [-0.00027099886501513737]]",[[0.10125963948535756]],[[0.031419526089757545]]
