step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5107954706105289], [1.1272682525796396], [-0.5318551747462475]]","[[-0.0845519573302598], [0.17997024171848358], [0.005368660356710742]]","[[-0.5087325892229291], [1.0022572340375344], [-0.5221707287692473]]","[[-0.6931000182015727], [-16.101677862125854], [2.011249923417127]]","[[0.21031362210485488], [0.8402048342966703]]","[[0.0067821589728234155], [-0.0035112006382731487]]",[[0.08461760722286504]],[[0.1007869447472119]]
1,"[[-0.5116294269241253], [1.1295211816655117], [-0.5320530113860926]]","[[-0.07912437746486967], [0.2580109672216337], [-0.0384708961826708]]","[[-0.5062168934169045], [1.0178198734034758], [-0.5233489099806371]]","[[-0.23212675606120925], [-14.861139665681371], [2.2841223827935675]]","[[0.21098538912445758], [0.8397580447094167]]","[[0.00667650376318385], [-0.005165328485612353]]",[[0.08583874335529437]],[[0.14041569357637054]]
2,"[[-0.5123116382350463], [1.1325571380367196], [-0.532705675560488]]","[[-0.05970511497367398], [0.33667908023140913], [-0.0846332705707536]]","[[-0.5040509858552956], [1.029468937733887], [-0.5233774203502538]]","[[-0.008778976451045084], [-14.339448504530019], [2.8318606206900006]]","[[0.21164819537104745], [0.8391433481887953]]","[[0.0066066820884003175], [-0.006862974804711097]]",[[0.08753982424118555]],[[0.19234069468698156]]
3,"[[-0.5128328604471355], [1.1363441083295323], [-0.5337882393558662]]","[[-0.045343657576782534], [0.40865754307788493], [-0.12510485971955254]]","[[-0.502902582874641], [1.0381230345710228], [-0.5227607585070336]]","[[0.07977971803484363], [-14.318946416378584], [3.4908941758492746]]","[[0.21230920166661216], [0.8383661440267438]]","[[0.006630225887940822], [-0.008425975302150945]]",[[0.08972300852653034]],[[0.23820902577927272]]
4,"[[-0.5132895888949025], [1.140803550498941], [-0.5352284958275074]]","[[-0.04250519446918033], [0.4717004084489354], [-0.15740895532457394]]","[[-0.5029612336174665], [1.0453169005395995], [-0.5223663844818718]]","[[0.08866220070398256], [-14.5304824073548], [4.091476596186295]]","[[0.21297846980979765], [0.8374429571247622]]","[[0.00675726377490915], [-0.009798423506013343]]",[[0.09228546577653324]],[[0.27178625865518125]]
5,"[[-0.5137934679728675], [1.1458397599243024], [-0.5369423525950694]]","[[-0.05043851356583365], [0.5247348951813041], [-0.18117470210639558]]","[[-0.5040559404223263], [1.051587634391861], [-0.5222224830507135]]","[[0.05536106025112497], [-14.867471750807447], [4.6116049107702475]]","[[0.21366606051210446], [0.8363941932255449]]","[[0.00698199629217966], [-0.01095741981983478]]",[[0.09510393935636521]],[[0.29312167950793616]]
6,"[[-0.5144150767778025], [1.1513495568413181], [-0.5388506312474847]]","[[-0.06362912292905651], [0.567437374617346], [-0.19742140180055318]]","[[-0.5057018368602456], [1.0572852242647959], [-0.5224303652858149]]","[[0.010135580652627096], [-15.258168726441586], [5.033302428892879]]","[[0.2143807360823314], [0.8352414307792956]]","[[0.0072874439895148635], [-0.011901845061501604]]",[[0.09808384881603119]],[[0.3063868498900134]]
7,"[[-0.5151932887715553], [1.1572337230741956], [-0.5408837075109482]]","[[-0.08001751408745533], [0.6006286551837968], [-0.2071188997418097]]","[[-0.5077879355962046], [1.062616762673667], [-0.5229312236049947]]","[[-0.04649429877070044], [-15.66442826488488], [5.364396762468478]]","[[0.21512980296851555], [0.8340052181181841]]","[[0.007660179337368178], [-0.012649163537659103]]",[[0.10115672679169478]],[[0.31349224135680903]]
8,"[[-0.5161494769465239], [1.1634059769983847], [-0.5429838068204623]]","[[-0.0980207497536302], [0.6259370165944362], [-0.21161477830332126]]","[[-0.5101874104327383], [1.067856638347097], [-0.5238304049040305]]","[[-0.10825589862747731], [-16.047901863557907], [5.593359067072126]]","[[0.21591908829027479], [0.8327033848834635]]","[[0.008084355871354476], [-0.01323360237304172]]",[[0.10427269323139884]],[[0.316301488537485]]
9,"[[-0.5172849978279812], [1.1697947576293537], [-0.5451065313029553]]","[[-0.1154992672941489], [0.6447383342879428], [-0.21221531580169667]]","[[-0.5127195198262331], [1.0730519109907657], [-0.5250912219806242]]","[[-0.16886856281616724], [-16.4048157250331], [5.731996937468037]]","[[0.21675286016001363], [0.831350568261061]]","[[0.008544855907663407], [-0.013685554650733067]]",[[0.10740322849841644]],[[0.3170237511909584]]
10,"[[-0.5185894010016936], [1.1763426726757604], [-0.5472188218328171]]","[[-0.13172522344908097], [0.6584289407156436], [-0.20994854381472366]]","[[-0.515334905083462], [1.078233385921789], [-0.526684665214625]]","[[-0.23025473495983784], [-16.736017875145443], [5.790021781544676]]","[[0.21763406453393808], [0.8299583920650334]]","[[0.00902961165472893], [-0.014034296758536069]]",[[0.11053444984124992]],[[0.316755173454116]]
11,"[[-0.5200507324363958], [1.183006015108761], [-0.5492965408257448]]","[[-0.14680637204014507], [0.6683216157357554], [-0.20561947337879777]]","[[-0.518038607399356], [1.0834261379598353], [-0.5285828250348206]]","[[-0.2941847336843433], [-17.04443939784411], [5.776092945543668]]","[[0.21856458296503295], [0.8285356704601191]]","[[0.009528880289855213], [-0.014306583343348667]]",[[0.11365874184662185]],[[0.3158957703179511]]
12,"[[-0.5216592240127501], [1.1897529778000684], [-0.551322628132853]]","[[-0.16100466391251167], [0.675503030619089], [-0.19986416861940842]]","[[-0.5208412094348318], [1.0886359800226584], [-0.5307508982996475]]","[[-0.36113301652319496], [-17.335481082201206], [5.699285385223292]]","[[0.2195454174341254], [0.8270887955900998]]","[[0.01003456690292226], [-0.014524561761120047]]",[[0.11677112565446525]],[[0.3146341980871689]]
13,"[[-0.5234070764290272], [1.1965610871414645], [-0.5532855894477663]]","[[-0.17448401681464706], [0.6807906469621114], [-0.19317563770931473]]","[[-0.5237456622531926], [1.0938530352097204], [-0.5331502251944976]]","[[-0.4310091017232529], [-17.615622004428285], [5.568667607874805]]","[[0.22057683535383782], [0.8256222430531606]]","[[0.010539939564480072], [-0.014705114487845172]]",[[0.11986842126467066]],[[0.31313099243587267]]
