step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5180148473989207], [1.1271322643605377], [-0.5274515286396263]]","[[-0.683450097188522], [0.12395631694392487], [0.16740553750941578]]","[[-0.5768468699926466], [0.9471526447165195], [-0.5040506697172132]]","[[-4.191437918039777], [-23.9261246229114], [2.5710552148484704]]","[[0.08868143412389365], [0.840374382959865]]","[[0.008795850027944196], [-0.0015180895917121795]]",[[0.08166588832198945]],[[-0.3920882427363201]]
1,"[[-0.5243295217446763], [1.127674642154796], [-0.5254761659055925]]","[[-0.5945153939454797], [0.002467332197755634], [0.22016207690193113]]","[[-0.5647173145905158], [0.9352135761161864], [-0.4980026947541542]]","[[-2.0470941230866395], [-24.67009552186404], [2.6366372667422686]]","[[0.08957830084587799], [0.840358127238654]]","[[0.009095951452502138], [0.0008449943603050514]]",[[0.07786895450452856]],[[-0.3718859848457927]]
2,"[[-0.5296490194767067], [1.1270691938731192], [-0.5230353255116246]]","[[-0.49260678876761643], [-0.10595954646247074], [0.2623930386181686]]","[[-0.5615192486435007], [0.9311813310083027], [-0.49544829553258185]]","[[-1.8078519591657716], [-24.116335991734275], [2.2290556947820894]]","[[0.09050010159849879], [0.8405631362083841]]","[[0.009311808965130342], [0.002923924586428761]]",[[0.07438484888478797]],[[-0.3361732966119186]]
3,"[[-0.534391335125844], [1.1255707031315687], [-0.5201966170820045]]","[[-0.4559234062249246], [-0.18253845633001592], [0.29884675468966015]]","[[-0.5637763983476667], [0.9300343319483996], [-0.49425153280340406]]","[[-1.8555299558311034], [-23.302613983893178], [1.6148351731091102]]","[[0.09144311237528496], [0.8409417252009813]]","[[0.009504406062522952], [0.004419079155226768]]",[[0.07098275092372239]],[[-0.33961510786414156]]
4,"[[-0.538756030714579], [1.1234310077825476], [-0.5170695906392199]]","[[-0.4184397706854224], [-0.2368311628009], [0.32189975768292167]]","[[-0.5644286337114991], [0.9302451219322837], [-0.49351970093966974]]","[[-1.698906159877243], [-22.41400187861932], [1.0163692362890047]]","[[0.09239944155225059], [0.8414434717828291]]","[[0.009592819474664449], [0.005444793968045758]]",[[0.06760538642875052]],[[-0.333371175799985]]
5,"[[-0.5427445539018546], [1.1208609610763962], [-0.5137788794333003]]","[[-0.3815158961752171], [-0.2710789620646954], [0.33321768467993373]]","[[-0.564800970679984], [0.9308619801607171], [-0.4928739882518763]]","[[-1.550369942356141], [-21.60090475190211], [0.4975933754628412]]","[[0.09335948096626731], [0.8420243036085058]]","[[0.009591405411883691], [0.006054012847522827]]",[[0.06433752774124132]],[[-0.31937717355997863]]
6,"[[-0.5464100093379095], [1.1180450179840016], [-0.5104226014928874]]","[[-0.3519392549194363], [-0.2884068786286876], [0.3360496599329484]]","[[-0.5656098900667236], [0.9313026255020026], [-0.49210316612452126]]","[[-1.4445286949720235], [-20.948136954104857], [0.07396019618890814]]","[[0.09431587378176813], [0.8426466353509393]]","[[0.009527186792594733], [0.006322845018547074]]",[[0.06121240715320474]],[[-0.304296473616314]]
7,"[[-0.5498179564443482], [1.1151270665693984], [-0.5070721876082535]]","[[-0.32843414217846806], [-0.2932952086690732], [0.33279735553376566]]","[[-0.5666954063847153], [0.9313566406189268], [-0.49113070987393737]]","[[-1.3571245678081367], [-20.46476849995718], [-0.2563438634285322]]","[[0.09526332025107521], [0.8432817153558709]]","[[0.009417789662614917], [0.00634502427907524]]",[[0.058236922516796664]],[[-0.28893199531263686]]
8,"[[-0.5530180714941174], [1.1122088827265557], [-0.5037773281158634]]","[[-0.3093031381663707], [-0.2897173288353453], [0.3254679822137847]]","[[-0.5679605422074886], [0.9310039662168639], [-0.4899608532388025]]","[[-1.2829704135904252], [-20.129055507276988], [-0.5066175347062256]]","[[0.09619810707648566], [0.8439095229420412]]","[[0.009277820534125958], [0.006202352041606574]]",[[0.05541348311657836]],[[-0.27355248478679256]]
9,"[[-0.5560478365533545], [1.1093575285690853], [-0.5005696753984024]]","[[-0.29356660093040027], [-0.2807704593278837], [0.31569010156111976]]","[[-0.5693654424818357], [0.9303034974046803], [-0.48863109311434727]]","[[-1.2205842035307448], [-19.91071763333676], [-0.6941746278869085]]","[[0.09711784842941036], [0.8445171777065368]]","[[0.009119329938764298], [0.005958312993536996]]",[[0.0527400166173293]],[[-0.2586469586960254]]
