step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5295889565837345], [1.1339125693759438], [-0.5216003844268631]]","[[-0.7104060518466535], [0.12276395510304666], [0.20225455099991446]]","[[-0.5899748482246953], [0.9501727259546601], [-0.5027497702832354]]","[[-4.309799793579148], [-24.515775502784777], [1.544725492842918]]","[[0.3773135735153571], [0.8391794243803437]]","[[0.011053801424809606], [-0.00157259220844308]]",[[0.08272322836534428]],[[-0.38538754574596934]]
1,"[[-0.5361894699358697], [1.1344529708088333], [-0.5192832289348663]]","[[-0.6229733818426118], [0.0028152801046679166], [0.2536530892239519]]","[[-0.5780857235883317], [0.9381766344529554], [-0.4968471921899628]]","[[-2.1475332349437903], [-25.284180925421403], [1.549446715894711]]","[[0.37843413191824193], [0.8391560028384956]]","[[0.011313152662051351], [0.0007624004372486226]]",[[0.0789802719380988]],[[-0.36650501251057577]]
2,"[[-0.5417866851862999], [1.1338559326852824], [-0.5165162336147084]]","[[-0.5192043900355796], [-0.10486853998416001], [0.29425834128939976]]","[[-0.5750070728861142], [0.9339841680731559], [-0.4943551137223123]]","[[-1.906585458228185], [-24.76569861468211], [1.0995971794825345]]","[[0.37957511282676365], [0.8393519200557688]]","[[0.011481272043900592], [0.002827444141961788]]",[[0.07555301388427127]],[[-0.32981458873147834]]
3,"[[-0.546795529665432], [1.1323697707940241], [-0.513364179494579]]","[[-0.48186816522288356], [-0.18126943723868305], [0.3296379659890465]]","[[-0.5775760281388502], [0.9326369127053927], [-0.49318313839075467]]","[[-1.9731860946819864], [-23.988088720954554], [0.4455945466737823]]","[[0.38073238355016426], [0.8397203658127833]]","[[0.011623335749150199], [0.004314789981907374]]",[[0.07221006163401333]],[[-0.3334996364725201]]
4,"[[-0.5514232020331343], [1.1302427654177347], [-0.5099333158870228]]","[[-0.4441881511886884], [-0.23564541780476478], [0.3518270537750323]]","[[-0.5785376999354459], [0.9326598230677126], [-0.49246570919547056]]","[[-1.8305141767180153], [-23.131036578599808], [-0.19192482064214011]]","[[0.38189770964335124], [0.8402115221030959]]","[[0.011657313372043232], [0.005338696942880361]]",[[0.06888624749757831]],[[-0.3280065152172823]]
5,"[[-0.5556700444767183], [1.127683003625048], [-0.5063471758724296]]","[[-0.406705055807747], [-0.27023547816193727], [0.36233401005111254]]","[[-0.579163659787969], [0.933113943735341], [-0.4918267114551106]]","[[-1.691403576983158], [-22.342700332135415], [-0.747957188296296]]","[[0.38306102505819917], [0.8407818885531779]]","[[0.011596613502290465], [0.005951235607115635]]",[[0.06566578327589957]],[[-0.31460652392084903]]
6,"[[-0.55958712432998], [1.1248729757479505], [-0.5027033375420835]]","[[-0.37645081895771276], [-0.288051743797474], [0.36440054320091]]","[[-0.5802043188995748], [0.933414952969085], [-0.491055073751994]]","[[-1.593866394139896], [-21.708983629735506], [-1.2070153641574302]]","[[0.3842145281361381], [0.8413942336909601]]","[[0.01146895567334938], [0.006225785156910302]]",[[0.06258251387588658]],[[-0.3001020195565542]]
7,"[[-0.5632395981036046], [1.1219557328248058], [-0.49907295387767]]","[[-0.35225987039952256], [-0.2934700659807282], [0.3603947949933082]]","[[-0.581503266686527], [0.9333491688695258], [-0.49007425664081233]]","[[-1.5130510355305797], [-21.240375834176614], [-1.5706278259810047]]","[[0.38535254807232544], [0.8420199384969828]]","[[0.011292735775680907], [0.00625426059343015]]",[[0.059643180843531964]],[[-0.28533514138352645]]
8,"[[-0.5666769313972754], [1.1190329775347883], [-0.495505798711135]]","[[-0.33241128555706556], [-0.2904057831254462], [0.3522894703414969]]","[[-0.5829606356102531], [0.9328929968084932], [-0.4888880337944786]]","[[-1.4435356529566499], [-20.916256604041894], [-1.851663880227392]]","[[0.38647107036405276], [0.8426389856554332]]","[[0.011083232793868136], [0.006117519793691351]]",[[0.05685024742637879]],[[-0.27052759833987616]]
9,"[[-0.5699363608221881], [1.11617213642472], [-0.4920338329107982]]","[[-0.31593250266312745], [-0.2819232326896924], [0.3416987903586328]]","[[-0.5845396453428094], [0.932101650637031], [-0.4875335079844215]]","[[-1.384276077057475], [-20.707295871947426], [-2.067174883928547]]","[[0.38756747657595697], [0.8432384283540459]]","[[0.010853184633147217], [0.005878545398929624]]",[[0.05420194269173334]],[[-0.256156944994187]]
10,"[[-0.5730461190948346], [1.113414332856171], [-0.4886753120693927]]","[[-0.301972575629442], [-0.27031478866082226], [0.3298023136069014]]","[[-0.5861923544898064], [0.9310605521719316], [-0.48605769085709954]]","[[-1.3324117325232772], [-20.583417068499813], [-2.233502031876502]]","[[0.38864023580340323], [0.8438106891373806]]","[[0.010611997591325473], [0.0055837946426051666]]",[[0.05169290169194457]],[[-0.2424850506833628]]
11,"[[-0.5760266429509346], [1.1107815993927603], [-0.48543882028634344]]","[[-0.28979887617723143], [-0.25719328392769536], [0.31740150286164603]]","[[-0.5878737297920437], [0.9298572542556585], [-0.48450584138693226]]","[[-1.285491696339778], [-20.518211402641754], [-2.364394351260934]]","[[0.3896885951109174], [0.8443520297550314]]","[[0.01036617572306442], [0.0052654259612539]]",[[0.04931613615548278]],[[-0.22959065724441952]]
