step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.522867145330034], [1.1402485123912263], [-0.5312339308389845]]","[[-0.05439923599587919], [0.11251168648469581], [0.059725768672108326]]","[[-0.5206682916903671], [0.9851618763772483], [-0.5202808321003977]]","[[-1.0779632916416988], [-20.01420174371591], [1.6969637220895273]]","[[0.7239940378628639], [0.8377200397775196]]","[[0.00860063190133431], [-0.002180843385857223]]",[[0.08614743622220714]],[[0.11783821915978632]]
1,"[[-0.5234515654549174], [1.1413382615692533], [-0.5306062015428085]]","[[-0.05860267558604497], [0.10562303083430552], [0.06488768393007943]]","[[-0.5216694540571948], [0.9850831674864018], [-0.520582130863998]]","[[-1.1181775496732396], [-20.125217930042385], [1.506347890367095]]","[[0.7248573129290834], [0.8375093803566154]]","[[0.00865429856254929], [-0.0020405932998901477]]",[[0.08728049457152806]],[[0.11190803918061738]]
2,"[[-0.5240762961279061], [1.142360667844271], [-0.5299287892654324]]","[[-0.06247557763891411], [0.09902973464559559], [0.06968517591619644]]","[[-0.5226740362574815], [0.9849859081818575], [-0.5208270848472154]]","[[-1.156285041348954], [-20.232153877921025], [1.3203392175130935]]","[[0.7257253424421138], [0.8373123982127074]]","[[0.008696734087410007], [-0.001906990737665648]]",[[0.08835558245093285]],[[0.10623933292287796]]
3,"[[-0.5247381025238066], [1.1433186379521179], [-0.5292052628216107]]","[[-0.06603531415239468], [0.0927229425977138], [0.07413310735620865]]","[[-0.5236806898560349], [0.9848714042230362], [-0.5210184678740339]]","[[-1.192368134680136], [-20.335140198867265], [1.1389101528772376]]","[[0.7265970330387712], [0.8371284390747582]]","[[0.008728490497678099], [-0.001779828868331279]]",[[0.08937527260670233]],[[0.10082073580266647]]
4,"[[-0.5254339203587238], [1.1442149897754916], [-0.5284390435533484]]","[[-0.06929840177590199], [0.0866937517364616], [0.07824606964506575]]","[[-0.5246881499747088], [0.9847409169393392], [-0.5211589629674614]]","[[-1.2265061473721608], [-20.4343012210093], [0.9620272856150046]]","[[0.7274713457819008], [0.8369568696598451]]","[[0.008750105097410366], [-0.001658896056178083]]",[[0.09034202586341994]],[[0.0956414196056254]]
5,"[[-0.5261608475812044], [1.1450524522113346], [-0.5276334082264714]]","[[-0.07228055711171878], [0.08093327215309742], [0.08203835271807525]]","[[-0.5256952323254035], [0.9845956599730616], [-0.5212511637201696]]","[[-1.2587755398670206], [-20.529756054203933], [0.7896518805095191]]","[[0.7283472946824151], [0.8367970780371791]]","[[0.008762100388304273], [-0.0015439779334269765]]",[[0.09125819640365944]],[[0.09069106775831513]]
6,"[[-0.5269161366013281], [1.1458336655563401], [-0.5267914921760862]]","[[-0.07499674858426408], [0.07543267200836454], [0.08552392403855874]]","[[-0.5267008305056221], [0.9844367973009995], [-0.5212975759272838]]","[[-1.2892501077086338], [-20.621619379622455], [0.6217403202025651]]","[[0.7292239452160687], [0.8366484738081301]]","[[0.008764984040388057], [-0.001434859056281823]]",[[0.09212603677892757]],[[0.08595984746152056]]
7,"[[-0.5276971869862135], [1.1465611822723256], [-0.5259162926283866]]","[[-0.07746123963768824], [0.07018321032753638], [0.08871641359127547]]","[[-0.527703912868329], [0.9842654420835589], [-0.5213006193548693]]","[[-1.3180011253103259], [-20.710002047953132], [0.4582444916220023]]","[[0.7301004128393171], [0.8365104881392406]]","[[0.008759248898793093], [-0.0013313242305357242]]",[[0.0929477026577236]],[[0.08143838427884621]]
8,"[[-0.5285015385605215], [1.147237468032749], [-0.5250106721474327]]","[[-0.07968762706328693], [0.06517626161057269], [0.09162910326623402]]","[[-0.52870351935744], [0.9840826562634436], [-0.5212626296550568]]","[[-1.3450974757742389], [-20.79501152216527], [0.29911212405974263]]","[[0.7309758615074743], [0.8363825736764632]]","[[0.008745373018992364], [-0.0012331595908299242]]",[[0.09372525732479366]],[[0.07711773781124236]]
9,"[[-0.5293268648652941], [1.1478649029817332], [-0.5240773621701399]]","[[-0.08168887486205728], [0.06040333461068986], [0.09427491936163951]]","[[-0.5296987582530409], [0.9838894507684308], [-0.5211858602828632]]","[[-1.3706057587736522], [-20.876752202354087], [0.14428710831481484]]","[[0.7318495021976934], [0.8362642043620926]]","[[0.008723819724876236], [-0.0011401534897981236]]",[[0.09446067594629894]],[[0.07298937911027209]]
10,"[[-0.530170966948487], [1.1484457831582064], [-0.5231189666014052]]","[[-0.08347734626791382], [0.05585608706270059], [0.0966664276515708]]","[[-0.5306888030841149], [0.9836867860727815], [-0.521072484455622]]","[[-1.3945903938334507], [-20.955325681100742], [-0.006290206639493867]]","[[0.732720591438991], [0.8361548751710625]]","[[0.008695037687955764], [-0.001052097237830285]]",[[0.09515584960831366]],[[0.0690451684474962]]
11,"[[-0.5310317674589131], [1.1489823220496542], [-0.522137965448626]]","[[-0.0850648326127341], [0.051526337347153145], [0.09881583015618639]]","[[-0.5316728895073705], [0.9834755730766218], [-0.5209245970944666]]","[[-1.417113706112098], [-21.03083093788235], [-0.15268272691827744]]","[[0.7335884298511482], [0.8360541017801829]]","[[0.00865946102336368], [-0.000968785718513665]]",[[0.09581258914211258]],[[0.0652773348883281]]
12,"[[-0.5319073050192528], [1.1494766522488649], [-0.5211367184795554]]","[[-0.08646258010300818], [0.04740607374980149], [0.10073496341820093]]","[[-0.5326503122785977], [0.9832566742090794], [-0.5207442167398976]]","[[-1.438236005410015], [-21.103364492755745], [-0.29495633429188994]]","[[0.7344523606941461], [0.8359614201814839]]","[[0.008617509401998014], [-0.0008900179020665533]]",[[0.09643262875005788]],[[0.06167845706499431]]
13,"[[-0.5327957288605998], [1.1499308271935655], [-0.5201174688900093]]","[[-0.08768131504771863], [0.043487461976970426], [0.10243529804583296]]","[[-0.5336204223271286], [0.9830309046865967], [-0.5205332874306912]]","[[-1.4580156586756405], [-21.17302053098561], [-0.4331796119999296]]","[[0.7353117684297373], [0.8358763862490577]]","[[0.00856958817858633], [-0.0008155972712642345]]",[[0.09701762944295533]],[[0.05824144497622343]]
14,"[[-0.5336952937030318], [1.1503468229724396], [-0.5190823469700411]]","[[-0.08873126756579146], [0.039762851108234604], [0.1039279392895566]]","[[-0.534582623929292], [0.9827990338837457], [-0.5202936805439395]]","[[-1.4765091561943935], [-21.239891005974894], [-0.5674235754371062]]","[[0.7361660772966995], [0.8357985752675327]]","[[0.008516088534882282], [-0.0007453321709482985]]",[[0.09756918229936837]],[[0.054959522833138416]]
15,"[[-0.5346043548682746], [1.1507265401836664], [-0.5180333737584064]]","[[-0.0896221939959836], [0.03622477828502904], [0.10522362858904477]]","[[-0.5355363719848636], [0.9825617867826756], [-0.5200271965957544]]","[[-1.4937711728927798], [-21.304065725076676], [-0.697761409415249]]","[[0.7370147499012621], [0.8357275814293275]]","[[0.008457387637705871], [-0.0006790360900676973]]",[[0.098088811556985]],[[0.05182621287809018]]
16,"[[-0.5355213636104972], [1.1510718058337077], [-0.5169724646766808]]","[[-0.09036339790144556], [0.03286597221462334], [0.10633274595303074]]","[[-0.5364811693778707], [0.9823198454777345], [-0.5197355670055986]]","[[-1.5098546240131712], [-21.365632422546977], [-0.8242682097542693]]","[[0.7378572858241542], [0.8356630173070501]]","[[0.008393848811127924], [-0.0006165278833125676]]",[[0.09857797754652892]],[[0.048835320265069974]]
17,"[[-0.5364448626546797], [1.1513843752658404], [-0.5159014331346962]]","[[-0.09096375020386775], [0.029679355708512156], [0.10726531313193238]]","[[-0.5374165644630566], [0.9820738507160673], [-0.519420455827649]]","[[-1.5248107188578985], [-21.42467682143554], [-0.9470207331851848]]","[[0.7386932202456953], [0.8356045133066696]]","[[0.008325821722898752], [-0.0005576319397015972]]",[[0.09903807947646609]],[[0.04598091863885422]]
18,"[[-0.5373734819315507], [1.1516659341089024], [-0.5148219941001284]]","[[-0.09143170813292148], [0.026658047276058], [0.10803099750069767]]","[[-0.5383421486338517], [0.9818244034599193], [-0.519083461451657]]","[[-1.5386890092707697], [-21.481282687091184], [-1.0660971545594968]]","[[0.7395221225902818], [0.8355517171065171]]","[[0.008253642584055143], [-0.0005021783028302806]]",[[0.09947045807722406]],[[0.0432573366449729]]
19,"[[-0.5383059344993316], [1.1519181002376837], [-0.513735767625578]]","[[-0.09177533333424867], [0.023795361944549648], [0.10863911652763492]]","[[-0.5392575539985057], [0.9815720664594566], [-0.5187261182773226]]","[[-1.551537436662532], [-21.535531872308162], [-1.181576832741988]]","[[0.7403435951915749], [0.8355042930866041]]","[[0.008177634361195008], [-0.0004500027488418823]]",[[0.09987639811277368]],[[0.04065914513679717]]
20,"[[-0.5392410126422819], [1.1521424257372448], [-0.5126442823272657]]","[[-0.09200230890205224], [0.021084811284215382], [0.10909864285280718]]","[[-0.5401624511340029], [0.9813173658264721], [-0.5183498983647306]]","[[-1.5634023745412744], [-21.58750435700203], [-1.2935400857946826]]","[[0.7411572719795991], [0.8354619217522706]]","[[0.008098107000764632], [-0.0004009468264731808]]",[[0.10025713076769559]],[[0.038181145232692934]]
21,"[[-0.5401775841380461], [1.1523403988643923], [-0.5115489788099895]]","[[-0.09211995580025166], [0.018520102879832467], [0.10941820984722622]]","[[-0.541056546949516], [0.9810607926008037], [-0.5179562130636102]]","[[-1.574328670875469], [-21.637278281383402], [-1.402067976055557]]","[[0.7419628171909171], [0.8354242991556835]]","[[0.00801535766442596], [-0.0003548578636491939]]",[[0.10061383591635635]],[[0.03581835692566835]]
22,"[[-0.5411145886855644], [1.1525134460001962], [-0.5104512130336123]]","[[-0.09213524834288132], [0.016095139122053653], [0.1096061176463064]]","[[-0.541939582627196], [0.9808028043028254], [-0.5175464146228208]]","[[-1.5843596867439587], [-21.68492997538994], [-1.5072421058412473]]","[[0.7427599241029322], [0.8353911363182912]]","[[0.007929670974671232], [-0.0003115889452232068]]",[[0.10094764428102007]],[[0.033566008425478806]]
23,"[[-0.5420510344858168], [1.1526629335881737], [-0.5093522596170017]]","[[-0.09205482901221543], [0.013804015561881516], [0.1096703395387047]]","[[-0.5428113316524191], [0.9805438264660231], [-0.5171217977818517]]","[[-1.5935373339480037], [-21.73053398386937], [-1.609144423089807]]","[[0.7435483137932998], [0.8353621586569555]]","[[0.007841319269819014], [-0.00027099886501513737]]",[[0.10125963948535471]],[[0.03141952608950944]]
