step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5302387397629057], [1.134116026926861], [-0.5148143257076375]]","[[-0.10447418939356443], [0.18700365543519357], [0.07377283466721285]]","[[-0.5283540695717996], [1.0060787575943044], [-0.5228460373453334]]","[[-0.8238283810960274], [-16.716407323212366], [-1.3367219129084016]]","[[0.5416570044754755], [0.8391692411953633]]","[[0.012076641092573226], [-0.003758462671588081]]",[[0.08906296145631971]],[[0.15630230071111947]]
1,"[[-0.5309910105466452], [1.1365968409219562], [-0.514493209879017]]","[[-0.05833385677222434], [0.293959930978019], [0.0018589130838366774]]","[[-0.5232661567676684], [1.0254217524914429], [-0.5307190387322931]]","[[-0.40822058327013977], [-15.219147247315531], [-1.875558130212755]]","[[0.5428309486467727], [0.838660607649175]]","[[0.011495267057526348], [-0.0060800758237888886]]",[[0.09111262049629712]],[[0.23748498729190864]]
2,"[[-0.5312867804416189], [1.1401803897166276], [-0.5149082899214208]]","[[-0.013637166408787774], [0.40626770917901633], [-0.07264442092250753]]","[[-0.5196059435665241], [1.0388819885536624], [-0.5360649982822048]]","[[-0.28371324378120977], [-14.83835113966338], [-1.8824734453894363]]","[[0.5439460110545276], [0.8379120635681783]]","[[0.010904953822532537], [-0.008528974935495537]]",[[0.09398531935358667]],[[0.31998612184658237]]
3,"[[-0.5310991908919271], [1.1447543041974715], [-0.515996930748734]]","[[0.03519491793246525], [0.49524263690820597], [-0.13411786061082373]]","[[-0.5160252089410493], [1.043896535643689], [-0.5378776252339191]]","[[-0.2818814515989627], [-15.663244603304555], [-1.3725973558517717]]","[[0.5450079716115804], [0.8369446507689442]]","[[0.010424002257480858], [-0.010518350523958109]]",[[0.09765818255681255]],[[0.39631969423326385]]
4,"[[-0.5306234670741935], [1.1500930422891316], [-0.5175856901909143]]","[[0.054246623539784], [0.5612181867629072], [-0.175921054174518]]","[[-0.5152390013264012], [1.0462444800239206], [-0.5384791349072575]]","[[-0.4600454152927522], [-16.775100471429376], [-0.7961530170651354]]","[[0.5460319197356194], [0.835805829320724]]","[[0.010115428276291638], [-0.01200862946165726]]",[[0.10188388502402342]],[[0.4395437561293118]]
5,"[[-0.5301700155874185], [1.156003497575259], [-0.5194971614309983]]","[[0.0424753121391534], [0.6105765976484339], [-0.20162658094445352]]","[[-0.5167721291367448], [1.0490914908281763], [-0.5395718492607906]]","[[-0.6772104023184922], [-17.726494698967432], [-0.4072193780141662]]","[[0.5470334350327545], [0.8345383817358252]]","[[0.009948098076595357], [-0.013124189724633695]]",[[0.10633632055684286]],[[0.4514253288419951]]
6,"[[-0.5299410683391202], [1.16234169629599], [-0.5216049813442043]]","[[0.01576939585390555], [0.6476870897068503], [-0.21704094601741933]]","[[-0.5192815307717207], [1.0529845617510072], [-0.541338732461729]]","[[-0.8530187525213018], [-18.45812104580143], [-0.19588952680085137]]","[[0.5480234500344384], [0.8331741285106]]","[[0.009868831464032723], [-0.013970837820909132]]",[[0.1107956466126663]],[[0.4464155395433365]]
7,"[[-0.5300155831432072], [1.1690014383192804], [-0.523830059080106]]","[[-0.015462601367390555], [0.675743292359396], [-0.22615003425243302]]","[[-0.5221550798559598], [1.0577132225214447], [-0.5434978669776455]]","[[-0.9896640742851996], [-19.018999614760833], [-0.09102166357395691]]","[[0.5490086519687807], [0.831735845536641]]","[[0.009842538087911912], [-0.014625496305253893]]",[[0.11515579609596449]],[[0.4341306567372952]]
8,"[[-0.5303937424330613], [1.1759043597222085], [-0.5261256828770785]]","[[-0.044683942803835336], [0.6971216297399634], [-0.23168410741467618]]","[[-0.524991002523477], [1.0630730072914327], [-0.5459675259604727]]","[[-1.093353093068143], [-19.452742858098112], [-0.059481482574472055]]","[[0.5499928828522213], [0.8302396765490888]]","[[0.009845164908683923], [-0.015145068585409316]]",[[0.11938493441206827]],[[0.42075357952259057]]
9,"[[-0.5310354233720005], [1.1829929142760738], [-0.5284656782194904]]","[[-0.06909332156755202], [0.7135715773909334], [-0.23525548225020526]]","[[-0.5276313958395727], [1.0688349522314788], [-0.5486739731620447]]","[[-1.1756408669557226], [-19.803303219436657], [-0.07741860734437522]]","[[0.5509781763097757], [0.8286969595775905]]","[[0.009862380096159473], [-0.015569424932215803]]",[[0.12349181268458562]],[[0.4092227735743145]]
