step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5226510915744883], [1.131397489914175], [-0.5229732290655198]]","[[-0.06580682723327308], [0.19714658677343447], [0.02319059047523872]]","[[-0.518033888934427], [1.0077277241717808], [-0.5265168716487709]]","[[-0.650102791927329], [-16.109590849792944], [-0.163415054788273]]","[[0.8565351243448677], [0.8396045056380766]]","[[0.009112347811368604], [-0.003942652938737634]]",[[0.08577316927416559]],[[0.15453035001426124]]
1,"[[-0.5230308858658177], [1.1339754621619351], [-0.5231487552093531]]","[[-0.02253444082998221], [0.30330479748704997], [-0.04698440227615096]]","[[-0.5127990233142622], [1.0269404834266191], [-0.5347298041711992]]","[[-0.2320999706612712], [-14.636081757762295], [-0.6958105299358952]]","[[0.8574174444579177], [0.8390784540208174]]","[[0.008618624913991901], [-0.006244883500683418]]",[[0.08779582108676544]],[[0.23378595438319416]]
2,"[[-0.5229575345425999], [1.1376407138377853], [-0.5240442408121444]]","[[0.022968650530597032], [0.41364267867333326], [-0.11987983051696456]]","[[-0.5087401248745926], [1.040142022737426], [-0.5404212228860145]]","[[-0.10324008983337651], [-14.284584406580358], [-0.698273082550622]]","[[0.858249410181858], [0.8383154985376996]]","[[0.008112472322274744], [-0.008657435085790421]]",[[0.09063893848304055]],[[0.3167314986869658]]
3,"[[-0.5223906782126609], [1.14227763948152], [-0.5255986688103049]]","[[0.07286208928565838], [0.5008637973421883], [-0.18000403699857875]]","[[-0.5048139894563659], [1.0450821816899556], [-0.5427692503829371]]","[[-0.11066911291328219], [-15.109579020273095], [-0.21237179999348355]]","[[0.8590361516649417], [0.8373369655143744]]","[[0.007706087090553204], [-0.01061685833863013]]",[[0.09428829245855556]],[[0.3937218496338226]]
4,"[[-0.5215290120451904], [1.1476644420399844], [-0.5276408626002437]]","[[0.09240367955759891], [0.5655125434947286], [-0.22066622242857875]]","[[-0.5037321182915161], [1.047347726004794], [-0.5438923683108033]]","[[-0.3012541296081901], [-16.2247765820751], [0.34239968439722124]]","[[0.8597918427276913], [0.8361897023495]]","[[0.007462927124024521], [-0.012082631310317282]]",[[0.09849456739455094]],[[0.43725000062488745]]
5,"[[-0.5206916730490649], [1.1536123720463123], [-0.5299948552718654]]","[[0.0801478260160066], [0.6139572297239813], [-0.24533439744381413]]","[[-0.5050362255820492], [1.0501172040031326], [-0.5454460962862119]]","[[-0.5311213850020353], [-17.18143544379126], [0.7182091949711252]]","[[0.8605312988988069], [0.834916032108541]]","[[0.0073543955774857395], [-0.01317736841429662]]",[[0.10292584372538152]],[[0.44877065829617385]]
6,"[[-0.5200914102299742], [1.1599809456983166], [-0.5325346810586589]]","[[0.05188681482305639], [0.6504554051091103], [-0.2597114665703151]]","[[-0.5073933338734161], [1.0539527662478636], [-0.5475938017354665]]","[[-0.7188438126027874], [-17.91740890779384], [0.9269383709449921]]","[[0.8612649276288311], [0.8335474791935682]]","[[0.007329739418449055], [-0.01400550816461621]]",[[0.10735485440968415]],[[0.44263075336185154]]
7,"[[-0.5198072944296442], [1.1666660727269977], [-0.5351828346570312]]","[[0.0195544063601472], [0.6781012018750272], [-0.26802881308808457]]","[[-0.5100541021719586], [1.0586969251975256], [-0.5501504137796744]]","[[-0.8604869485876478], [-18.47294324304154], [1.0276453548018767]]","[[0.861998874626264], [0.8321065535831034]]","[[0.007352162195872758], [-0.01464521870254698]]",[[0.11167594364032189]],[[0.42962679514595126]]
8,"[[-0.5198279522369186], [1.173590424518664], [-0.5378959387567536]]","[[-0.00933539810130711], [0.6991440980114483], [-0.2731467574420173]]","[[-0.5125558419132635], [1.064084380302014], [-0.5530719171736473]]","[[-0.9647351162660995], [-18.89971560449039], [1.0496716758992302]]","[[0.8627362962179118], [0.8306090799435826]]","[[0.007396238950496681], [-0.015153226125885766]]",[[0.11586653352499421]],[[0.41666194246926286]]
9,"[[-0.5201025818790596], [1.1806971664253971], [-0.5406508376998903]]","[[-0.03253844591450669], [0.7153162457028475], [-0.27655867770365694]]","[[-0.5148008300540742], [1.0698433455381635], [-0.5562519143114277]]","[[-1.0488103506184543], [-19.248054031654], [1.0211876748432422]]","[[0.863478569439811], [0.8290660822842293]]","[[0.007448777470375756], [-0.015568787838793341]]",[[0.1199437468464455]],[[0.40621912208240635]]
10,"[[-0.520582151550372], [1.187945287988881], [-0.5434334840198456]]","[[-0.05130757211870696], [0.727960313267673], [-0.27881373660267567]]","[[-0.5169128089118111], [1.0757777518550844], [-0.5595728951283562]]","[[-1.1274430053104503], [-19.555190988531418], [0.9637796838239099]]","[[0.8642262994800615], [0.8274853248316477]]","[[0.007505323836698441], [-0.015917885082561423]]",[[0.12392965241866503]],[[0.39783900454856763]]
11,"[[-0.5212300456905337], [1.1953051644493513], [-0.5462341612179122]]","[[-0.06684824328645125], [0.7380526862912552], [-0.28025851049329475]]","[[-0.5189581693704165], [1.0818187985228902], [-0.5630251475917731]]","[[-1.2039737317805317], [-19.837033226054658], [0.8810401374099428]]","[[0.8649797175459365], [0.8258723958815926]]","[[0.007562649706083224], [-0.016218970565984314]]",[[0.12784095754090424]],[[0.390945932511509]]
12,"[[-0.5220240861619725], [1.2027556365925793], [-0.5490453441921119]]","[[-0.08067356924523313], [0.7463213362728934], [-0.28102651950152036]]","[[-0.5210388135521848], [1.0879157802110369], [-0.5665651652091406]]","[[-1.2820343975109059], [-20.10550462039406], [0.7798470973822849]]","[[0.865738846105468], [0.8242313523292997]]","[[0.007619412583548257], [-0.016484733343347102]]",[[0.13168620623849597]],[[0.3846212475261403]]
13,"[[-0.5229511703309819], [1.2102814026004192], [-0.5518612382524201]]","[[-0.09339968006739448], [0.7532701118959372], [-0.28130188951632473]]","[[-0.5231745483709478], [1.094071215303151], [-0.570189744500734]]","[[-1.3600315976625426], [-20.363073172665572], [0.6616257578282518]]","[[0.8665035213385535], [0.8225651815549806]]","[[0.007673562410792645], [-0.01672465492036368]]",[[0.13546899401701937]],[[0.3785685423144955]]
14,"[[-0.5240041966254773], [1.217871448503417], [-0.5546774637573382]]","[[-0.10560463547154232], [0.7592683088749359], [-0.2811943567998472]]","[[-0.5254019280420346], [1.1002702905084905], [-0.5738756172099232]]","[[-1.4387223909435816], [-20.61410245556393], [0.5303562224046169]]","[[0.8672734149201977], [0.8208760780371221]]","[[0.007723759081756931], [-0.016945450604355372]]",[[0.13918978812060162]],[[0.3724693166035465]]
15,"[[-0.5251797663512389], [1.2255178235064157], [-0.5574907798715759]]","[[-0.11755755105732592], [0.7645830293170034], [-0.2808144089435311]]","[[-0.5277314623614144], [1.1065176891156994], [-0.5776098230050558]]","[[-1.5173710269747243], [-20.85942130644797], [0.3885999876266665]]","[[0.8680480619889068], [0.8191656607648763]]","[[0.0077686940580190544], [-0.01715224022404982]]",[[0.1428472772836016]],[[0.36621106931728525]]
16,"[[-0.5264756959873618], [1.2332147463269045], [-0.5602990509474974]]","[[-0.1293119537987933], [0.769399920486091], [-0.28026749573891835]]","[[-0.5301611031920522], [1.1128141024629064], [-0.5813837587659318]]","[[-1.5953567836196152], [-21.099958976793822], [0.2383828028588526]]","[[0.8688268670245378], [0.8174351155009667]]","[[0.007807120761693653], [-0.017348829583996306]]",[[0.14643999939204838]],[[0.35982047095065706]]
17,"[[-0.5278898630962893], [1.240957986279697], [-0.5631011063189331]]","[[-0.14085310888136862], [0.7738529715543794], [-0.27964141677093873]]","[[-0.5326861449468392], [1.1191591892654635], [-0.5851891209016141]]","[[-1.6723865448226147], [-21.336501290137782], [0.08166005769255347]]","[[0.869609120565843], [0.8156853019857055]]","[[0.007838004669724619], [-0.017538083505674873]]",[[0.14996701686447378]],[[0.35335844589979476]]
18,"[[-0.5294202449922907], [1.2487445379782833], [-0.5658965217265616]]","[[-0.15220162087839226], [0.7780544012475064], [-0.2790014701480526]]","[[-0.5353048894824547], [1.1255582675987097], [-0.5890137762792803]]","[[-1.7482924244301559], [-21.568931716488002], [-0.07914984984713391]]","[[0.8703940298843218], [0.8139168198347133]]","[[0.007860664216485791], [-0.017722380888152145]]",[[0.153427771259431]],[[0.3468513102187841]]
19,"[[-0.5310640669323585], [1.2565720547239116], [-0.5686854583125109]]","[[-0.16324283949628815], [0.7820402675388719], [-0.278397370868844]]","[[-0.5380072119195071], [1.1319927023103977], [-0.5928585016078032]]","[[-1.8230306554713054], [-21.80010377665286], [-0.24362664697514602]]","[[0.8711807326455199], [0.8121301149378489]]","[[0.00787442971084129], [-0.017902674459557844]]",[[0.1568225294790419]],[[0.3404000571737399]]
20,"[[-0.5328186082989251], [1.2644388252705299], [-0.5714684835160742]]","[[-0.1740342400069939], [0.785888338697257], [-0.27786699127660297]]","[[-0.5407957819086764], [1.13847474890065], [-0.5967234344568609]]","[[-1.8968760722472993], [-22.028663555701215], [-0.4113319505710671]]","[[0.8719683130949561], [0.8103254964416937]]","[[0.007878827066210015], [-0.018080571464718087]]",[[0.1601517334555313]],[[0.3339871074159377]]
21,"[[-0.5346811877085265], [1.2723436856352408], [-0.5742465141040057]]","[[-0.18455644734532167], [0.789638606025831], [-0.27744102710194635]]","[[-0.5436655358808207], [1.1450012026404055], [-0.6006031509924634]]","[[-1.9696052123633685], [-22.255333068264328], [-0.5810009951316408]]","[[0.8727558123822993], [0.8085031533489088]]","[[0.007873481264164539], [-0.018256992532228455]]",[[0.16341598382271014]],[[0.3276411315808407]]
22,"[[-0.5366487346972986], [1.2802858073458843], [-0.57702077493359]]","[[-0.1947630283541072], [0.7933208403782653], [-0.2771494771491805]]","[[-0.5466094779411346], [1.151573826074844], [-0.6044970080684242]]","[[-2.0410491503046724], [-22.480016121182494], [-0.7520552739104296]]","[[0.8735422351979222], [0.8066631921624166]]","[[0.007858046005670971], [-0.01843270009231901]]",[[0.1666162977149953]],[[0.32140833487497755]]
23,"[[-0.5387182049253781], [1.2882646129077717], [-0.5797926563584228]]","[[-0.20467817686641218], [0.796953973457096], [-0.2770003683236584]]","[[-0.5496278182757648], [1.158188220183105], [-0.6083995142036102]]","[[-2.1114531929281943], [-22.703479967857216], [-0.9233676484097784]]","[[0.8743265670684267], [0.8048056634193831]]","[[0.007832430560350545], [-0.01860806935539694]]",[[0.16975375162396789]],[[0.31527542826360916]]
24,"[[-0.5408869323486626], [1.2962797145663318], [-0.5825635973584229]]","[[-0.21434470782635462], [0.8005561041620055], [-0.27699673401462677]]","[[-0.5527212023723798], [1.1648456932123037], [-0.6123085899713027]]","[[-2.1808665547159833], [-22.925642646763247], [-1.0943773290940875]]","[[0.8751077894668571], [0.8029305826144665]]","[[0.007796627565925807], [-0.018783421445756066]]",[[0.1728291848592444]],[[0.30921466231874695]]
25,"[[-0.543152564994391], [1.3043308811312684], [-0.5853350737166715]]","[[-0.22378823686676422], [0.8041414876907713], [-0.2771424018923237]]","[[-0.5558886860574423], [1.1715483398176378], [-0.6162228051623775]]","[[-2.249210766638779], [-23.146289162202713], [-1.2646105933927831]]","[[0.875884884198433], [0.8010379362204821]]","[[0.007750653122085005], [-0.018959027463105738]]",[[0.17584324242020768]],[[0.3032108489328218]]
26,"[[-0.5455128680090277], [1.3124179953136574], [-0.5881086091416178]]","[[-0.23301411974589506], [0.807720012465221], [-0.27744239914826585]]","[[-0.5591279191759648], [1.1782980240595045], [-0.6201409345284845]]","[[-2.3163794407901843], [-23.36521290079609], [-1.4336054570758845]]","[[0.8766568353451346], [0.7991276871342339]]","[[0.007694541217617701], [-0.019135102980250007]]",[[0.17879651816301367]],[[0.29726349356992116]]
27,"[[-0.5479655697774478], [1.3205410178710388], [-0.5908857821481822]]","[[-0.24201485111724652], [0.8112983827092511], [-0.27790218073091466]]","[[-0.5624357293047709], [1.1850963357681024], [-0.6240620419630281]]","[[-2.382279069016398], [-23.582227850201374], [-1.600930484783408]]","[[0.8774226314259308], [0.797199779428791]]","[[0.00762834875202012], [-0.01931182005661114]]",[[0.18168966594540945]],[[0.2913813508633679]]
28,"[[-0.5505083745019852], [1.3286999655497436], [-0.5936682061253055]]","[[-0.2507903223341472], [0.8148810949596117], [-0.2785238932623072]]","[[-0.5658098682507519], [1.1919438462044378], [-0.6279846542742336]]","[[-2.4468930737352594], [-23.797288168241472], [-1.7660989164339862]]","[[0.8781812701412148], [0.7952541435393613]]","[[0.007552193254223294], [-0.019489284665108464]]",[[0.18452338492245113]],[[0.2855668793586023]]
