step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5162857900541029], [1.1349587483392547], [-0.5327068126440676]]","[[-0.04964932462047418], [0.19169792180806852], [0.002212071224534984]]","[[-0.5108802740260268], [1.0129294498077128], [-0.5325622651622767]]","[[-0.5744858537620343], [-15.747483089461234], [0.5966349757305688]]","[[1.3093812101258409], [0.8387040319625839]]","[[0.007487070881717628], [-0.003832408471604598]]",[[0.08596614564108196]],[[0.1442606684121294]]
1,"[[-0.5165002731396301], [1.1374859173758436], [-0.533093614805844]]","[[-0.006185008679897908], [0.2986209420429363], [-0.06818651380448842]]","[[-0.5054690369083908], [1.032289590371134], [-0.5412090024470549]]","[[-0.15303592688040846], [-14.250100552951672], [0.03277298446232879]]","[[1.310103118331997], [0.8381872498314502]]","[[0.007032094132797262], [-0.0061665551593814705]]",[[0.08789202943036879]],[[0.22424941955741137]]
2,"[[-0.516253378127484], [1.1411090760311677], [-0.5342048628147538]]","[[0.04041408172796285], [0.4099474487770774], [-0.14168253715972415]]","[[-0.5011761801552826], [1.0455684898503055], [-0.5473352411094122]]","[[-0.02202466786788504], [-13.888802152046726], [0.003072958815833138]]","[[1.3107782444305371], [0.8374299528198325]]","[[0.006559477591783214], [-0.008618711862862227]]",[[0.09065083508892939]],[[0.3086789933441775]]
3,"[[-0.5155090586026644], [1.1457130344089317], [-0.5359792527268707]]","[[0.09035411041272548], [0.49799389750787637], [-0.20211022916009602]]","[[-0.49715124758829915], [1.0503999015063954], [-0.5498244381322123]]","[[-0.03869648228619749], [-14.732182688076762], [0.5040013047827892]]","[[1.3114114734799291], [0.8364534766218477]]","[[0.006185893781252005], [-0.010610807006505851]]",[[0.09422472307939612]],[[0.3862377787605058]]
4,"[[-0.5144690201160411], [1.1510750197782917], [-0.5382445559385541]]","[[0.11002794463910308], [0.5634214702814004], [-0.24308194743056494]]","[[-0.4959555890610551], [1.0525500069603406], [-0.5511911917247323]]","[[-0.2367715088835749], [-15.867426050842287], [1.0587754664954692]]","[[1.3120166710603893], [0.8353053841357182]]","[[0.0059708122478463466], [-0.012102401532509965]]",[[0.09836144372369468]],[[0.4303674674888001]]
5,"[[-0.513451390039592], [1.157005993982868], [-0.5408250297445003]]","[[0.09802043479011711], [0.6126254001427545], [-0.26809309581858226]]","[[-0.49713025811140177], [1.055220619653595], [-0.5530216410030088]]","[[-0.473242120201417], [-16.842610877456416], [1.43043872236988]]","[[1.3126081925263162], [0.8340286258458183]]","[[0.0058858286271723514], [-0.013217185567127032]]",[[0.10272957419877715]],[[0.44255273911656706]]
6,"[[-0.5126639007624073], [1.163364690753256], [-0.5435955501661551]]","[[0.07065422817724122], [0.6497948517414319], [-0.2829260703768161]]","[[-0.49929438526959513], [1.0589792944739758], [-0.5555042463695652]]","[[-0.6653492772218021], [-17.59397449455261], [1.6279892622181502]]","[[1.3131959359881036], [0.8326552242921936]]","[[0.0058793852903749055], [-0.014061279120891612]]",[[0.10710523982469392]],[[0.43752300954185697]]
7,"[[-0.5121842699282585], [1.1700461580966424], [-0.5464787562076657]]","[[0.0391078796762635], [0.67801316838664], [-0.2916597607454302]]","[[-0.5017780042972326], [1.0636191284965553], [-0.5584087730585403]]","[[-0.8142717705325828], [-18.16900041588889], [1.7159150716004707]]","[[1.313785611408325], [0.8312080666544067]]","[[0.005916238890946168], [-0.014713127384702318]]",[[0.1113831319607172]],[[0.42546128731747346]]
8,"[[-0.5120054370759985], [1.1769721951557457], [-0.5494302742574875]]","[[0.010431389110425252], [0.6995400111029952], [-0.29706360732051756]]","[[-0.5041438565994695], [1.068904528499649], [-0.5616528610942818]]","[[-0.9271324568363069], [-18.614855072167586], [1.7282242401242365]]","[[1.314380084983071], [0.8297033180539158]]","[[0.005972410114196691], [-0.01522997986237451]]",[[0.11553648382225679]],[[0.4129077928906252]]
9,"[[-0.5120797290624007], [1.1840849294476057], [-0.5524260893211337]]","[[-0.012751082627965343], [0.716096448734751], [-0.30070279125854465]]","[[-0.5062568422565616], [1.0745781222495066], [-0.5651661288221282]]","[[-1.0185011362757144], [-18.979401751099587], [1.6881682427814364]]","[[1.3149804676692947], [0.8281522921313963]]","[[0.006034234310847708], [-0.015651948440020824]]",[[0.11957911106407179]],[[0.40264257485051863]]
