step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5228671453300291], [1.1402485123912243], [-0.531233930838985]]","[[-0.054399235996477474], [0.11251168648595444], [0.05972576867030488]]","[[-0.5206682916903397], [0.9851618763772562], [-0.5202808321004001]]","[[-1.0779632916401445], [-20.014201743708945], [1.696963722062364]]","[[1.920022773542592], [0.8377200397775199]]","[[0.008600631901312106], [-0.0021808433858350185]]",[[0.08614743622220963]],[[0.11783821915978188]]
1,"[[-0.5234515654549129], [1.1413382615692549], [-0.530606201542812]]","[[-0.05860267558686928], [0.10562303083543198], [0.06488768393201372]]","[[-0.5216694540571823], [0.9850831674864123], [-0.520582130864001]]","[[-1.1181775496763773], [-20.12521793004724], [1.506347890432159]]","[[1.9208860486088122], [0.8375093803566153]]","[[0.008654298562560392], [-0.0020405932998901477]]",[[0.0872804945715317]],[[0.11190803918057647]]
2,"[[-0.5240762961278999], [1.1423606678442724], [-0.5299287892654343]]","[[-0.062475577639421076], [0.0990297346467891], [0.06968517591441376]]","[[-0.522674036257469], [0.9849859081818648], [-0.5208270848472172]]","[[-1.1562850413650496], [-20.23215387789579], [1.320339217478653]]","[[1.9217540781218423], [0.8373123982127071]]","[[0.008696734087410007], [-0.001906990737665648]]",[[0.08835558245093832]],[[0.10623933292292047]]
3,"[[-0.5247381025237997], [1.1433186379521192], [-0.5292052628216126]]","[[-0.06603531415257329], [0.09272294259835881], [0.07413310735346451]]","[[-0.5236806898560334], [0.9848714042230399], [-0.5210184678740346]]","[[-1.1923681346689436], [-20.33514019887918], [1.1389101528576018]]","[[1.9226257687184996], [0.8371284390747579]]","[[0.0087284904976892], [-0.001779828868331279]]",[[0.08937527260670836]],[[0.10082073580266616]]
4,"[[-0.5254339203587168], [1.1442149897754907], [-0.5284390435533469]]","[[-0.06929840177748513], [0.08669375173838872], [0.07824606964428649]]","[[-0.5246881499747087], [0.9847409169393394], [-0.5211589629674613]]","[[-1.226506147369848], [-20.43430122100465], [0.9620272855876488]]","[[1.9235000814616285], [0.8369568696598443]]","[[0.008750105097399263], [-0.0016588960561891852]]",[[0.09034202586342545]],[[0.0956414196051901]]
5,"[[-0.5261608475811967], [1.145052452211338], [-0.5276334082264736]]","[[-0.0722805571143357], [0.08093327215715695], [0.08203835271751664]]","[[-0.5256952323253549], [0.9845956599730626], [-0.5212511637201671]]","[[-1.2587755398909255], [-20.52975605416152], [0.7896518804683554]]","[[1.9243760303621429], [0.8367970780371785]]","[[0.00876210038829317], [-0.0015439779334158743]]",[[0.09125819640366707]],[[0.0906910677580605]]
6,"[[-0.526916136601315], [1.1458336655563428], [-0.5267914921760893]]","[[-0.07499674858439309], [0.07543267200947415], [0.08552392403675241]]","[[-0.5267008305055716], [0.9844367973010101], [-0.5212975759272837]]","[[-1.2892501077100211], [-20.621619379614238], [0.6217403201762971]]","[[1.9252526808957964], [0.8366484738081295]]","[[0.008764984040388057], [-0.001434859056281823]]",[[0.09212603677893903]],[[0.08595984746183352]]
7,"[[-0.5276971869862007], [1.1465611822723307], [-0.525916292628396]]","[[-0.07746123963868681], [0.07018321032987479], [0.08871641358414323]]","[[-0.5277039128683363], [0.9842654420835634], [-0.5213006193548684]]","[[-1.3180011253156523], [-20.71000204794644], [0.4582444915952637]]","[[1.9261291485190444], [0.8365104881392399]]","[[0.00875924889878199], [-0.001331324230524622]]",[[0.09294770265773568]],[[0.08143838427874742]]
8,"[[-0.5285015385605096], [1.147237468032753], [-0.525010672147438]]","[[-0.0796876270647904], [0.06517626161292972], [0.09162910326280288]]","[[-0.5287035193574384], [0.984082656263448], [-0.521262629655056]]","[[-1.3450974757815959], [-20.795011522153043], [0.2991121240426463]]","[[1.9270045971872019], [0.8363825736764626]]","[[0.008745373019003466], [-0.001233159590818822]]",[[0.09372525732480512]],[[0.07711773781094206]]
9,"[[-0.5293268648652781], [1.1478649029817316], [-0.5240773621701408]]","[[-0.08168887485814715], [0.06040333460476782], [0.09427491936658156]]","[[-0.5296987582530114], [0.9838894507684379], [-0.5211858602828633]]","[[-1.3706057587652478], [-20.87675220237064], [0.1442871083601569]]","[[1.927878237877421], [0.8362642043620919]]","[[0.008723819724876236], [-0.001140153489820328]]",[[0.09446067594631181]],[[0.07298937911092476]]
