step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5345642505176388], [1.1287441084119751], [-0.5088983927626484]]","[[-0.7495111314876319], [0.11313255129997399], [0.25074214600016714]]","[[-0.5977911514707199], [0.941269523066125], [-0.4953640377311479]]","[[-4.497916557469132], [-25.063472964398535], [0.2692319318079617]]","[[1.4413846019347964], [0.8403402193649021]]","[[0.013924729237002609], [-0.001477991294007719]]",[[0.08528146513168737]],[[-0.385636434186352]]
1,"[[-0.5415677756458753], [1.1291883072600541], [-0.5060993023663011]]","[[-0.662809579978147], [-0.006865334434744297], [0.3013510896342757]]","[[-0.5861909131650821], [0.9292549034499846], [-0.4895775900132767]]","[[-2.316539935086871], [-25.82172267669518], [0.19102470831437546]]","[[1.442789664387358], [0.8403249015950376]]","[[0.014133708998276262], [0.0008325505951867207]]",[[0.0815212292478762]],[[-0.3683238247797541]]
2,"[[-0.5475521686168568], [1.1284960729021982], [-0.5028640375109245]]","[[-0.5564070755345787], [-0.11424097594801963], [0.3402381585397534]]","[[-0.5832283750313078], [0.9250235105749203], [-0.4871639854773016]]","[[-2.0659645881560014], [-25.3004462275438], [-0.3245353080132751]]","[[1.4442094125335962], [0.8405261842794197]]","[[0.01423977654535502], [0.0028666151378531346]]",[[0.07807986677441539]],[[-0.33040989294398343]]
3,"[[-0.5529295990089454], [1.1269203720844878], [-0.4992611141820334]]","[[-0.5176787588810501], [-0.18987308485507637], [0.3738357063879422]]","[[-0.5861064029689318], [0.9235588127938541], [-0.4860220987698229]]","[[-2.1443555252054645], [-24.53724661160964], [-1.033249560857686]]","[[1.4456388518013343], [0.8408963026385379]]","[[0.01431280983859029], [0.004313400010957924]]",[[0.07472965889350762]],[[-0.3337161373493229]]
4,"[[-0.5579171003120647], [1.1247135318997035], [-0.49539743427415256]]","[[-0.47937878667916756], [-0.2431568559096694], [0.3941929212651221]]","[[-0.5874090122926406], [0.9234264742072369], [-0.4853019166281194]]","[[-2.0113905363117803], [-23.705038319494527], [-1.7172967509409764]]","[[1.4470691382037981], [0.8413849823941771]]","[[0.014272152185590414], [0.005295733294230498]]",[[0.07139899731348587]],[[-0.32834272132485337]]
5,"[[-0.5625166277438335], [1.122084957797758], [-0.4913970903193245]]","[[-0.4411594595863493], [-0.2766409080689625], [0.4028289191112519]]","[[-0.588344352141827], [0.92370424975956], [-0.4846340520692643]]","[[-1.878960626288991], [-22.946611240339], [-2.3127010004726896]]","[[1.4484896484615464], [0.8419489574670133]]","[[0.014131523284777181], [0.005871196645146348]]",[[0.06817123973460024]],[[-0.3149714485429212]]
6,"[[-0.5667787959001286], [1.1192164647515428], [-0.4873574190797738]]","[[-0.41016854120489205], [-0.29347649806716203], [0.40309277852947795]]","[[-0.5896870128382842], [0.9238177375417179], [-0.4838138691480495]]","[[-1.7880467823828883], [-22.344807236385797], [-2.806009955472957]]","[[1.4498921350107434], [0.8425515425668887]]","[[0.013920144886858665], [0.006114882465446669]]",[[0.06508024977164055]],[[-0.30055226074371466]]
7,"[[-0.5707690445508562], [1.1162494933095797], [-0.4833486091638754]]","[[-0.3852809127123503], [-0.29810276163425964], [0.397400261813527]]","[[-0.5912783208749215], [0.9235655507366878], [-0.48277143630154407]]","[[-1.712945426326974], [-21.907348814551497], [-3.2004055563479143]]","[[1.4512706229416785], [0.8431647790067336]]","[[0.013657733339167422], [0.006119360546230634]]",[[0.06213183959484831]],[[-0.28598341253194437]]
8,"[[-0.5745367269011328], [1.1132837074546944], [-0.47941927899263226]]","[[-0.36469841754207455], [-0.2944593583039654], [0.3877244391932895]]","[[-0.5930094277332244], [0.9229339205654475], [-0.481515581783033]]","[[-1.6476096150795474], [-21.611557695786317], [-3.509727634115798]]","[[1.4526209001258905], [0.8437693323286177]]","[[0.013360458987676793], [0.005965336078184169]]",[[0.05932770156092948]],[[-0.2714333366527507]]
9,"[[-0.5781185178685242], [1.1103844723387868], [-0.47560029781593455]]","[[-0.34741990420918756], [-0.28559704661277685], [0.3756669709800265]]","[[-0.5948421654367506], [0.9219835189146505], [-0.4800866402186826]]","[[-1.5911703678307338], [-21.42708219194359], [-3.751566555489112]]","[[1.4539402276068665], [0.8443528815458727]]","[[0.01304172860221442], [0.005714931668054923]]",[[0.056665656654327115]],[[-0.2573499798430765]]
