step,q,dq,qr,tau,r_pos,r_vel,th,dth
14,"[[-0.5336952937030254], [1.1503468229724396], [-0.5190823469700382]]","[[-0.08873126756621794], [0.03976285110928446], [0.10392793928786084]]","[[-0.5345826239292554], [0.9827990338837482], [-0.520293680543939]]","[[-1.4765091562074104], [-21.23989100594894], [-0.5674235754726247]]","[[0.9837241435296027], [0.8357985752675324]]","[[0.008516088534893385], [-0.0007453321709482985]]",[[0.09756918229937693]],[[0.05495952283320479]]
15,"[[-0.5346043548682652], [1.150726540183663], [-0.5180333737584022]]","[[-0.08962219399536071], [0.03622477828379725], [0.1052236285908213]]","[[-0.5355363719848532], [0.982561786782676], [-0.5200271965957539]]","[[-1.4937711728981333], [-21.304065725069744], [-0.6977614094061684]]","[[0.984572816134165], [0.8357275814293275]]","[[0.008457387637705871], [-0.0006790360900676973]]",[[0.09808881155699452]],[[0.05182621287811917]]
16,"[[-0.5355213636104882], [1.1510718058337044], [-0.5169724646766782]]","[[-0.09036339790091641], [0.03286597221338122], [0.10633274595483302]]","[[-0.5364811693778702], [0.9823198454777303], [-0.5197355670055963]]","[[-1.5098546240216573], [-21.36563242254746], [-0.824268209680336]]","[[0.9854153520570572], [0.8356630173070502]]","[[0.008393848811127924], [-0.0006165278833236698]]",[[0.09857797754653827]],[[0.048835320265020604]]
17,"[[-0.5364448626546715], [1.1513843752658368], [-0.515901433134691]]","[[-0.0909637502031841], [0.02967935570724861], [0.1072653131337126]]","[[-0.5374165644630529], [0.982073850716058], [-0.5194204558276443]]","[[-1.5248107188451514], [-21.42467682145353], [-0.9470207331783198]]","[[0.9862512864785983], [0.83560451330667]]","[[0.008325821722898752], [-0.0005576319397015972]]",[[0.09903807947647505]],[[0.0459809186389158]]
18,"[[-0.5373734819315422], [1.1516659341088964], [-0.5148219941001229]]","[[-0.09143170813284114], [0.02665804727552959], [0.10803099749977726]]","[[-0.5383421486338597], [0.9818244034599082], [-0.5190834614516523]]","[[-1.5386890092946286], [-21.481282687062837], [-1.0660971545477322]]","[[0.9870801888231852], [0.8355517171065177]]","[[0.008253642584055143], [-0.0005021783028302806]]",[[0.09947045807723194]],[[0.04325733664474307]]
19,"[[-0.5383059344993247], [1.1519181002376793], [-0.513735767625573]]","[[-0.09177533333354547], [0.023795361943888566], [0.10863911652666566]]","[[-0.5392575539984865], [0.9815720664594476], [-0.5187261182773173]]","[[-1.551537436649226], [-21.535531872325958], [-1.1815768327349483]]","[[0.9879016614244779], [0.8355042930866047]]","[[0.008177634361195008], [-0.0004500027488529845]]",[[0.09987639811278104]],[[0.04065914513700877]]
20,"[[-0.5392410126422776], [1.1521424257372426], [-0.5126442823272627]]","[[-0.09200230890343312], [0.02108481128646733], [0.10909864284943036]]","[[-0.5401624511340161], [0.9813173658264582], [-0.5183498983647242]]","[[-1.5634023745326147], [-21.587504357027612], [-1.2935400857233494]]","[[0.9887153382125023], [0.8354619217522714]]","[[0.008098107000775734], [-0.0004009468264731808]]",[[0.10025713076770185]],[[0.03818114523246451]]
21,"[[-0.540177584138041], [1.152340398864388], [-0.5115489788099841]]","[[-0.0921199558007897], [0.01852010288090794], [0.10941820984553849]]","[[-0.5410565469495012], [0.9810607926007936], [-0.5179562130636051]]","[[-1.574328670863335], [-21.637278281394934], [-1.402067976076175]]","[[0.9895208834238205], [0.8354242991556844]]","[[0.00801535766442596], [-0.0003548578636491939]]",[[0.10061383591636253]],[[0.035818356925656804]]
22,"[[-0.5411145886855582], [1.152513446000191], [-0.5104512130336066]]","[[-0.09213524834477799], [0.01609513912432986], [0.1096061176466315]]","[[-0.5419395826271886], [0.9808028043028169], [-0.5175464146228166]]","[[-1.5843596867545182], [-21.684929975372164], [-1.507242105849399]]","[[0.9903179903358353], [0.8353911363182922]]","[[0.007929670974649028], [-0.00031158894521210456]]",[[0.10094764428102666]],[[0.03356600842504473]]
23,"[[-0.5420510344858057], [1.1526629335881642], [-0.5093522596169933]]","[[-0.0920548290099929], [0.013804015558887994], [0.10967033954113373]]","[[-0.5428113316523725], [0.9805438264660232], [-0.5171217977818476]]","[[-1.5935373339327539], [-21.730533983885227], [-1.6091444230827447]]","[[0.9911063800262032], [0.8353621586569567]]","[[0.007841319269819014], [-0.0002709988650262396]]",[[0.10125963948536348]],[[0.03141952609002885]]
