step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5325354719396019], [1.1321789296251032], [-0.5155957325979086]]","[[-0.7300899318499896], [0.11784151279088106], [0.22663656866987403]]","[[-0.5943449401543651], [0.9464275616980851], [-0.49946225480491624]]","[[-4.405283607691249], [-24.807814296596504], [0.8967063599098533]]","[[0.236545124159917], [0.8395978881312027]]","[[0.012487273624373074], [-0.0015167896871615127]]",[[0.0840477250875927]],[[-0.3856118503892341]]
1,"[[-0.5393389068403737], [1.132670924703611], [-0.5130367043223825]]","[[-0.6430266690473775], [-0.0020066993481189788], [0.2775583485372577]]","[[-0.582602070507101], [0.9344142225416702], [-0.493614273149181]]","[[-2.2334899239704913], [-25.57352657450651], [0.8611474277999959]]","[[0.23780768233904118], [0.8395793146700061]]","[[0.012720486365888628], [0.0008051554396426575]]",[[0.08029531354085592]],[[-0.3674750198548228]]
2,"[[-0.5451312249430363], [1.1320267728343112], [-0.5100352188216654]]","[[-0.5379547411871024], [-0.10949311718380017], [0.317270496443922]]","[[-0.5795866232877324], [0.930189200298182], [-0.49115496168138173]]","[[-1.9881427354699763], [-25.056179027598148], [0.37973915311046336]]","[[0.23908771907074094], [0.8397787083238313]]","[[0.012856976853242719], [0.0028552963575290136]]",[[0.07686032906960977]],[[-0.33017736192584196]]
3,"[[-0.5503259540583735], [1.1304963367352998], [-0.5066574686976139]]","[[-0.49992901458169503], [-0.18553716356585692], [0.3517665010506886]]","[[-0.5823140861473047], [0.9287739719863484], [-0.4899926073381527]]","[[-2.0609303255041453], [-24.287012754719402], [-0.3008855184797079]]","[[0.24038070001925624], [0.8401489046238669]]","[[0.01296416222530683], [0.004323982915521718]]",[[0.07351291397931393]],[[-0.3336996770934474]]
4,"[[-0.5551350329519245], [1.128329413787708], [-0.5030097728632691]]","[[-0.46192246915464547], [-0.2394317152224233], [0.3730629362408442]]","[[-0.583447425961102], [0.9287141868631148], [-0.48927011986607577]]","[[-1.9232223069487029], [-23.442528427769027], [-0.9613947580371501]]","[[0.24167809956829833], [0.8406399245272215]]","[[0.01296052526824909], [0.005329137137577433]]",[[0.0701846079725167]],[[-0.32829124813394717]]
5,"[[-0.559559435153119], [1.1257345074925722], [-0.499215848319006]]","[[-0.42404021339250475], [-0.27354799277886], [0.382662307495926]]","[[-0.5842275354196005], [0.9290785776501002], [-0.4886143350321295]]","[[-1.7874886845038787], [-22.668492980937174], [-1.5371330728286943]]","[[0.2429695748057918], [0.8412084007258851]]","[[0.012859544060805916], [0.005925143498541896]]",[[0.06695922402044613]],[[-0.31492589867657705]]
6,"[[-0.5636499209466955], [1.1228937211415662], [-0.49537314551927486]]","[[-0.3933814968021845], [-0.2909509056421371], [0.38385275998850504]]","[[-0.5854175661977876], [0.9292867688788815], [-0.48781690219082574]]","[[-1.6932417852991537], [-22.049594879164527], [-2.013482524943143]]","[[0.24424709668810518], [0.8418173556899629]]","[[0.012689644140639889], [0.0061859561530375196]]",[[0.06387065467559466]],[[-0.30047964245695513]]
7,"[[-0.5674717696086059], [1.1199493839964476], [-0.49155238907985205]]","[[-0.3688054910574931], [-0.2960375634305833], [0.37902141559246066]]","[[-0.5868603384990959], [0.9291300716419197], [-0.48680411833228115]]","[[-1.615213984168975], [-21.595234193260843], [-2.3926694685936303]]","[[0.24550483468887982], [0.8424384612135376]]","[[0.012469860951341838], [0.006203678580296579]]",[[0.0609252253079908]],[[-0.2858216388967544]]
8,"[[-0.5710744092149488], [1.1170023322129832], [-0.4878028591891513]]","[[-0.3485560558333481], [-0.2927311322372953], [0.37013954973658386]]","[[-0.5884518931143219], [0.9285888641888979], [-0.48558191966216]]","[[-1.5476938419363462], [-21.283973169952], [-2.6879622735896422]]","[[0.24673866710248657], [0.8430519945845721]]","[[0.012215922577538119], [0.006059066126629098]]",[[0.05812506380888331]],[[-0.27114763833405947]]
9,"[[-0.5744948392749096], [1.1141191334618], [-0.4841560588723255]]","[[-0.3316484087348506], [-0.28408903535287455], [0.35881563877951034]]","[[-0.590155034425663], [0.927720485571213], [-0.4841888057864536]]","[[-1.4897390190097162], [-21.086091565941807], [-2.916639095095351]]","[[0.24794590801745697], [0.8436452766671956]]","[[0.011940919434988428], [0.0058147176536738066]]",[[0.055468235314566204]],[[-0.25692180530707626]]
10,"[[-0.5777610293452289], [1.1113401711309427], [-0.48062985366162764]]","[[-0.3172334797638844], [-0.2723884808185275], [0.3462214163465578]]","[[-0.5919224220025031], [0.9266111420218808], [-0.482672606675895]]","[[-1.438603648316771], [-20.971428991312177], [-3.0951477747092113]]","[[0.24912498980879735], [0.844210952600977]]","[[0.01165452680557677], [0.005516598407029338]]",[[0.052949288124086176]],[[-0.24340054423585403]]
11,"[[-0.5808931785049981], [1.1086869018502754], [-0.4772325217465929]]","[[-0.3045815388706524], [-0.25922510104445384], [0.3331495424710278]]","[[-0.593709560279326], [0.9253483132631809], [-0.48107900491794303]]","[[-1.3919235197565305], [-20.913670608687248], [-3.2372607450507926]]","[[0.2502751454723879], [0.8447454579056659]]","[[0.01136344227939401], [0.005196385688333027]]",[[0.050561201598683256]],[[-0.23065709744521712]]
12,"[[-0.5839054516964641], [1.106167967432398], [-0.47396601206851346]]","[[-0.29315846586247607], [-0.24564181106197372], [0.3201063777461892]]","[[-0.5954847965190531], [0.9240063210043011], [-0.4794460889796916]]","[[-1.3482433252058943], [-20.89217033394322], [-3.3536585435253317]]","[[0.2513961530915733], [0.845247751023341]]","[[0.011072118089544558], [0.004874399917897954]]",[[0.04829650366741827]],[[-0.21869389917939927]]
13,"[[-0.5868077702065524], [1.103783915511658], [-0.47082836178962784]]","[[-0.2825983862327175], [-0.23227210352065722], [0.3073915263135371]]","[[-0.5972270412121709], [0.9226418142753842], [-0.4778028659178363]]","[[-1.3066387147173135], [-20.89191244273723], [-3.452134669533881]]","[[0.25248814528833285], [0.8457183497330876]]","[[0.010783369915839947], [0.0045626642735774325]]",[[0.04614778351547747]],[[-0.20747896344097636]]
